,year,Population,age_4,age_5,age_6,age_7,year_4,year_5,year_6,year_7,S_med,S_med_total,popn_prop,,,Population,year,Age_4,Age_5,Age_6,Age_7,,x,j,j,j
1,1985,Aggregate,360.2442393,2535.801182,26804.47222,11635.3084,1981,1980,1979,1978,NA,NA,NA,,,Aggregate,1985,360.2442393,2535.801182,26804.47222,11635.3084,41335.82604,-4.54747E-13,0,3.63798E-11,1.81899E-11
36,1985,Carmacks,0,0,2094.145718,2094.145718,1981,1980,1979,1978,4.188291435,41.33582604,0.101323521,,,Carmacks,1985,0,0,2094.145718,2094.145718,,0,0,0,0
71,1985,Lower Mainstem,0,2129.68065,2129.68065,0,1981,1980,1979,1978,4.259361299,41.33582604,0.103042849,,,Lower Mainstem,1985,0,2129.68065,2129.68065,0,25.61016225,0,0,0,0
106,1985,Middle Mainstem,0,0,8255.412606,0,1981,1980,1979,1978,8.255412606,41.33582604,0.19971568,,,Middle Mainstem,1985,0,0,8255.412606,0,,0,0,0,0
141,1985,Pelly,334.634077,3011.706693,3011.706693,0,1981,1980,1979,1978,6.358047464,41.33582604,0.153814453,,,Pelly,1985,334.634077,3011.706693,3011.706693,0,,0,0,0,0
176,1985,Stewart,0,0,4173.279134,0,1981,1980,1979,1978,4.173279134,41.33582604,0.100960342,,,Stewart,1985,0,0,4173.279134,0,,0,0,0,0
211,1985,Teslin,0,2648.367643,4138.074441,165.5229777,1981,1980,1979,1978,6.951965062,41.33582604,0.16818256,,,Teslin,1985,0,2648.367643,4138.074441,165.5229777,,0,0,0,-3.97904E-13
246,1985,Upper Lakes and Mainstem,0,0,4213.719286,0,1981,1980,1979,1978,4.213719286,41.33582604,0.101938674,,,Upper Lakes and Mainstem,1985,0,0,4213.719286,0,,0,0,0,0
281,1985,White-Donjek,0,0,1467.874876,1467.874876,1981,1980,1979,1978,2.935749753,41.33582604,0.071021921,,,White-Donjek,1985,0,0,1467.874876,1467.874876,41335.82604,0,0,4.77485E-12,4.77485E-12
2,1986,Aggregate,186.759144,5109.14416,33851.71939,18042.02377,1982,1981,1980,1979,NA,NA,NA,,,Aggregate,1986,186.759144,5109.14416,33851.71939,18042.02377,,-4.54747E-13,0,0,0
37,1986,Carmacks,0,1034.457768,1034.457768,4137.83107,1982,1981,1980,1979,6.206746605,57.18964647,0.1085292,,,Carmacks,1986,0,1034.457768,1034.457768,4137.83107,,0,0,0,0
72,1986,Lower Mainstem,24.25008384,663.4062011,4395.538638,2342.699692,NA,NA,NA,NA,7.425894615,57.18964647,0.129846835,,,Lower Mainstem,1986,24.25008384,663.4062011,4395.538638,2342.699692,,0,0,0,0
107,1986,Middle Mainstem,0,6398.581742,6398.581742,0,1982,1981,1980,1979,12.79716348,57.18964647,0.223767137,,,Middle Mainstem,1986,0,6398.581742,6398.581742,0,,0,0,0,0
142,1986,Pelly,0,281.6345181,7040.862953,2534.710663,1982,1981,1980,1979,9.857208134,57.18964647,0.172360012,,,Pelly,1986,0,281.6345181,7040.862953,2534.710663,,0,0,0,0
177,1986,Stewart,0,5121.298242,0,0,1982,1981,1980,1979,5.121298242,57.18964647,0.089549395,,,Stewart,1986,0,5121.298242,0,0,,0,0,0,0
