"","year","gear","region_name","Fish.Age","count","age_count","age_prop","Population"
"1",1985,"Fish Wheel","Yukon Carmacks",6,2,1,0.5,"Carmacks"
"2",1985,"Fish Wheel","Yukon Carmacks",7,2,1,0.5,"Carmacks"
"3",1985,"Fish Wheel","Yukon Lower Canadian",5,2,1,0.5,"Lower Mainstem"
"4",1985,"Fish Wheel","Yukon Lower Canadian",6,2,1,0.5,"Lower Mainstem"
"5",1985,"Fish Wheel","Yukon mainstem",6,1,1,1,"Middle Mainstem"
"6",1985,"Fish Wheel","Yukon Pelly",4,7,1,0.142857143,"Pelly"
"7",1985,"Fish Wheel","Yukon Pelly",5,7,3,0.428571429,"Pelly"
"8",1985,"Fish Wheel","Yukon Pelly",6,7,3,0.428571429,"Pelly"
"9",1985,"Fish Wheel","Yukon Stewart",6,2,2,1,"Stewart"
"10",1985,"Fish Wheel","Yukon Teslin",5,10,4,0.4,"Teslin"
"11",1985,"Fish Wheel","Yukon Teslin",6,10,5,0.5,"Teslin"
"12",1985,"Fish Wheel","Yukon Teslin",7,10,1,0.1,"Teslin"
"13",1985,"Fish Wheel","Yukon upper",6,2,2,1,"Upper Lakes and Mainstem"
"14",1985,"Fish Wheel","Yukon White-Donjek",6,2,1,0.5,"White-Donjek"
"15",1985,"Fish Wheel","Yukon White-Donjek",7,2,1,0.5,"White-Donjek"
"16",1985,NA,NA,4,NA,NA,0.008715061,"Aggregate"
"17",1985,NA,NA,5,NA,NA,0.06134633,"Aggregate"
"18",1985,NA,NA,6,NA,NA,0.6484562,"Aggregate"
"19",1985,NA,NA,7,NA,NA,0.281482426,"Aggregate"
"20",1986,"Fish Wheel","Yukon Carmacks",5,4,1,0.25,"Carmacks"
"21",1986,"Fish Wheel","Yukon Carmacks",6,4,1,0.25,"Carmacks"
"22",1986,"Fish Wheel","Yukon Carmacks",7,4,2,0.5,"Carmacks"
"23",1986,"Fish Wheel","Yukon mainstem",5,2,1,0.5,"Middle Mainstem"
"24",1986,"Fish Wheel","Yukon mainstem",6,2,1,0.5,"Middle Mainstem"
"25",1986,"Fish Wheel","Yukon Pelly",5,9,1,0.111111111,"Pelly"
