year,gear,region_name,Fish.Age,count,age_count,age_prop,Population
1985,Fish Wheel,Yukon Carmacks,6,2,1,0.5,Carmacks
1985,Fish Wheel,Yukon Carmacks,7,2,1,0.5,Carmacks
1985,Fish Wheel,Yukon Lower Canadian,5,2,1,0.5,Lower Mainstem
1985,Fish Wheel,Yukon Lower Canadian,6,2,1,0.5,Lower Mainstem
1985,Fish Wheel,Yukon mainstem,6,1,1,1,Middle Mainstem
1985,Fish Wheel,Yukon Pelly,4,7,1,0.142857143,Pelly
1985,Fish Wheel,Yukon Pelly,5,7,3,0.428571429,Pelly
1985,Fish Wheel,Yukon Pelly,5,7,3,0.428571429,Pelly
1985,Fish Wheel,Yukon Pelly,5,7,3,0.428571429,Pelly
1985,Fish Wheel,Yukon Pelly,6,7,3,0.428571429,Pelly
1985,Fish Wheel,Yukon Pelly,6,7,3,0.428571429,Pelly
1985,Fish Wheel,Yukon Pelly,6,7,3,0.428571429,Pelly
1985,Fish Wheel,Yukon Stewart,6,2,2,1,Stewart
1985,Fish Wheel,Yukon Stewart,6,2,2,1,Stewart
1985,Fish Wheel,Yukon Teslin,5,10,4,0.4,Teslin
1985,Fish Wheel,Yukon Teslin,5,10,4,0.4,Teslin
1985,Fish Wheel,Yukon Teslin,5,10,4,0.4,Teslin
1985,Fish Wheel,Yukon Teslin,5,10,4,0.4,Teslin
1985,Fish Wheel,Yukon Teslin,6,10,5,0.5,Teslin
1985,Fish Wheel,Yukon Teslin,6,10,5,0.5,Teslin
1985,Fish Wheel,Yukon Teslin,6,10,5,0.5,Teslin
1985,Fish Wheel,Yukon Teslin,6,10,5,0.5,Teslin
1985,Fish Wheel,Yukon Teslin,6,10,5,0.5,Teslin
1985,Fish Wheel,Yukon Teslin,7,10,1,0.1,Teslin
1985,Fish Wheel,Yukon upper,6,2,2,1,Upper Lakes and Mainstem
1985,Fish Wheel,Yukon upper,6,2,2,1,Upper Lakes and Mainstem
1985,Fish Wheel,Yukon White-Donjek,6,2,1,0.5,White-Donjek
1985,Fish Wheel,Yukon White-Donjek,7,2,1,0.5,White-Donjek
1985,NA,NA,4,NA,NA,0.008715061,Aggregate
1985,NA,NA,5,NA,NA,0.06134633,Aggregate
1985,NA,NA,6,NA,NA,0.6484562,Aggregate
1985,NA,NA,7,NA,NA,0.281482426,Aggregate
1986,Fish Wheel,Yukon Carmacks,5,4,1,0.25,Carmacks
1986,Fish Wheel,Yukon Carmacks,6,4,1,0.25,Carmacks
1986,Fish Wheel,Yukon Carmacks,7,4,2,0.5,Carmacks
1986,Fish Wheel,Yukon Carmacks,7,4,2,0.5,Carmacks
1986,Fish Wheel,Yukon mainstem,5,2,1,0.5,Middle Mainstem
1986,Fish Wheel,Yukon mainstem,6,2,1,0.5,Middle Mainstem
1986,Fish Wheel,Yukon Pelly,5,9,1,0.111111111,Pelly
1986,Fish Wheel,Yukon Pelly,6,9,5,0.555555556,Pelly
1986,Fish Wheel,Yukon Pelly,6,9,5,0.555555556,Pelly
1986,Fish Wheel,Yukon Pelly,6,9,5,0.555555556,Pelly
1986,Fish Wheel,Yukon Pelly,6,9,5,0.555555556,Pelly
1986,Fish Wheel,Yukon Pelly,6,9,5,0.555555556,Pelly
1986,Fish Wheel,Yukon Pelly,7,9,3,0.333333333,Pelly
1986,Fish Wheel,Yukon Pelly,7,9,3,0.333333333,Pelly
1986,Fish Wheel,Yukon Pelly,7,9,3,0.333333333,Pelly
1986,Fish Wheel,Yukon Stewart,5,1,1,1,Stewart
1986,Fish Wheel,Yukon Teslin,5,14,3,0.214285714,Teslin
1986,Fish Wheel,Yukon Teslin,5,14,3,0.214285714,Teslin
1986,Fish Wheel,Yukon Teslin,5,14,3,0.214285714,Teslin
1986,Fish Wheel,Yukon Teslin,6,14,8,0.571428571,Teslin
1986,Fish Wheel,Yukon Teslin,6,14,8,0.571428571,Teslin
1986,Fish Wheel,Yukon Teslin,6,14,8,0.571428571,Teslin
1986,Fish Wheel,Yukon Teslin,6,14,8,0.571428571,Teslin
1986,Fish Wheel,Yukon Teslin,6,14,8,0.571428571,Teslin
1986,Fish Wheel,Yukon Teslin,6,14,8,0.571428571,Teslin
1986,Fish Wheel,Yukon Teslin,6,14,8,0.571428571,Teslin
1986,Fish Wheel,Yukon Teslin,6,14,8,0.571428571,Teslin
1986,Fish Wheel,Yukon Teslin,7,14,3,0.214285714,Teslin
1986,Fish Wheel,Yukon Teslin,7,14,3,0.214285714,Teslin
1986,Fish Wheel,Yukon Teslin,7,14,3,0.214285714,Teslin
1986,Fish Wheel,Yukon upper,5,2,1,0.5,Upper Lakes and Mainstem
1986,Fish Wheel,Yukon upper,6,2,1,0.5,Upper Lakes and Mainstem
1986,Fish Wheel,Yukon White-Donjek,5,3,1,0.333333333,White-Donjek
1986,Fish Wheel,Yukon White-Donjek,6,3,1,0.333333333,White-Donjek
1986,Fish Wheel,Yukon White-Donjek,7,3,1,0.333333333,White-Donjek
1986,NA,NA,4,NA,NA,0.003265611,Aggregate
1986,NA,NA,5,NA,NA,0.08933687,Aggregate
1986,NA,NA,6,NA,NA,0.5919204,Aggregate
1986,NA,NA,7,NA,NA,0.31547709,Aggregate
1987,Fish Wheel,Yukon Carmacks,5,4,1,0.25,Carmacks
1987,Fish Wheel,Yukon Carmacks,6,4,3,0.75,Carmacks
1987,Fish Wheel,Yukon Carmacks,6,4,3,0.75,Carmacks
1987,Fish Wheel,Yukon Carmacks,6,4,3,0.75,Carmacks
1987,Fish Wheel,Yukon Lower Canadian,6,3,3,1,Lower Mainstem
1987,Fish Wheel,Yukon Lower Canadian,6,3,3,1,Lower Mainstem
1987,Fish Wheel,Yukon Lower Canadian,6,3,3,1,Lower Mainstem
1987,Fish Wheel,Yukon mainstem,5,4,1,0.25,Middle Mainstem
1987,Fish Wheel,Yukon mainstem,6,4,2,0.5,Middle Mainstem
1987,Fish Wheel,Yukon mainstem,6,4,2,0.5,Middle Mainstem
1987,Fish Wheel,Yukon mainstem,7,4,1,0.25,Middle Mainstem
1987,Fish Wheel,Yukon Pelly,4,19,2,0.105263158,Pelly
1987,Fish Wheel,Yukon Pelly,4,19,2,0.105263158,Pelly
1987,Fish Wheel,Yukon Pelly,5,19,4,0.210526316,Pelly
1987,Fish Wheel,Yukon Pelly,5,19,4,0.210526316,Pelly
1987,Fish Wheel,Yukon Pelly,5,19,4,0.210526316,Pelly
1987,Fish Wheel,Yukon Pelly,5,19,4,0.210526316,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,6,19,12,0.631578947,Pelly
1987,Fish Wheel,Yukon Pelly,7,19,1,0.052631579,Pelly
1987,Fish Wheel,Yukon Stewart,4,10,1,0.1,Stewart
1987,Fish Wheel,Yukon Stewart,5,10,1,0.1,Stewart
1987,Fish Wheel,Yukon Stewart,6,10,7,0.7,Stewart
1987,Fish Wheel,Yukon Stewart,6,10,7,0.7,Stewart
1987,Fish Wheel,Yukon Stewart,6,10,7,0.7,Stewart
1987,Fish Wheel,Yukon Stewart,6,10,7,0.7,Stewart
1987,Fish Wheel,Yukon Stewart,6,10,7,0.7,Stewart
1987,Fish Wheel,Yukon Stewart,6,10,7,0.7,Stewart
1987,Fish Wheel,Yukon Stewart,6,10,7,0.7,Stewart
1987,Fish Wheel,Yukon Stewart,7,10,1,0.1,Stewart
1987,Fish Wheel,Yukon Teslin,5,14,4,0.285714286,Teslin
1987,Fish Wheel,Yukon Teslin,5,14,4,0.285714286,Teslin
1987,Fish Wheel,Yukon Teslin,5,14,4,0.285714286,Teslin
1987,Fish Wheel,Yukon Teslin,5,14,4,0.285714286,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,6,14,9,0.642857143,Teslin
1987,Fish Wheel,Yukon Teslin,7,14,1,0.071428571,Teslin
1987,Fish Wheel,Yukon upper,7,1,1,1,Upper Lakes and Mainstem
1987,Fish Wheel,Yukon White-Donjek,5,7,1,0.142857143,White-Donjek
