"year","population","water_temp"
1985,"Carmacks",17
1985,"LowerMainstem",15.6666666666667
1985,"MiddleMainstem",17.25
1985,"Pelly",16.5
1985,"Stewart",17
1985,"Teslin",16.4166666666667
1985,"UpperMainstem",17.25
1985,"White-Donjek",16.25
1986,"Carmacks",15.8333333333333
1986,"LowerMainstem",15.6666666666667
1986,"MiddleMainstem",15.9166666666667
1986,"Pelly",15.8333333333333
1986,"Stewart",15.8333333333333
1986,"Teslin",15.8333333333333
1986,"UpperMainstem",15.6
1986,"White-Donjek",15.8333333333333
1987,"Carmacks",15.4
1987,"LowerMainstem",14.3333333333333
1987,"MiddleMainstem",15.6666666666667
1987,"Pelly",15
1987,"Stewart",15
1987,"Teslin",15.4
1987,"UpperMainstem",16.2
1987,"White-Donjek",14.8
1988,"Carmacks",17.3333333333333
1988,"LowerMainstem",14.28945
1988,"MiddleMainstem",17
1988,"Pelly",16.2
1988,"Stewart",16.5
1988,"Teslin",17.1666666666667
1988,"UpperMainstem",15.8333333333333
1988,"White-Donjek",15.7412083333333
1989,"Carmacks",15.6666666666667
1989,"LowerMainstem",14.62302
1989,"MiddleMainstem",15.1666666666667
1989,"Pelly",15.694744
1989,"Stewart",15.4122866666667
1989,"Teslin",15.745515
1989,"UpperMainstem",14.500105
1989,"White-Donjek",15.2896866666667
1990,"Carmacks",16.190795
1990,"LowerMainstem",15.406925
1990,"MiddleMainstem",16.190795
1990,"Pelly",16.190795
1990,"Stewart",16.190795
1990,"Teslin",16.190795
1990,"UpperMainstem",16.190795
1990,"White-Donjek",16.190795
1991,"Carmacks",18.2277666666667
1991,"LowerMainstem",16.0410183333333
1991,"MiddleMainstem",18.67332
1991,"Pelly",17.669165
1991,"Stewart",17.8358316666667
1991,"Teslin",18.4
1991,"UpperMainstem",18.2277666666667
1991,"White-Donjek",17.8358316666667
1992,"Carmacks",18.6666666666667
1992,"LowerMainstem",17.5
1992,"MiddleMainstem",19.1666666666667
1992,"Pelly",18.4
1992,"Stewart",18.5
1992,"Teslin",18.4
1992,"UpperMainstem",19.4
1992,"White-Donjek",18.4
1993,"Carmacks",17.5
1993,"LowerMainstem",14.6666666666667
1993,"MiddleMainstem",17.8
1993,"Pelly",16.25
1993,"Stewart",16.25
1993,"Teslin",16.4166666666667
1993,"UpperMainstem",18.0833333333333
1993,"White-Donjek",15.25
1994,"Carmacks",15.8833333333333
1994,"LowerMainstem",14.55
1994,"MiddleMainstem",15.72
1994,"Pelly",15.22
1994,"Stewart",15.22
1994,"Teslin",15.0358316666667
1994,"UpperMainstem",16.3
1994,"White-Donjek",15.1666666666667
1995,"Carmacks",17.9434306
1995,"LowerMainstem",15.47309
1995,"MiddleMainstem",17.9434306
1995,"Pelly",17.9434306
1995,"Stewart",17.4543596
1995,"Teslin",17.9434306
1995,"UpperMainstem",17.9434306
1995,"White-Donjek",17.0631028
1996,"Carmacks",16.30807816
1996,"LowerMainstem",14.07430988
1996,"MiddleMainstem",16.64238608
1996,"Pelly",15.6780934666667
1996,"Stewart",15.6780934666667
1996,"Teslin",15.6780934666667
1996,"UpperMainstem",17.480336
1996,"White-Donjek",14.5750918
1997,"Carmacks",17.1827171333333
1997,"LowerMainstem",16.370094
1997,"MiddleMainstem",17.65271216
1997,"Pelly",17.30271456
1997,"Stewart",17.30271456
1997,"Teslin",17.30271456
1997,"UpperMainstem",16.9132818
1997,"White-Donjek",16.8855954666667
1998,"Carmacks",16.11732
1998,"LowerMainstem",14.1881433333333
1998,"MiddleMainstem",13.656
1998,"Pelly",16.30201
1998,"Stewart",16.85701
1998,"Teslin",16.94664
1998,"UpperMainstem",11.52689
1998,"White-Donjek",15.4036766666667
1999,"Carmacks",16.8894485483333
1999,"LowerMainstem",16.8962835483333
1999,"MiddleMainstem",16.2227818816667
1999,"Pelly",16.8894485483333
1999,"Stewart",16.8894485483333
1999,"Teslin",16.8894485483333
1999,"UpperMainstem",15.7782818816667
1999,"White-Donjek",16.8894485483333
2000,"Carmacks",16.870102
2000,"LowerMainstem",17.247548
2000,"MiddleMainstem",16.3423056
