"year","population","water_temp"
1985,"Carmacks",16.2109366470588
1985,"LowerMainstem",15.2697601764706
1985,"MiddleMainstem",16.7844660588235
1985,"Pelly",16.0785837058824
1985,"Stewart",16.3285837058824
1985,"Teslin",15.9462307647059
1985,"UpperMainstem",16.9315248823529
1985,"White-Donjek",15.7403484117647
1986,"Carmacks",15.4846542352941
1986,"LowerMainstem",15.0788080294118
1986,"MiddleMainstem",15.6759061470588
1986,"Pelly",15.4528922647059
1986,"Stewart",15.5447952727273
1986,"Teslin",15.5345169393939
1986,"UpperMainstem",15.1759061470588
1986,"White-Donjek",15.4087746176471
1987,"Carmacks",15.1099241176471
1987,"LowerMainstem",13.9270163529412
1987,"MiddleMainstem",15.6099241176471
1987,"Pelly",14.9040417647059
1987,"Stewart",14.8158064705882
1987,"Teslin",15.0511005882353
1987,"UpperMainstem",15.9411764705882
1987,"White-Donjek",14.4564281176471
1988,"Carmacks",17.0816273939394
1988,"LowerMainstem",13.5058373529412
1988,"MiddleMainstem",16.5294117647059
1988,"Pelly",15.8369054117647
1988,"Stewart",16.2562055757576
1988,"Teslin",16.9536707058824
1988,"UpperMainstem",15.3235294117647
1988,"White-Donjek",15.202711
1989,"Carmacks",15.1826270588235
1989,"LowerMainstem",14.0466360294118
1989,"MiddleMainstem",14.8235294117647
1989,"Pelly",15.1562614705882
1989,"Stewart",15.1562614705882
1989,"Teslin",15.2444782352941
1989,"UpperMainstem",14.3235479411765
1989,"White-Donjek",14.9122866666667
1990,"Carmacks",14.9734211363636
1990,"LowerMainstem",14.31757625
1990,"MiddleMainstem",15.2801225
1990,"Pelly",14.67492875
1990,"Stewart",14.70951125
1990,"Teslin",14.81325875
1990,"UpperMainstem",15.591365
1990,"White-Donjek",14.5933629545455
1991,"Carmacks",17.3430791176471
1991,"LowerMainstem",15.5262920588235
1991,"MiddleMainstem",17.3132264705882
1991,"Pelly",16.7434144117647
1991,"Stewart",17.0597052941176
1991,"Teslin",17.1288702941176
1991,"UpperMainstem",17.0485205882353
1991,"White-Donjek",17.0895579411765
1992,"Carmacks",17.8874748823529
1992,"LowerMainstem",16.7685623939394
1992,"MiddleMainstem",18.1329916176471
1992,"Pelly",17.3175647352941
1992,"Stewart",17.4646235588235
