"year","Population","water_temp","prop_4","prop_5","prop_6","prop_7","Mig_temp_returns"
1985,"Carmacks",14.25,0.0372915892333103,0.259478540553849,0.703229870212841,0,15.4012332919205
1986,"Carmacks",13.125,0.0349749276825794,0.193785838862857,0.713529009771183,0.0577102236833804,16.2108517218991
1987,"Carmacks",13.25,0.0556201598424641,0.614388504104503,0.265022612073113,0.06496872397992,15.9920968646856
1988,"Carmacks",17,0.258230573922242,0.208856877428208,0.409600213945427,0.123312334704123,14.8054778059786
1989,"Carmacks",16.6666666666667,0.251186231773858,0.197045815751157,0.444912723013574,0.106855229461411,14.4209879952752
1990,"Carmacks",14.5,0.162122884291038,0.244039805794309,0.527502034704699,0.066335275209955,13.7638401134055
1991,"Carmacks",15.6666666666667,0.152921045824558,0.11018170085115,0.694128192904044,0.0427690604202481,15.0795958412523
1992,"Carmacks",16.5,0.36386828554569,0.262614177886165,0.373517536568144,0,14.770400508633
1993,"Carmacks",15.5,0.107895988260124,0.523489465651984,0.2379911447823,0.130623401305593,15.9259333593668
1994,"Carmacks",13.475,0.0660236090043068,0.53570577645328,0.294026531162239,0.104244083380175,15.7862741305524
1995,"Carmacks",14.5,0.148361190749541,0.366431680423698,0.422911330017778,0.0622957988089838,13.8037539865696
1996,"Carmacks",13.3,0.403611094961461,0.287614455032607,0.308774450005931,0,14.0629683868781
1997,"Carmacks",15.45,0.0108882793247558,0.406839079945798,0.542338990462605,0.0399336502668409,14.8963758756967
1998,"Carmacks",15.725,0.131124431514364,0.508497796837255,0.360377771648381,0,15.1847236004593
1999,"Carmacks",17.037,0.0448174662468231,0.254100902185437,0.677326835069553,0.023754796498187,16.8165607987985
2000,"Carmacks",15.1,0.100760805284614,0.235012930536927,0.664226264178459,0,15.4440894964625
2001,"Carmacks",11.3333333333333,0.195583252015216,0.657142465103845,0.125852300596811,0.021421982284128,15.4829977729761
2002,"Carmacks",15.25,0.160040235171343,0.331745873004605,0.508213891824052,0,15.6578362375758
2003,"Carmacks",14.625,0.12881047580339,0.219255086669547,0.637187715639655,0.0147467218874088,15.287605465267
2004,"Carmacks",15.95075,0.041596334076487,0.512845874759834,0.377689263120584,0.0678685280430956,15.1883592998945
2005,"Carmacks",17.361,0.0592362581822669,0.199059234406053,0.724337795031706,0.0173667123799751,15.0033318032924
2006,"Carmacks",14.689,0.0580437215229162,0.387217967377968,0.501332339070347,0.0534059720287683,15.6324237233317
2007,"Carmacks",16.75,0,0.28007805871032,0.644461449631687,0.0754604916579924,16.4120813242655
2008,"Carmacks",15.25,0,0.197955667024257,0.741721048327167,0.0603232846485759,15.6471378428547
2009,"Carmacks",15,0.0130154211964731,0.304797150817941,0.682187427985586,0,16.989383013939
2010,"Carmacks",15.5,0.0633409641945243,0.679990710122211,0.248922686068291,0.00774563961497398,16.7999949825227
2011,"Carmacks",14.839625,0.101155930769141,0.45656678495424,0.432890432196869,0.00938685207974916,15.2960733513634
2012,"Carmacks",16.1497777777778,0.0493961692143663,0.509273687283691,0.431616341776084,0.00971380172585843,15.3365524485036
1985,"Lower Mainstem",13.5,0.0156093265629684,0.0979874154921874,0.886403257944844,0,13.4158853074872
1986,"Lower Mainstem",13.6666666666667,0.00768299119763191,0.745967709533308,0.24634929926906,0,13.290867421677
1987,"Lower Mainstem",11.5,0.176555514376657,0.357123707793352,0.46632077782999,0,12.7360761323422
1988,"Lower Mainstem",9.5,0.110900884155171,0.540627160704097,0.348471955140732,0,13.2967375138402
1989,"Lower Mainstem",11.25,0.211701304496689,0.582213433096161,0.20608526240715,0,13.7659291235135
1990,"Lower Mainstem",13,0.837824412078431,0,0,0.162175587921569,14.4279026427477
1991,"Lower Mainstem",13.5,0.362993673699062,0,0.621522198410195,0.0154841278907428,12.6183235041002
1992,"Lower Mainstem",12.6666666666667,0.84745430711833,0.0968491107560114,0.0556965821256586,0,8.75060221284164
1993,"Lower Mainstem",12.5,0.337638700611044,0.662361299388956,0,0,10.9622702967415
1994,"Lower Mainstem",14.7333333333333,0.0156983531047802,0.405748681397107,0.426601590228061,0.151951375270052,13.3875483643075
1995,"Lower Mainstem",12.3333333333333,0.379602493069715,0.0997779135867238,0.520619593343561,0,12.8341306284211
1996,"Lower Mainstem",8.2,0.512877243090595,0.275384553181669,0.211738203727736,0,12.0466065534133
1997,"Lower Mainstem",12.85,0.0132764224421494,0.444102773536105,0.542620804021745,0,10.5470944873514
1998,"Lower Mainstem",10,0.197805078006144,0.580044927597202,0.222149994396654,0,10.9199466032321
1999,"Lower Mainstem",15.042,0.169125306181895,0.404182829094579,0.426691864723526,0,13.6692561362896
2000,"Lower Mainstem",12.7,0.58915446422098,0.404276998219825,0,0.00656853755919544,14.2493747511666
2001,"Lower Mainstem",11.25,0.22946238869812,0.575738275586496,0.194799335715384,0,13.7345145584876
2002,"Lower Mainstem",11.5,0.701552798112943,0.17717443163767,0.121272770249387,0,13.2176567556145
2003,"Lower Mainstem",9.75,0.0283834177193055,0.378844992704718,0.592771589575977,0,12.629517756515
2004,"Lower Mainstem",13.45825,0,0.671593878903591,0.243731208620593,0.0846749124758157,12.5791332648302
2005,"Lower Mainstem",15.4225833333333,0.0973427221529642,0.49457929604627,0.408077981800766,0,13.1037720590373
2006,"Lower Mainstem",13.31025,0.191054737139364,0.265498100067968,0.543447162792668,0,14.8415143955406
2007,"Lower Mainstem",13,0,0.667152449959453,0.332847550040547,0,15.5796801858078
2008,"Lower Mainstem",13,0.623882935141149,0,0,0.376117064858851,14.8595821598129
2009,"Lower Mainstem",12.375,0,0.244474749770534,0.755525250229466,0,12.4199590878098
2010,"Lower Mainstem",12.75,0.0330889540324739,0.601749990324565,0.365161055642961,0,13.3350957976444
2011,"Lower Mainstem",13.706375,0.0870132632809574,0.554425397901165,0.33480350042163,0.0237578383962469,14.6530520091373
2012,"Lower Mainstem",16.131375,0.29168112474334,0.493188828623168,0.20998168311504,0.00514836351845186,14.9787725620804
1985,"Middle Mainstem",14.875,0.0128655762077539,0.0896044837494632,0.661671250414339,0.235858689628444,16.0840520192591
1986,"Middle Mainstem",12.375,0.0129039682769886,0.438316356568997,0.468725464972253,0.0800542101817611,15.9191242969209
1987,"Middle Mainstem",14.3333333333333,0,0.594118811459587,0.405881188540413,0,15.4963242571622
1988,"Middle Mainstem",16.75,0,0.299288662368461,0.700711337631539,0,13.7586128916185
1989,"Middle Mainstem",16,0.145214326854416,0.226655930115946,0.46108320887258,0.167046534157059,14.4552706854484
1990,"Middle Mainstem",15.75,0,0.57839386109575,0.362790335230044,0.0588158036742064,14.8424576905522
1991,"Middle Mainstem",16.25,0.223393436182059,0.200903330014941,0.569010903424185,0.00669233037881514,15.8151326221242
1992,"Middle Mainstem",15.75,0.114219492713748,0.696645670503987,0.189134836782265,0,16.3720617368206
1993,"Middle Mainstem",15.125,0.174554394460486,0.161659114275187,0.553137195324311,0.110649295940016,16.4543886672559
1994,"Middle Mainstem",13.175,0.012276329442832,0.281129674534404,0.224948175171437,0.481645820851327,14.7879375732531
1995,"Middle Mainstem",14.8333333333333,0,0.276719035345095,0.723280964654905,0,13.9605631467822
1996,"Middle Mainstem",14.5666666666667,0.052988281967939,0.684115036570659,0.262896681461402,0,13.891601241563
1997,"Middle Mainstem",16.6333333333333,0.0447372833909931,0.673148464966449,0.282114251642558,0,14.9959664239257
1998,"Middle Mainstem",16.5,0.554092559861434,0.232218323092901,0.178803975949316,0.0348851410963491,15.4063219137314
1999,"Middle Mainstem",16.5555,0.105053041799267,0.40444486187673,0.490502096324003,0,17.1970830986443
2000,"Middle Mainstem",15.6,0.202428530842586,0.318367857941008,0.47838061732592,0.000822993890486178,16.791290839877
2001,"Middle Mainstem",13.3333333333333,0.173331395835871,0,0.669214117801198,0.157454486362931,18.6463743314976
2002,"Middle Mainstem",15,0,0.218699901523238,0.781300098476762,0,17.2785247620145
2003,"Middle Mainstem",15.25,0.024710106063663,0.681190570360304,0.294099323576033,0,16.3318046888428
2004,"Middle Mainstem",16.2921666666667,0.0383107790696954,0.611995336439149,0.241157847105171,0.108536037385985,15.4630323985321
2005,"Middle Mainstem",18.36025,0.0860670712389951,0.457850905207192,0.427386599634128,0.0286954239196846,15.5750816947856
2006,"Middle Mainstem",15.95425,0.125603386964461,0.414548489779339,0.425092729923154,0.0347553933330464,15.688689804458
2007,"Middle Mainstem",19.1666666666667,0,0.269139877749808,0.606353309415857,0.124506812834335,15.4548420139526
2008,"Middle Mainstem",16.75,0.088766053299575,0.127731528593431,0.783502418106994,0,14.2172248802335
2009,"Middle Mainstem",15.125,0.0180354836019701,0.443908619737487,0.532406792842259,0.00564910381828361,15.8695961009159
2010,"Middle Mainstem",16.5,0.108664433978301,0.751206837101298,0.126036410969214,0.0140923179511868,17.2301249027095
2011,"Middle Mainstem",14.61075,0.191814807120222,0.486111995666164,0.298940957738294,0.0231322394753194,17.5950348408898
2012,"Middle Mainstem",16.5301111111111,0.0242872642794368,0.485412598950082,0.476742528806489,0.0135576079639917,16.9967622192597
1985,"Pelly",14.125,0.0585957910466367,0.175813124215238,0.765591084738125,0,14.4487254639498
1986,"Pelly",13,0.0240951929582906,0.62743855895921,0.348466248082499,0,14.4389103928665
1987,"Pelly",12.75,0,0.565643079992999,0.434356920007001,0,13.6456015433222
1988,"Pelly",13.75,0.164947996094907,0.627285654581384,0.207766349323709,0,13.3539821368677
1989,"Pelly",14,0,0.391020232631557,0.608979767368443,0,14.4608979767368
1990,"Pelly",14.375,0.67626854851887,0,0,0.32373145148113,14.5699590120276
1991,"Pelly",14.5,0.10725794030219,0.397997401222983,0.440423079609162,0.0543215788656645,13.0980512704356
1992,"Pelly",14.3333333333333,0,0.240070041432619,0.683507186029167,0.0764227725382143,14.3187489658873
1993,"Pelly",12.75,0.0508728004215374,0.494083765522192,0.455043434056271,0,15.2663721355077
1994,"Pelly",14.4,0.0812293290182254,0.222529761266419,0.490331045409012,0.205909864306343,14.156965866657
1995,"Pelly",14.5,0.0902318734245473,0.298230821021133,0.61153730555432,0,12.6373352100254
1996,"Pelly",10.6,0.347803142405683,0.469703680934792,0,0.182493176659525,12.96036868257
1997,"Pelly",14.925,0.0176572333370154,0.355082890174091,0.537230432444549,0.090029444044344,15.3333428105182
1998,"Pelly",13.82,0.207000329200954,0.54807493980673,0.244924730992316,0,15.3279931463112
