"year","population","yday","water_temp"
1985,"LowerMainstem",174,13.5
1985,"LowerMainstem",175,13.5
1985,"LowerMainstem",176,13.5
1985,"LowerMainstem",177,13.5
1985,"LowerMainstem",178,14.5
1985,"LowerMainstem",179,14.5
1985,"LowerMainstem",180,14.5
1985,"LowerMainstem",181,14
1985,"LowerMainstem",182,14.5
1985,"LowerMainstem",183,14.5
1985,"LowerMainstem",184,13.5
1985,"LowerMainstem",185,14.5
1985,"LowerMainstem",186,14.5
1985,"LowerMainstem",187,15.5
1985,"LowerMainstem",188,15
1985,"LowerMainstem",189,14.5
1985,"LowerMainstem",190,14.5
1985,"LowerMainstem",191,14.5
1985,"LowerMainstem",192,14.5
1985,"LowerMainstem",193,14.5
1985,"LowerMainstem",194,15
1985,"LowerMainstem",195,15.5
1985,"LowerMainstem",196,15.5
1985,"LowerMainstem",197,16
1985,"LowerMainstem",198,16.5
1985,"LowerMainstem",199,16.5
1985,"LowerMainstem",200,16.5
1985,"LowerMainstem",201,NA
1985,"LowerMainstem",202,17
1985,"LowerMainstem",203,17
1985,"LowerMainstem",204,18
1985,"LowerMainstem",205,17
1985,"LowerMainstem",206,18
1985,"LowerMainstem",207,18
1985,"White-Donjek",178,14.5
1985,"White-Donjek",179,14.5
1985,"White-Donjek",180,14.5
1985,"White-Donjek",181,14
1985,"White-Donjek",182,14.5
1985,"White-Donjek",183,14.5
1985,"White-Donjek",184,13.5
1985,"White-Donjek",185,14.5
1985,"White-Donjek",186,14.5
1985,"White-Donjek",187,15.5
1985,"White-Donjek",188,15
1985,"White-Donjek",189,14.5
1985,"White-Donjek",190,14.5
1985,"White-Donjek",191,14.5
1985,"White-Donjek",192,14.5
1985,"White-Donjek",193,14.5
1985,"White-Donjek",194,15
1985,"White-Donjek",195,15.5
1985,"White-Donjek",196,15.5
1985,"White-Donjek",197,16
1985,"White-Donjek",198,16.5
1985,"White-Donjek",199,16.5
1985,"White-Donjek",200,16.5
1985,"White-Donjek",201,NA
1985,"White-Donjek",202,17
1985,"White-Donjek",203,17
1985,"White-Donjek",204,18
1985,"White-Donjek",205,17
1985,"White-Donjek",206,18
1985,"White-Donjek",207,18
1985,"White-Donjek",208,18
1985,"White-Donjek",209,18
1985,"White-Donjek",210,17
1985,"White-Donjek",211,17
1985,"Pelly",181,14
1985,"Pelly",182,14.5
1985,"Pelly",183,14.5
1985,"Pelly",184,13.5
1985,"Pelly",185,14.5
1985,"Pelly",186,14.5
1985,"Pelly",187,15.5
1985,"Pelly",188,15
1985,"Pelly",189,14.5
1985,"Pelly",190,14.5
1985,"Pelly",191,14.5
1985,"Pelly",192,14.5
1985,"Pelly",193,14.5
1985,"Pelly",194,15
1985,"Pelly",195,15.5
1985,"Pelly",196,15.5
1985,"Pelly",197,16
1985,"Pelly",198,16.5
1985,"Pelly",199,16.5
1985,"Pelly",200,16.5
1985,"Pelly",201,NA
1985,"Pelly",202,17
1985,"Pelly",203,17
1985,"Pelly",204,18
1985,"Pelly",205,17
1985,"Pelly",206,18
1985,"Pelly",207,18
1985,"Pelly",208,18
1985,"Pelly",209,18
1985,"Pelly",210,17
1985,"Pelly",211,17
1985,"Pelly",212,18
1985,"Pelly",213,18
1985,"Pelly",214,19
1985,"Stewart",183,14.5
1985,"Stewart",184,13.5
1985,"Stewart",185,14.5
1985,"Stewart",186,14.5
1985,"Stewart",187,15.5
1985,"Stewart",188,15
1985,"Stewart",189,14.5
1985,"Stewart",190,14.5
1985,"Stewart",191,14.5
1985,"Stewart",192,14.5
1985,"Stewart",193,14.5
1985,"Stewart",194,15
1985,"Stewart",195,15.5
1985,"Stewart",196,15.5
1985,"Stewart",197,16
1985,"Stewart",198,16.5
1985,"Stewart",199,16.5
1985,"Stewart",200,16.5
1985,"Stewart",201,NA
1985,"Stewart",202,17
1985,"Stewart",203,17
1985,"Stewart",204,18
1985,"Stewart",205,17
1985,"Stewart",206,18
1985,"Stewart",207,18
1985,"Stewart",208,18
1985,"Stewart",209,18
1985,"Stewart",210,17
1985,"Stewart",211,17
1985,"Stewart",212,18
1985,"Stewart",213,18
1985,"Stewart",214,19
1985,"Stewart",215,18.5
1985,"Stewart",216,18.5
1985,"Carmacks",182,14.5
1985,"Carmacks",183,14.5
1985,"Carmacks",184,13.5
1985,"Carmacks",185,14.5
1985,"Carmacks",186,14.5
1985,"Carmacks",187,15.5
1985,"Carmacks",188,15
1985,"Carmacks",189,14.5
1985,"Carmacks",190,14.5
1985,"Carmacks",191,14.5
1985,"Carmacks",192,14.5
1985,"Carmacks",193,14.5
1985,"Carmacks",194,15
1985,"Carmacks",195,15.5
1985,"Carmacks",196,15.5
1985,"Carmacks",197,16
1985,"Carmacks",198,16.5
1985,"Carmacks",199,16.5
1985,"Carmacks",200,16.5
1985,"Carmacks",201,NA
1985,"Carmacks",202,17
1985,"Carmacks",203,17
1985,"Carmacks",204,18
1985,"Carmacks",205,17
1985,"Carmacks",206,18
1985,"Carmacks",207,18
1985,"Carmacks",208,18
1985,"Carmacks",209,18
1985,"Carmacks",210,17
1985,"Carmacks",211,17
1985,"Carmacks",212,18
1985,"Carmacks",213,18
1985,"Carmacks",214,19
1985,"Carmacks",215,18.5
1985,"Teslin",180,14.5
1985,"Teslin",181,14
1985,"Teslin",182,14.5
1985,"Teslin",183,14.5
1985,"Teslin",184,13.5
1985,"Teslin",185,14.5
1985,"Teslin",186,14.5
1985,"Teslin",187,15.5
1985,"Teslin",188,15
1985,"Teslin",189,14.5
1985,"Teslin",190,14.5
1985,"Teslin",191,14.5
1985,"Teslin",192,14.5
1985,"Teslin",193,14.5
1985,"Teslin",194,15
1985,"Teslin",195,15.5
1985,"Teslin",196,15.5
1985,"Teslin",197,16
1985,"Teslin",198,16.5
1985,"Teslin",199,16.5
1985,"Teslin",200,16.5
1985,"Teslin",201,NA
1985,"Teslin",202,17
1985,"Teslin",203,17
1985,"Teslin",204,18
1985,"Teslin",205,17
1985,"Teslin",206,18
1985,"Teslin",207,18
1985,"Teslin",208,18
1985,"Teslin",209,18
1985,"Teslin",210,17
1985,"Teslin",211,17
1985,"Teslin",212,18
1985,"Teslin",213,18
1985,"MiddleMainstem",187,15.5
1985,"MiddleMainstem",188,15
1985,"MiddleMainstem",189,14.5
1985,"MiddleMainstem",190,14.5
1985,"MiddleMainstem",191,14.5
1985,"MiddleMainstem",192,14.5
1985,"MiddleMainstem",193,14.5
1985,"MiddleMainstem",194,15
1985,"MiddleMainstem",195,15.5
1985,"MiddleMainstem",196,15.5
1985,"MiddleMainstem",197,16
1985,"MiddleMainstem",198,16.5
1985,"MiddleMainstem",199,16.5
1985,"MiddleMainstem",200,16.5
1985,"MiddleMainstem",201,NA
1985,"MiddleMainstem",202,17
