year,population,return_temp
1985,Carmacks,15.51170827
1985,LowerMainstem,13.28211083
1985,MiddleMainstem,16.11918437
1985,Pelly,14.44971296
1985,Stewart,15.08137015
1985,Teslin,14.9123448
1985,UpperMainstem,17.2057349
1985,White-Donjek,14.99501032
1986,Carmacks,16.14809588
1986,LowerMainstem,12.87627627
1986,MiddleMainstem,15.82594305
1986,Pelly,14.24276931
1986,Stewart,14.87854134
1986,Teslin,14.45922067
1986,UpperMainstem,18.55557013
1986,White-Donjek,14.54647107
1987,Carmacks,15.38922483
1987,LowerMainstem,12.9275475
1987,MiddleMainstem,14.96380206
1987,Pelly,13.40977991
1987,Stewart,13.57870682
1987,Teslin,14.10714509
1987,UpperMainstem,15.74585689
1987,White-Donjek,14.05166722
1988,Carmacks,14.36745503
1988,LowerMainstem,13.62246335
1988,MiddleMainstem,14.12378786
1988,Pelly,13.99052458
1988,Stewart,14.21522198
1988,Teslin,14.57200832
1988,UpperMainstem,14.45967732
1988,White-Donjek,14.68865496
1989,Carmacks,14.15648889
1989,LowerMainstem,12.14195607
1989,MiddleMainstem,14.49546219
1989,Pelly,13.82465312
1989,Stewart,14.66813575
1989,Teslin,13.97536642
1989,UpperMainstem,15.34627179
1989,White-Donjek,13.74292059
1990,Carmacks,13.79515177
1990,LowerMainstem,9.877614778
1990,MiddleMainstem,14.75033224
1990,Pelly,12.10998624
1990,Stewart,13.23181347
1990,Teslin,12.13421834
1990,UpperMainstem,16.44232749
1990,White-Donjek,11.42120843
1991,Carmacks,14.77594678
1991,LowerMainstem,11.30389432
1991,MiddleMainstem,15.93139186
1991,Pelly,13.55726941
1991,Stewart,14.08949073
1991,Teslin,13.70320586
1991,UpperMainstem,16.29354922
1991,White-Donjek,13.01309011
1992,Carmacks,15.60012991
1992,LowerMainstem,10.9488981
1992,MiddleMainstem,16.39751296
1992,Pelly,14.02040198
1992,Stewart,14.64269096
1992,Teslin,15.31720005
1992,UpperMainstem,14.54291391
1992,White-Donjek,12.75968724
1993,Carmacks,16.29715329
1993,LowerMainstem,12.99692163
1993,MiddleMainstem,16.43488369
1993,Pelly,15.45915386
1993,Stewart,15.71888869
1993,Teslin,16.26480635
1993,UpperMainstem,15.75682812
1993,White-Donjek,14.4987047
1994,Carmacks,14.45563935
1994,LowerMainstem,12.54554958
1994,MiddleMainstem,15.20644282
1994,Pelly,13.82346054
1994,Stewart,13.7210934
1994,Teslin,14.77958103
1994,UpperMainstem,15.86727151
1994,White-Donjek,13.43329251
1995,Carmacks,12.39006967
1995,LowerMainstem,11.52763567
1995,MiddleMainstem,13.89071276
1995,Pelly,12.273591
1995,Stewart,12.28807299
1995,Teslin,13.93159605
1995,UpperMainstem,14.57190385
1995,White-Donjek,12.01303311
1996,Carmacks,13.76420075
1996,LowerMainstem,11.32352496
1996,MiddleMainstem,14.44051041
1996,Pelly,14.1028024
1996,Stewart,14.07873846
1996,Teslin,14.59178868
1996,UpperMainstem,14.0737675
1996,White-Donjek,12.89246248
1997,Carmacks,14.74720616
1997,LowerMainstem,10.38031105
1997,MiddleMainstem,15.19286487
1997,Pelly,15.15485578
1997,Stewart,14.82529448
1997,Teslin,14.24479459
1997,UpperMainstem,16.80438132
1997,White-Donjek,12.11964911
1998,Carmacks,15.61722938
1998,LowerMainstem,12.40734187
1998,MiddleMainstem,16.04123931
1998,Pelly,15.42438016
1998,Stewart,15.46058091
1998,Teslin,15.17894943
1998,UpperMainstem,18.36737319
1998,White-Donjek,13.78743829
1999,Carmacks,16.98931137
1999,LowerMainstem,14.89867141
1999,MiddleMainstem,17.84686884
1999,Pelly,15.96767578
1999,Stewart,16.0855833
1999,Teslin,16.25411111
1999,UpperMainstem,18.31605712
1999,White-Donjek,15.22254689
2000,Carmacks,15.87005276
2000,LowerMainstem,14.19168117
2000,MiddleMainstem,16.98011772
2000,Pelly,15.35436097
2000,Stewart,13.71194295
2000,Teslin,15.66239909
2000,UpperMainstem,17.38409878
2000,White-Donjek,15.22381944
2001,Carmacks,15.50693301
2001,LowerMainstem,13.24841133
2001,MiddleMainstem,17.17901652
2001,Pelly,14.06636455
2001,Stewart,12.22237933
2001,Teslin,14.9036269
2001,UpperMainstem,17.02618521
2001,White-Donjek,15.2912099
2002,Carmacks,15.89593544
2002,LowerMainstem,13.02986331
2002,MiddleMainstem,17.8010774
2002,Pelly,13.65232777
2002,Stewart,11.95232304
2002,Teslin,15.09734471
2002,UpperMainstem,16.60376629
2002,White-Donjek,14.6501976
2003,Carmacks,15.15434932
2003,LowerMainstem,12.61704824
2003,MiddleMainstem,15.84348808
2003,Pelly,14.91053195
2003,Stewart,11.90514116
2003,Teslin,15.68951308
2003,UpperMainstem,17.38416353
2003,White-Donjek,12.82854477
2004,Carmacks,15.16223139
2004,LowerMainstem,12.64588292
2004,MiddleMainstem,15.58811336
2004,Pelly,15.00915014
2004,Stewart,12.50237167
2004,Teslin,15.34867866
2004,UpperMainstem,17.55510845
2004,White-Donjek,12.61956274
2005,Carmacks,15.09121163
2005,LowerMainstem,13.36263248
2005,MiddleMainstem,15.28150708
2005,Pelly,14.3429979
2005,Stewart,12.41960323
2005,Teslin,14.8707189
2005,UpperMainstem,15.29073682
2005,White-Donjek,13.79377269
2006,Carmacks,15.64126402
2006,LowerMainstem,14.94670661
2006,MiddleMainstem,15.76413708
2006,Pelly,14.89870815
2006,Stewart,13.46923422
2006,Teslin,15.19668767
2006,UpperMainstem,15.6230956
2006,White-Donjek,15.06291706
2007,Carmacks,16.3725063
2007,LowerMainstem,14.80673292
2007,MiddleMainstem,15.59627747
2007,Pelly,15.30170162
