Var,median,q5,q95
Ice out,-8.030890002,-13.62105189,-1.890486485
migration temp,-10.1138992,-16.0331138,-3.980748225
rearing temp,-9.136991118,-16.63616664,-1.402524372
rearing prcp,-11.69497033,-18.10024517,-5.127119191
snow,10.75325366,0.816005723,22.17369888
spawning temp,11.68873827,-3.088239953,31.89965871
spawning prcp,-4.977978182,-11.33626125,1.287803478
summer SST,4.291123253,-5.188760376,14.57063159
winter SST,16.6778624,5.333711173,29.03061385
pink,-7.080663268,-13.36866262,-0.803977789
chum,-1.009554413,-9.861794017,8.189108501
FW winter,11.00149681,1.046734031,21.99102981
