"Population","Year","rearing_temp","rearing_prcp","WeeklyMigtemp_t0","Breakup_day","Snowpack_mean","spawning_temp","total_spawning_prcp","Winter_SST","Summer_SST","discharge","Pdischarge","Pink_total","Chum_total","Wintering_temp","winter_length","max_spawning_prcp","rearing_prcp_max","GDD5"
"Carmacks",1985,9.79023793364,195.544159981565,17,129,155.734265773924,7.73684448422163,193.067495094309,2.64281576477556,6.28753724939006,6330,543794.117647059,112.4,111.9554261,-12.8201199934573,230.333333333333,86.5478227680379,88.7240999549115,1040.75123988143
"Carmacks",1986,9.18337822397667,150.03161751013,15.8333333333333,122,162.399234561828,8.09070173119396,188.472252607349,2.01999420537931,7.01144032482652,6160,490176.470588235,179.6,99.0824594,-10.4733618578256,219.222222222222,91.9556338715443,62.4004830889504,938.263075550392
"Carmacks",1987,9.80313875571333,215.643484501409,15.4,119,106.843111769705,8.72084414063594,137.271820741038,2.01936972686697,6.68938278496841,5230,451882.352941176,159.2,113.6078584,-10.3174351783188,214.777777777778,60.7183387822381,136.224813927428,1047.83514101227
"Carmacks",1988,12.4239552986667,130.933119936732,17.3333333333333,120,149.313092339202,8.17340090523615,138.282478085784,2.03775415899097,7.4749868184616,6730,436848.484848485,218.8,105.296214,-14.3116152429311,212.333333333333,52.3786728503539,53.0724720895087,1489.70547385817
"Carmacks",1989,11.1190382714833,199.860972448647,15.6666666666667,120,129.709743656479,9.90723524528257,136.391577341315,1.80915078020292,8.32800957848485,3720,449941.176470588,122.8,92.41229349,-13.0670026668373,218.111111111111,55.7668552450175,81.6742019500834,1288.02920856385
"Carmacks",1990,10.2297734522067,246.601168194908,16.190795,129,240.938019164073,9.59793393980088,240.130997107695,1.74842066292648,5.78959223728824,4670,424454.545454545,188.2,122.8190881,-14.5990602136315,224,111.179319406527,130.017536872638,1177.78202486252
"Carmacks",1991,10.35300500537,128.508180631694,18.2277666666667,119,334.220787455572,8.46881318142976,257.979772161347,2.50868562640001,7.41047687806945,5410,456970.588235294,165.5,137.4188704,-10.2999477334212,226.222222222222,112.929750068974,69.2360834157199,1009.52744459194
"Carmacks",1992,10.32242247865,242.085457106183,18.6666666666667,121,153.776018106812,6.90826467320295,188.035566833968,1.78321462490336,6.80317260908044,7630,581882.352941177,231.3,146.2317973,-11.9010448313136,220.888888888889,109.73265888869,125.25915388269,1262.87046457574
"Carmacks",1993,11.7560371155633,110.260249514024,17.5,120,103.971581550561,8.9533638133759,158.340087554706,2.58591671579678,7.25695291910194,4930,541529.411764706,197.7,161.8954254,-12.158120541048,218,58.7579817382735,45.8735451620089,1161.98491322758
"Carmacks",1994,10.1585750340267,235.549941961326,15.8833333333333,128,139.861882158221,10.179725657301,145.119651286741,1.97904382333399,7.29039773884891,4620,523941.176470588,150.5,132.9529677,-13.1676776753712,210.444444444444,63.1932011226792,96.5021018892548,1334.22963339671
"Carmacks",1995,9.47370074403,191.545212237413,17.9434306,124,139.79889033653,9.05641783853319,149.819554565464,2.23673972654265,7.79047169777507,3910,383941.176470588,177.3,134.4686715,-15.9728770341532,226.111111111111,99.8124505000684,80.8676553690705,1016.24567099576
