"","date","meansst","Ecosystem_sub"
"1",1985-01-01,0.64,"Northern Bering Sea"
"2",1985-01-01,3.51,"Southeastern Bering Sea"
"3",1985-01-02,0.45,"Northern Bering Sea"
"4",1985-01-02,3.46,"Southeastern Bering Sea"
"5",1985-01-03,0.29,"Northern Bering Sea"
"6",1985-01-03,3.32,"Southeastern Bering Sea"
"7",1985-01-04,-0.05,"Northern Bering Sea"
"8",1985-01-04,2.91,"Southeastern Bering Sea"
"9",1985-01-05,-0.03,"Northern Bering Sea"
"10",1985-01-05,2.86,"Southeastern Bering Sea"
"11",1985-01-06,0.15,"Northern Bering Sea"
"12",1985-01-06,3.41,"Southeastern Bering Sea"
"13",1985-01-07,0.2,"Northern Bering Sea"
"14",1985-01-07,3.8,"Southeastern Bering Sea"
"15",1985-01-08,0.16,"Northern Bering Sea"
"16",1985-01-08,3.83,"Southeastern Bering Sea"
"17",1985-01-09,0.09,"Northern Bering Sea"
"18",1985-01-09,3.53,"Southeastern Bering Sea"
"19",1985-01-10,0.07,"Northern Bering Sea"
"20",1985-01-10,3.42,"Southeastern Bering Sea"
"21",1985-01-11,0.06,"Northern Bering Sea"
"22",1985-01-11,3.39,"Southeastern Bering Sea"
"23",1985-01-12,-0.3,"Northern Bering Sea"
"24",1985-01-12,3.09,"Southeastern Bering Sea"
"25",1985-01-13,-0.36,"Northern Bering Sea"
"26",1985-01-13,3.24,"Southeastern Bering Sea"
"27",1985-01-14,-0.39,"Northern Bering Sea"
"28",1985-01-14,3.29,"Southeastern Bering Sea"
"29",1985-01-15,-0.22,"Northern Bering Sea"
"30",1985-01-15,3.57,"Southeastern Bering Sea"
"31",1985-01-16,-0.3,"Northern Bering Sea"
"32",1985-01-16,3.57,"Southeastern Bering Sea"
"33",1985-01-17,-0.35,"Northern Bering Sea"
"34",1985-01-17,3.56,"Southeastern Bering Sea"
"35",1985-01-18,-0.31,"Northern Bering Sea"
"36",1985-01-18,3.59,"Southeastern Bering Sea"
"37",1985-01-19,-0.28,"Northern Bering Sea"
"38",1985-01-19,3.62,"Southeastern Bering Sea"
"39",1985-01-20,-0.29,"Northern Bering Sea"
"40",1985-01-20,3.61,"Southeastern Bering Sea"
"41",1985-01-21,-0.35,"Northern Bering Sea"
"42",1985-01-21,3.7,"Southeastern Bering Sea"
"43",1985-01-22,-0.4,"Northern Bering Sea"
"44",1985-01-22,3.63,"Southeastern Bering Sea"
"45",1985-01-23,-0.49,"Northern Bering Sea"
"46",1985-01-23,3.4,"Southeastern Bering Sea"
"47",1985-01-24,-0.52,"Northern Bering Sea"
"48",1985-01-24,3.23,"Southeastern Bering Sea"
"49",1985-01-25,-0.59,"Northern Bering Sea"
"50",1985-01-25,3,"Southeastern Bering Sea"
"51",1985-01-26,-0.39,"Northern Bering Sea"
"52",1985-01-26,3.45,"Southeastern Bering Sea"
"53",1985-01-27,-0.45,"Northern Bering Sea"
"54",1985-01-27,3.23,"Southeastern Bering Sea"
"55",1985-01-28,-0.28,"Northern Bering Sea"
"56",1985-01-28,3.06,"Southeastern Bering Sea"
"57",1985-01-29,-0.32,"Northern Bering Sea"
"58",1985-01-29,3.07,"Southeastern Bering Sea"
"59",1985-01-30,-0.29,"Northern Bering Sea"
"60",1985-01-30,2.91,"Southeastern Bering Sea"
"61",1985-01-31,-0.31,"Northern Bering Sea"
"62",1985-01-31,2.77,"Southeastern Bering Sea"
"63",1985-02-01,-0.38,"Northern Bering Sea"
"64",1985-02-01,2.76,"Southeastern Bering Sea"
"65",1985-02-02,-0.36,"Northern Bering Sea"
"66",1985-02-02,2.88,"Southeastern Bering Sea"
"67",1985-02-03,-0.12,"Northern Bering Sea"
"68",1985-02-03,3.07,"Southeastern Bering Sea"
"69",1985-02-04,-0.09,"Northern Bering Sea"
"70",1985-02-04,3.1,"Southeastern Bering Sea"
"71",1985-02-05,-0.02,"Northern Bering Sea"
"72",1985-02-05,3.16,"Southeastern Bering Sea"
"73",1985-02-06,-0.15,"Northern Bering Sea"
"74",1985-02-06,3,"Southeastern Bering Sea"
"75",1985-02-07,-0.24,"Northern Bering Sea"
"76",1985-02-07,2.83,"Southeastern Bering Sea"
"77",1985-02-08,-0.16,"Northern Bering Sea"
"78",1985-02-08,2.75,"Southeastern Bering Sea"
"79",1985-02-09,-0.22,"Northern Bering Sea"
"80",1985-02-09,2.55,"Southeastern Bering Sea"
"81",1985-02-10,-0.31,"Northern Bering Sea"
"82",1985-02-10,2.38,"Southeastern Bering Sea"
"83",1985-02-11,-0.37,"Northern Bering Sea"
"84",1985-02-11,2.37,"Southeastern Bering Sea"
"85",1985-02-12,-0.3,"Northern Bering Sea"
"86",1985-02-12,2.46,"Southeastern Bering Sea"
"87",1985-02-13,-0.32,"Northern Bering Sea"
"88",1985-02-13,2.55,"Southeastern Bering Sea"
"89",1985-02-14,-0.35,"Northern Bering Sea"
"90",1985-02-14,2.43,"Southeastern Bering Sea"
"91",1985-02-15,-0.47,"Northern Bering Sea"
"92",1985-02-15,2.11,"Southeastern Bering Sea"
"93",1985-02-16,-0.61,"Northern Bering Sea"
"94",1985-02-16,1.83,"Southeastern Bering Sea"
"95",1985-02-17,-0.72,"Northern Bering Sea"
"96",1985-02-17,1.6,"Southeastern Bering Sea"
"97",1985-02-18,-0.83,"Northern Bering Sea"
"98",1985-02-18,1.45,"Southeastern Bering Sea"
"99",1985-02-19,-0.92,"Northern Bering Sea"
"100",1985-02-19,1.38,"Southeastern Bering Sea"
"101",1985-02-20,-0.98,"Northern Bering Sea"
"102",1985-02-20,1.34,"Southeastern Bering Sea"
"103",1985-02-21,-1.04,"Northern Bering Sea"
"104",1985-02-21,1.28,"Southeastern Bering Sea"
"105",1985-02-22,-1.09,"Northern Bering Sea"
"106",1985-02-22,1.22,"Southeastern Bering Sea"
"107",1985-02-23,-1.16,"Northern Bering Sea"
"108",1985-02-23,1.06,"Southeastern Bering Sea"
"109",1985-02-24,-1.29,"Northern Bering Sea"
"110",1985-02-24,0.94,"Southeastern Bering Sea"
"111",1985-02-25,-1.44,"Northern Bering Sea"
"112",1985-02-25,0.68,"Southeastern Bering Sea"
"113",1985-02-26,-1.48,"Northern Bering Sea"
"114",1985-02-26,0.62,"Southeastern Bering Sea"
"115",1985-02-27,-1.42,"Northern Bering Sea"
"116",1985-02-27,0.65,"Southeastern Bering Sea"
"117",1985-02-28,-1.41,"Northern Bering Sea"
"118",1985-02-28,0.75,"Southeastern Bering Sea"
"119",1985-03-01,-1.4,"Northern Bering Sea"
"120",1985-03-01,0.81,"Southeastern Bering Sea"
"121",1985-03-02,-1.44,"Northern Bering Sea"
"122",1985-03-02,0.96,"Southeastern Bering Sea"
"123",1985-03-03,-1.51,"Northern Bering Sea"
"124",1985-03-03,0.74,"Southeastern Bering Sea"
"125",1985-03-04,-1.54,"Northern Bering Sea"
"126",1985-03-04,0.58,"Southeastern Bering Sea"
"127",1985-03-05,-1.62,"Northern Bering Sea"
"128",1985-03-05,0.19,"Southeastern Bering Sea"
"129",1985-03-06,-1.55,"Northern Bering Sea"
"130",1985-03-06,0.26,"Southeastern Bering Sea"
"131",1985-03-07,-1.52,"Northern Bering Sea"
"132",1985-03-07,0.36,"Southeastern Bering Sea"
"133",1985-03-08,-1.49,"Northern Bering Sea"
