OID_,OBJECTID_1,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN
1,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-01-01 0:00:00,1987-02-01 0:00:00,3.395941617977188
2,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-02-01 0:00:00,1987-03-01 0:00:00,2.998728843194891
3,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-03-01 0:00:00,1987-04-01 0:00:00,3.028143734242541
4,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-04-01 0:00:00,1987-05-01 0:00:00,3.170277036816242
5,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-05-01 0:00:00,1987-06-01 0:00:00,3.735489218206291
6,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-06-01 0:00:00,1987-07-01 0:00:00,5.417024776159996
7,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-07-01 0:00:00,1987-08-01 0:00:00,8.228176273208067
8,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-08-01 0:00:00,1987-09-01 0:00:00,9.287910390187452
9,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-09-01 0:00:00,1987-10-01 0:00:00,9.199169264644022
10,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-10-01 0:00:00,1987-11-01 0:00:00,6.604219820413241
11,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-11-01 0:00:00,1987-12-01 0:00:00,5.249891447733683
12,1,415.000000000000000,25.937500000000000,sst,StdTime,1987-12-01 0:00:00,1988-01-01 0:00:00,4.009828893247859
13,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-01-01 0:00:00,1988-02-01 0:00:00,3.354824636355942
14,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-02-01 0:00:00,1988-03-01 0:00:00,3.102731133081827
15,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-03-01 0:00:00,1988-04-01 0:00:00,1.470891524888912
16,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-04-01 0:00:00,1988-05-01 0:00:00,1.025877084834669
17,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-05-01 0:00:00,1988-06-01 0:00:00,2.660275880399961
18,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-06-01 0:00:00,1988-07-01 0:00:00,4.486830423538947
19,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-07-01 0:00:00,1988-08-01 0:00:00,7.194338736476668
20,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-08-01 0:00:00,1988-09-01 0:00:00,9.163949279325561
21,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-09-01 0:00:00,1988-10-01 0:00:00,8.487960454642055
22,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-10-01 0:00:00,1988-11-01 0:00:00,6.915807073662085
23,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-11-01 0:00:00,1988-12-01 0:00:00,5.074789456861561
24,1,415.000000000000000,25.937500000000000,sst,StdTime,1988-12-01 0:00:00,1989-01-01 0:00:00,3.504107180848177
25,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-01-01 0:00:00,1989-02-01 0:00:00,2.756881393581988
26,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-02-01 0:00:00,1989-03-01 0:00:00,1.819291696881493
27,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-03-01 0:00:00,1989-04-01 0:00:00,1.483809525674457
28,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-04-01 0:00:00,1989-05-01 0:00:00,1.595844138249845
29,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-05-01 0:00:00,1989-06-01 0:00:00,3.305024412453892
30,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-06-01 0:00:00,1989-07-01 0:00:00,4.784668166953399
31,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-07-01 0:00:00,1989-08-01 0:00:00,7.672908488813652
32,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-08-01 0:00:00,1989-09-01 0:00:00,10.242211978406797
33,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-09-01 0:00:00,1989-10-01 0:00:00,8.825286525128835
34,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-10-01 0:00:00,1989-11-01 0:00:00,6.385081859956308
35,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-11-01 0:00:00,1989-12-01 0:00:00,4.703586250328153
36,1,415.000000000000000,25.937500000000000,sst,StdTime,1989-12-01 0:00:00,1990-01-01 0:00:00,3.186511390467726
37,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-01-01 0:00:00,1990-02-01 0:00:00,2.951606618352685
38,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-02-01 0:00:00,1990-03-01 0:00:00,1.714511147470225
39,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-03-01 0:00:00,1990-04-01 0:00:00,1.391991414778013
40,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-04-01 0:00:00,1990-05-01 0:00:00,1.861610398554882
41,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-05-01 0:00:00,1990-06-01 0:00:00,3.224240110868431
42,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-06-01 0:00:00,1990-07-01 0:00:00,5.499808714188720
43,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-07-01 0:00:00,1990-08-01 0:00:00,8.257704439507906
44,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-08-01 0:00:00,1990-09-01 0:00:00,8.878759246274653
45,1,415.000000000000000,25.937500000000000,sst,StdTime,1990-09-01 0:00:00,1990-10-01 0:00:00,8.627782919320719
