Year,Korea,Japan,M&I,WKam,EKam,WAK,SPen,Kod,CI,PWS,SEAK,NBC,SBC,WA,Total
1952,0,2.814848804,19.33071419,3.697441598,3.695893486,4.888498998,1.758435405,1.722292913,1.254115822,0.829918607,6.492522601,2.063324662,2.827127979,1.509380338,52.8845154
1953,0,2.974520885,19.59510092,3.672259007,2.042157657,5.073823082,2.262754802,0.906951177,1.437735418,0.607488052,5.728744541,3.247582206,3.291030043,0.973272136,51.81341993
1954,0,5.231612663,28.34910003,7.409706484,3.570395161,5.449885874,2.11490696,1.730723674,1.926144857,0.694960631,6.569522256,3.892184861,3.806424248,1.359589248,72.10515694
1955,0,4.467804815,38.88201718,10.49959907,7.390359673,4.639300499,1.552750056,0.823941001,0.957325244,0.694960631,3.122068895,1.253902249,1.688274037,0.826184092,76.79848744
1956,0,3.18721709,44.8119711,7.076872807,7.240155999,5.418601277,2.484154138,1.101367663,2.112816296,0.78243321,4.683536914,2.323164734,1.732611061,0.548116184,83.50301847
1957,0,5.956048152,28.98741915,2.441295943,3.367548906,4.981530538,2.076381283,1.683669961,2.757133988,0.995492665,5.571502658,2.993578801,2.827598338,0.570953352,65.21015374
1958,0,8.72178808,34.26272094,2.296253536,4.139079587,5.077917308,1.58784574,1.36837987,1.562054352,0.975245857,4.792446199,2.991270003,2.573057732,1.04019094,71.38825014
1959,0,4.596065594,28.60954263,6.756218211,6.102814705,5.564920171,1.302767372,1.136047663,1.168185562,0.808458415,2.785072673,1.2379197,3.621772237,1.001708545,64.69149348
1960,0,4.161792356,35.88829175,3.109125171,3.349609811,7.21422201,1.821156682,1.785464816,1.926980756,0.641670972,1.978673557,1.66561655,2.598505599,0.523124066,66.6642341
1961,0,5.922371822,27.31719593,2.412658928,3.142075441,5.160953333,1.495386215,0.870673142,1.155135312,0.4521253,3.772593277,1.793854004,1.691719627,0.448188681,55.63493101
1962,0,6.684279087,26.88745994,2.156871225,3.651644739,5.465002655,1.876549616,1.208894147,2.648376925,1.184376315,3.290762595,2.73630371,1.375943028,0.561895734,59.72835971
1963,0,7.692637227,26.37297122,1.625701562,4.573791491,4.156757963,1.394075408,0.58721713,1.41432345,1.234696837,2.595790315,2.689342252,1.916667086,0.652280464,56.90625241
1964,0,9.752109113,24.63315324,1.808015542,3.268790838,5.403153805,1.970967968,1.600521603,3.116199983,0.817270642,3.048417822,4.30434064,2.136210235,0.614526402,62.47367783
1965,0,10.44416341,26.759273,1.608128346,2.099349916,4.369255301,1.030890247,0.757548633,1.019812355,0.422814712,2.65948562,1.627812803,0.909744796,0.488487962,54.1967671
1966,0,10.36944574,30.41866793,1.673668716,2.43810247,4.382349374,1.384608676,1.170805268,1.695016072,0.747438,5.270509187,3.61090601,1.792570274,0.812262822,65.76635054
1967,0,11.89812866,22.52359725,0.615287591,2.673609332,4.274388692,0.678809566,0.365913,1.10440986,0.560444,4.062489105,2.514882921,1.484187861,0.613050633,53.36919848
1968,0,7.944573885,19.0267346,0.67160999,1.895326185,4.571945913,1.009973065,0.899431,2.731600372,0.510759,3.901000058,4.52049526,4.325065973,0.557751513,52.56626682
1969,0,11.27794503,9.929829161,0.766673266,1.876165936,4.548131473,0.568828987,0.622216,0.989273379,0.526892,1.445922949,1.798708592,3.019968339,0.389285661,37.75984077
1970,0,13.05670334,18.23137139,1.645347873,1.754856028,6.678061501,1.781081319,1.017486,2.362583646,0.369211,4.57205214,4.069678421,5.408260194,0.65043204,61.5971249
1971,0.000095,18.17115761,15.5068535,0.578963383,1.446547873,5.81768663,2.362581977,1.789492,1.308092097,0.821285,4.341430953,2.174202876,2.04929573,0.359158033,56.72684267
1972,0.00041,18.88873309,16.24927746,0.457262915,1.78241607,5.202914919,0.992920996,1.51579,1.814014,0.65106,5.491472917,3.896274632,9.234478601,0.876818334,67.05384394
1973,0.000507,20.06556273,12.56724169,0.283494929,1.646311939,6.948275249,0.609317591,0.642091,2.102163,1.835234,4.431469905,4.741572725,7.99284271,0.599289808,64.46537428
1974,0.000273,25.06417717,13.95339954,0.760701479,1.603032858,8.116411645,0.732682225,0.363201,1.174567,0.464069,4.54623619,3.088028623,2.696964329,0.78908,63.35282406
1975,0.000182,32.56435631,11.29735198,0.134677232,1.451408314,9.648650108,0.535106864,0.281521,2.665918,0.206894,2.480603728,1.204819132,2.356174814,0.271818,65.09948149
