Year,Korea,Japan,M&I,WKam,EKam,WAK,SPen,Kod,CI,PWS,SEAK,NBC,SBC,WA,Total
1952,0,2.814848804,0,0,0,0,0,0,0,0,0,0,0.073993586,0,2.88884239
1953,0,2.974520885,0.22386,0,0,0,0,0,0,0,0,0,0,0,3.198380885
1954,0,5.231612663,0.207766,0,0,0,0,0,0,0,0,0,0,0,5.439378663
1955,0,4.467804815,0.170872,0,0,0,0,0,0,0,0,0,0,0,4.638676815
1956,0,3.18721709,0.226642,0,0,0,0,0,0,0,0,0,0,0,3.41385909
1957,0,5.956048152,0.256542,0,0,0,0,0,0,0,0,0,0,0,6.212590152
1958,0,8.72178808,0.232934,0,0,0,0,0,0,0,0,0,0,0,8.95472208
1959,0,4.596065594,0.21281,0,0,0,0,0,0,0,0,0,0,0,4.808875594
1960,0,4.161792356,0.435396,0,0,0,0,0,0,0,0,0,0.001231255,0,4.598419611
1961,0,5.922371822,0.382226,0,0,0,0,0,0,0,0,0,0.001994241,0,6.306592063
1962,0,6.684279087,0.447902,0,0,0,0,0,0,0,0,0,0.346120297,0,7.478301384
1963,0,7.692637227,0.523016,0,0,0,0,0,0,0,0,0,0.0744975,0,8.290150727
1964,0,9.752109113,0.48477,0,0,0,0,0,0,0,0,0,0.07443037,0,10.31130948
1965,0,10.44416341,0.696722,0,0,0,0,0,0,0,0,0,0.111991846,0,11.25287725
1966,0,10.36944574,0.4607928,0,0,0,0,0,0,0,0,0,0.34315677,0,11.17339531
1967,0,11.89812866,0.327522,0,0,0,0,0,0,0,0,0,0.251490462,0,12.47714113
1968,0,7.944573885,0.79456,0,0,0,0,0,0,0,0,0,0.169849388,0.014427,8.923410273
1969,0,11.27794503,0.34372,0,0,0,0,0,0,0,0,0,0.357588,0.014279,11.99353203
1970,0,13.05670334,0.46566,0,0,0,0,0,0,0,0,0,0.572433878,0.022842,14.11763922
1971,0.000095,18.17115761,0.9776,0,0,0,0,0,0,0,0,0,0.850008288,0.017915,20.0167759
1972,0.00041,18.88873309,0.56784,0,0,0,0,0,0,0,0,0,1.039395669,0.026948,20.52332676
1973,0.000507,20.06556273,1.07172,0,0,0,0,0,0,0,0,0,0.831310235,0.034686,22.00378597
1974,0.000273,25.06417717,0.763848227,0.00962769,0.064111223,0,0,0,0,0,0,0,0.654094599,0.075911,26.63204291
1975,0.000182,32.56435631,0.691100777,0.008710767,0.058005392,0,0,0,0,0,0,0,0.739457699,0.054896,34.11670895
1976,0.00044,23.50208729,0.745661364,0.00939846,0.062584765,0,0,0,0,0,0,0,0.931335523,0.194602,25.44610941
