Sample time,Sample number,Sample type,Temperature (air) [Lab: 80] [VMV: 97060],Status(0),Unit code(0),Value modifier code(0),Temperature (water) [Lab: 80] [VMV: 2061],Status(1),Unit code(1),Value modifier code(1)
1982-07-22 14:17,82PY000283,1,17.5,U,DEG C,,15.5,U,DEG C,
1982-07-29 13:00,82PY000306,1,18,U,DEG C,,17,U,DEG C,
1982-08-05 11:54,82PY000320,1,12,U,DEG C,,15,U,DEG C,
1982-08-12 16:29,82PY000327,1,18,U,DEG C,,15,U,DEG C,
1982-08-19 17:10,82PY000385,1,16,U,DEG C,,10,U,DEG C,
1982-08-26 17:30,82PY000396,1,18,U,DEG C,,13,U,DEG C,
1982-09-13 16:30,82PY000433,1,13,U,DEG C,,9,U,DEG C,
1982-09-16 16:00,82PY000438,1,18,U,DEG C,,10,U,DEG C,
1982-09-24 18:00,82PY000461,1,9,U,DEG C,,8,U,DEG C,
1982-09-30 17:40,82PY000470,1,3,U,DEG C,,6,U,DEG C,
1982-10-07 12:30,82PY000480,1,-3,U,DEG C,,3,U,DEG C,
1982-10-21 18:15,82PY000512,1,-5.5,U,DEG C,,0,U,DEG C,
1982-10-28 13:00,82PY000524,1,-18,U,DEG C,,0,U,DEG C,
1982-11-12 17:10,82PY000553,1,-7,U,DEG C,,0,U,DEG C,
1982-11-18 17:30,82PY000564,1,-36.5,U,DEG C,,0,U,DEG C,
1982-11-24 17:20,82PY000600,1,-16.5,U,DEG C,,0,U,DEG C,
1982-12-03 14:30,82PY000640,1,-22,U,DEG C,,0,U,DEG C,
1982-12-10 14:45,82PY000650,1,-18.5,U,DEG C,,0,U,DEG C,
1982-12-17 12:50,82PY000664,1,-27.5,U,DEG C,,0,U,DEG C,
1982-12-23 15:25,82PY000701,1,-18,U,DEG C,,0,U,DEG C,
1982-12-30 15:00,82PY000711,1,-3,U,DEG C,,0,U,DEG C,
1983-01-11 14:00,83PY000012,1,-48,U,DEG C,,0,U,DEG C,
1983-01-20 15:00,83PY000031,1,-27,U,DEG C,,0,U,DEG C,
1983-02-22 16:40,83PY000117,1,-21,U,DEG C,,0,U,DEG C,
1983-03-25 14:45,83PY000207,1,-15.5,U,DEG C,,0.5,U,DEG C,
1983-03-30 19:30,83PY000218,1,-11,U,DEG C,,0.5,U,DEG C,
1983-05-14 16:35,83PY000306,1,13,U,DEG C,,5,U,DEG C,
1983-05-20 15:05,83PY000379,1,12,U,DEG C,,7,U,DEG C,
1983-05-26 17:45,83PY000391,1,13,U,DEG C,,10,U,DEG C,
1983-06-10 18:45,83PY000431,1,15.5,U,DEG C,,11,U,DEG C,
1983-06-20 12:00,83PY000463,1,14,U,DEG C,,14,U,DEG C,
1983-07-27 12:00,83PY000542,1,19,U,DEG C,,14,U,DEG C,
1983-09-29 14:30,83PY000635,1,14,U,DEG C,,9,U,DEG C,
1983-10-06 15:40,83PY001283,1,0,U,DEG C,,2.5,U,DEG C,
1983-10-13 14:00,83PY001302,1,-1,U,DEG C,,,,,
1983-10-20 13:30,83PY001345,1,-16,U,DEG C,,,,,
1983-11-03 19:00,83PY001627,1,-8,U,DEG C,,0.5,U,DEG C,
1983-11-10 23:00,83PY001727,1,-3.5,U,DEG C,,-0.5,U,DEG C,
1983-11-23 19:40,83PY001938,1,-16.5,U,DEG C,,0,U,DEG C,
1983-12-01 20:00,83PY001953,1,-7.5,U,DEG C,,0,U,DEG C,
1983-12-08 12:20,83PY002015,1,-27,U,DEG C,,,,,
1986-06-18 19:09,86PY001012,1,22,U,DEG C,,13,U,DEG C,
1986-07-03 18:40,86PY001061,1,21.5,U,DEG C,,16,U,DEG C,
1986-07-17 14:18,86PY001141,1,19,U,DEG C,,13,U,DEG C,
1986-08-12 20:00,86PY001237,1,19,U,DEG C,,15,U,DEG C,
1986-10-02 1:00,86PY001498,1,8,U,DEG C,,,,,
1986-10-24 1:30,86PY001603,1,-5,U,DEG C,,0,U,DEG C,
1986-11-07 19:45,86PY001655,1,-25,U,DEG C,,1,U,DEG C,
1986-11-20 1:20,86PY001718,1,-35,U,DEG C,,1,U,DEG C,
1986-12-04 23:00,86PY001775,1,-18,U,DEG C,,0,U,DEG C,
1986-12-19 22:40,86PY001806,1,11,U,DEG C,,0,U,DEG C,
1987-01-01 0:00,86PY001829,1,-20,U,DEG C,,0,U,DEG C,
1987-01-16 18:30,86PY001900,1,13,U,DEG C,,0,U,DEG C,
1987-02-13 17:00,86PY002065,1,-21,U,DEG C,,0,U,DEG C,
1987-02-27 17:30,86PY002081,1,-27,U,DEG C,,0,U,DEG C,
1987-03-11 14:00,86PY002259,1,-7,U,DEG C,,0,U,DEG C,
1987-03-23 12:00,87PY000042,1,-12,U,DEG C,,-1,U,DEG C,
1987-04-08 16:00,87PY000081,1,-4,U,DEG C,,0,U,DEG C,
1987-04-22 13:20,87PY000128,1,0,U,DEG C,,0,U,DEG C,
1987-05-20 16:00,87PY000505,1,19,U,DEG C,,12,U,DEG C,
1987-06-02 18:00,87PY000560,1,12.5,U,DEG C,,,,,
1987-06-17 13:45,87PY000812,1,18,U,DEG C,,10,U,DEG C,
1987-07-01 19:30,87PY000947,1,17,U,DEG C,,15,U,DEG C,
1987-07-16 17:00,87PY001039,1,26,U,DEG C,,15,U,DEG C,
1987-08-04 18:30,87PY001329,1,21,U,DEG C,,16,U,DEG C,
1987-08-13 18:00,87PY001373,1,23,U,DEG C,,15,U,DEG C,
1987-08-27 18:15,87PY001502,1,19,U,DEG C,,14,U,DEG C,
1987-09-11 18:00,87PY001511,1,7.5,U,DEG C,,8,U,DEG C,
1987-09-26 18:30,87PY001563,1,12,U,DEG C,,7,U,DEG C,
1987-10-08 13:00,87PY001541,1,3.5,U,DEG C,,4.5,U,DEG C,
1987-11-19 17:20,87PY001662,1,-16,U,DEG C,,1,U,DEG C,
1988-01-13 23:15,88PY000214,1,-13,U,DEG C,,0.5,U,DEG C,
1988-02-11 19:00,88PY000384,1,-23,U,DEG C,,0.5,U,DEG C,
1988-03-03 18:00,88PY000495,1,-5,U,DEG C,,0.5,U,DEG C,
1988-04-15 18:30,88PY000876,1,5,U,DEG C,,3,U,DEG C,
1988-06-01 15:35,88PY001378,1,12,U,DEG C,,9,U,DEG C,
1988-06-13 19:00,88PY001431,1,25,U,DEG C,,15,U,DEG C,
1988-06-30 23:00,88PY001508,1,25,U,DEG C,,15,U,DEG C,
1988-07-26 20:30,88PY001699,1,18,U,DEG C,,14,U,DEG C,
1988-08-10 21:00,88PY001808,1,19,U,DEG C,,13,U,DEG C,
1988-08-24 16:15,88PY001867,1,14,U,DEG C,,11,U,DEG C,
1988-09-06 21:10,88PY001904,1,13,U,DEG C,,11,U,DEG C,
1988-09-21 21:05,88PY002187,1,12,U,DEG C,,7,U,DEG C,
1988-10-19 22:00,88PY002373,1,-12,U,DEG C,,0,U,DEG C,
