 ID,PARAM,MM--YYYY,Value
09ED001,1,01--1983,841
09ED001,1,02--1983,656
09ED001,1,03--1983,558
09ED001,1,04--1983,623
09ED001,1,05--1983,4060
09ED001,1,06--1983,6800
09ED001,1,07--1983,4990
09ED001,1,08--1983,4640
09ED001,1,09--1983,3370
09ED001,1,10--1983,2000
09ED001,1,11--1983,994
09ED001,1,12--1983,692
09ED001,1,01--1984,477
09ED001,1,02--1984,397
09ED001,1,03--1984,408
09ED001,1,04--1984,547
09ED001,1,05--1984,3460
09ED001,1,06--1984,5400
09ED001,1,07--1984,5360
09ED001,1,08--1984,3440
09ED001,1,09--1984,2980
09ED001,1,10--1984,1710
09ED001,1,11--1984,979
09ED001,1,12--1984,733
09ED001,1,01--1985,614
09ED001,1,02--1985,548
09ED001,1,03--1985,519
09ED001,1,04--1985,510
09ED001,1,05--1985,2910
09ED001,1,06--1985,7630
09ED001,1,07--1985,6330
09ED001,1,08--1985,4420
09ED001,1,09--1985,3390
09ED001,1,10--1985,2030
09ED001,1,11--1985,1040
09ED001,1,12--1985,773
09ED001,1,01--1986,656
09ED001,1,02--1986,582
09ED001,1,03--1986,533
09ED001,1,04--1986,491
09ED001,1,05--1986,2630
09ED001,1,06--1986,7450
09ED001,1,07--1986,6160
09ED001,1,08--1986,4720
09ED001,1,09--1986,3490
09ED001,1,10--1986,2350
09ED001,1,11--1986,1450
09ED001,1,12--1986,947
09ED001,1,01--1987,728
09ED001,1,02--1987,599
09ED001,1,03--1987,506
09ED001,1,04--1987,453
09ED001,1,05--1987,2630
09ED001,1,06--1987,6520
09ED001,1,07--1987,5230
09ED001,1,08--1987,3980
09ED001,1,09--1987,3440
09ED001,1,10--1987,2630
09ED001,1,11--1987,1330
09ED001,1,12--1987,890
09ED001,1,01--1988,680
09ED001,1,02--1988,596
09ED001,1,03--1988,556
09ED001,1,04--1988,562
09ED001,1,05--1988,5260
09ED001,1,06--1988,6130
09ED001,1,07--1988,6730
09ED001,1,08--1988,5210
09ED001,1,09--1988,3230
09ED001,1,10--1988,1940
09ED001,1,11--1988,772
09ED001,1,12--1988,722
09ED001,1,01--1989,646
09ED001,1,02--1989,566
09ED001,1,03--1989,552
09ED001,1,04--1989,809
09ED001,1,05--1989,4610
09ED001,1,06--1989,5040
09ED001,1,07--1989,3720
09ED001,1,08--1989,3070
09ED001,1,09--1989,2370
09ED001,1,10--1989,1670
09ED001,1,11--1989,770
09ED001,1,12--1989,670
09ED001,1,01--1990,593
09ED001,1,02--1990,526
09ED001,1,03--1990,498
09ED001,1,04--1990,1180
09ED001,1,05--1990,4210
09ED001,1,06--1990,6310
09ED001,1,07--1990,4670
09ED001,1,08--1990,3790
09ED001,1,09--1990,4590
09ED001,1,10--1990,2850
09ED001,1,11--1990,1220
09ED001,1,12--1990,769
09ED001,1,01--1991,607
09ED001,1,02--1991,550
09ED001,1,03--1991,538
09ED001,1,04--1991,706
09ED001,1,05--1991,5190
09ED001,1,06--1991,5580
09ED001,1,07--1991,5410
09ED001,1,08--1991,4720
09ED001,1,09--1991,4010
09ED001,1,10--1991,2970
09ED001,1,11--1991,1330
09ED001,1,12--1991,1040
09ED001,1,01--1992,860
09ED001,1,02--1992,749
09ED001,1,03--1992,682
09ED001,1,04--1992,667
09ED001,1,05--1992,3270
09ED001,1,06--1992,10600
09ED001,1,07--1992,7630
09ED001,1,08--1992,4340
09ED001,1,09--1992,3080
09ED001,1,10--1992,1750
09ED001,1,11--1992,952
09ED001,1,12--1992,760
09ED001,1,01--1993,650
09ED001,1,02--1993,587
09ED001,1,03--1993,526
09ED001,1,04--1993,604
09ED001,1,05--1993,5710
09ED001,1,06--1993,7540
09ED001,1,07--1993,4930
09ED001,1,08--1993,3860
09ED001,1,09--1993,3110
09ED001,1,10--1993,2190
09ED001,1,11--1993,1180
09ED001,1,12--1993,828
09ED001,1,01--1994,682
09ED001,1,02--1994,616
09ED001,1,03--1994,565
09ED001,1,04--1994,1100
09ED001,1,05--1994,4140
09ED001,1,06--1994,5500
09ED001,1,07--1994,4620
09ED001,1,08--1994,3550
09ED001,1,09--1994,2560
09ED001,1,10--1994,2430
