Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,7463.435695
1983,6208.243684
1984,5242.558814
1985,2717.470822
1986,3195.169837
1987,6047.239153
1988,7121.64922
1989,7059.735516
1990,7884.110697
1991,7270.49583
1992,6285.228428
1993,6438.9824
1994,6206.474866
1995,6593.848149
1996,5742.343921
1997,6717.277555
1998,6154.66278
1999,5267.089046
2000,5559.931944
2001,6343.488964
2002,6055.359917
2003,6862.199066
2004,7130.419405
2005,8498.199755
2006,8272.46701
2007,7684.912284
2008,6550.6386
2009,6316.91559
2010,7881.85609
2011,8412.480079
2012,8851.048692
2013,8577.517023
2014,8106.458532
2015,8641.964498
2016,9517.015132
2017,9673.49929
2018,9610.743459
2019,8836.938598
2020,null
2021,8581.455879
