Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,null
1983,null
1984,null
1985,null
1986,null
1987,2817.62
1988,6158.38
1989,2572.05
1990,7813
1991,10980.38
1992,11627.85
1993,null
1994,7490.68
1995,7835
1996,4778.35
1997,9290.49
1998,6683.97
1999,3668.56
2000,6452.63
2001,6273.27
2002,7003.64
2003,12059.53
2004,11217.41
2005,4741.53
2006,4844.53
2007,4674.36
2008,3083.26
2009,3451.19
2010,10022.34
2011,11478.56
2012,9387.23
2013,10697.34
2014,11074.63
2015,9746.13
2016,4030.94
2017,1967.88
2018,742.36
2019,2109.68
2020,null
2021,796.48
