Year,Returns
1952,2.8
1953,3.0
1954,5.2
1955,4.5
1956,3.2
1957,6.0
1958,8.7
1959,4.6
1960,4.2
1961,5.9
1962,6.7
1963,7.7
1964,9.8
1965,10.4
1966,10.4
1967,11.9
1968,7.9
1969,11.3
1970,13.1
1971,18.2
1972,18.9
1973,20.1
1974,25.1
1975,32.6
1976,23.5
1977,18.4
1978,20.0
1979,27.6
1980,26.1
1981,33.5
1982,32.6
1983,37.3
1984,42.3
1985,52.3
1986,50.6
1987,44.8
1988,52.5
1989,55.6
1990,69.0
1991,60.8
1992,45.9
1993,62.7
1994,63.8
1995,75.6
1996,86.8
1997,77.7
1998,59.3
1999,51.5
2000,46.2
2001,64.3
2002,56.0
2003,73.5
2004,77.0
2005,70.8
2006,68.0
2007,60.7
2008,48.6
2009,58.2
2010,45.3
2011,39.7
2012,40.0
2013,47.4
2014,40.8
2015,39.6
