OID_,time,oc_TsfcM2_Anom,oc_TsfcM2_TSFC,lat,lon,depth
1,1950-07-01 0:00:00,0.4400000,0.2700000,55.0000000,190.0000000,0.0000000
2,1951-07-01 0:00:00,0.3500000,0.1000000,55.0000000,190.0000000,0.0000000
3,1952-07-01 0:00:00,0.3300000,0.0500000,55.0000000,190.0000000,0.0000000
4,1953-07-01 0:00:00,0.2000000,-0.1700000,55.0000000,190.0000000,0.0000000
5,1954-07-01 0:00:00,-0.9400000,-2.3299999,55.0000000,190.0000000,0.0000000
6,1955-07-01 0:00:00,0.5600000,0.5000000,55.0000000,190.0000000,0.0000000
7,1956-07-01 0:00:00,-3.4300001,-7.0500002,55.0000000,190.0000000,0.0000000
8,1957-07-01 0:00:00,0.0300000,-0.5100000,55.0000000,190.0000000,0.0000000
9,1958-07-01 0:00:00,1.1000000,1.5300000,55.0000000,190.0000000,0.0000000
10,1959-07-01 0:00:00,-0.4400000,-1.4000000,55.0000000,190.0000000,0.0000000
11,1960-07-01 0:00:00,-0.2100000,-0.9600000,55.0000000,190.0000000,0.0000000
12,1961-07-01 0:00:00,0.8500000,1.0500000,55.0000000,190.0000000,0.0000000
13,1962-07-01 0:00:00,0.2800000,-0.0300000,55.0000000,190.0000000,0.0000000
14,1963-07-01 0:00:00,0.1500000,-0.2700000,55.0000000,190.0000000,0.0000000
15,1964-07-01 0:00:00,-0.7100000,-1.9100000,55.0000000,190.0000000,0.0000000
16,1965-07-01 0:00:00,0.0800000,-0.4100000,55.0000000,190.0000000,0.0000000
17,1966-07-01 0:00:00,0.0600000,-0.4400000,55.0000000,190.0000000,0.0000000
18,1967-07-01 0:00:00,0.6600000,0.6800000,55.0000000,190.0000000,0.0000000
19,1968-07-01 0:00:00,0.2100000,-0.1600000,55.0000000,190.0000000,0.0000000
20,1969-07-01 0:00:00,1.2800000,1.8700000,55.0000000,190.0000000,0.0000000
21,1970-07-01 0:00:00,0.4900000,0.3600000,55.0000000,190.0000000,0.0000000
22,1971-07-01 0:00:00,-1.5900000,-3.5699999,55.0000000,190.0000000,0.0000000
23,1972-07-01 0:00:00,-0.1200000,-0.7800000,55.0000000,190.0000000,0.0000000
24,1973-07-01 0:00:00,-0.7000000,-1.8900000,55.0000000,190.0000000,0.0000000
25,1974-07-01 0:00:00,-1.5100000,-3.4200001,55.0000000,190.0000000,0.0000000
26,1975-07-01 0:00:00,-1.1900001,-2.8199999,55.0000000,190.0000000,0.0000000
27,1976-07-01 0:00:00,-3.8699999,-7.8800001,55.0000000,190.0000000,0.0000000
28,1977-07-01 0:00:00,1.5200000,2.3199999,55.0000000,190.0000000,0.0000000
29,1978-07-01 0:00:00,1.5400000,2.3399999,55.0000000,190.0000000,0.0000000
30,1979-07-01 0:00:00,1.5300000,2.3299999,55.0000000,190.0000000,0.0000000
31,1980-07-01 0:00:00,-0.1000000,-0.7500000,55.0000000,190.0000000,0.0000000
32,1981-07-01 0:00:00,1.4299999,2.1400001,55.0000000,190.0000000,0.0000000
33,1982-07-01 0:00:00,0.6100000,0.5800000,55.0000000,190.0000000,0.0000000
34,1983-07-01 0:00:00,0.0800000,-0.4200000,55.0000000,190.0000000,0.0000000
35,1984-07-01 0:00:00,0.0000000,-0.5700000,55.0000000,190.0000000,0.0000000
36,1985-07-01 0:00:00,0.9600000,1.2600000,55.0000000,190.0000000,0.0000000
37,1986-07-01 0:00:00,0.3300000,0.0700000,55.0000000,190.0000000,0.0000000
38,1987-07-01 0:00:00,0.6800000,0.7200000,55.0000000,190.0000000,0.0000000
39,1988-07-01 0:00:00,-0.1100000,-0.7700000,55.0000000,190.0000000,0.0000000
40,1989-07-01 0:00:00,-0.4600000,-1.4299999,55.0000000,190.0000000,0.0000000
41,1990-07-01 0:00:00,-0.3300000,-1.1799999,55.0000000,190.0000000,0.0000000
42,1991-07-01 0:00:00,-0.4100000,-1.3500000,55.0000000,190.0000000,0.0000000
43,1992-07-01 0:00:00,-0.7900000,-2.0699999,55.0000000,190.0000000,0.0000000
44,1993-07-01 0:00:00,-0.1300000,-0.8200000,55.0000000,190.0000000,0.0000000
45,1994-07-01 0:00:00,0.4000000,0.2000000,55.0000000,190.0000000,0.0000000
46,1995-07-01 0:00:00,-0.2100000,-0.9700000,55.0000000,190.0000000,0.0000000
47,1996-07-01 0:00:00,0.6200000,0.6100000,55.0000000,190.0000000,0.0000000
48,1997-07-01 0:00:00,-0.0600000,-0.6800000,55.0000000,190.0000000,0.0000000
49,1998-07-01 0:00:00,-0.3800000,-1.2800000,55.0000000,190.0000000,0.0000000
50,1999-07-01 0:00:00,-0.8600000,-2.1900001,55.0000000,190.0000000,0.0000000
51,2000-07-01 0:00:00,-0.2000000,-0.9500000,55.0000000,190.0000000,0.0000000
52,2001-07-01 0:00:00,1.6300000,2.5100000,55.0000000,190.0000000,0.0000000
53,2002-07-01 0:00:00,-0.3000000,-1.1200000,55.0000000,190.0000000,0.0000000
54,2003-07-01 0:00:00,1.5800000,2.4400001,55.0000000,190.0000000,0.0000000
55,2004-07-01 0:00:00,0.7700000,0.9000000,55.0000000,190.0000000,0.0000000
56,2005-07-01 0:00:00,1.3300000,1.9500000,55.0000000,190.0000000,0.0000000
57,2006-07-01 0:00:00,-0.3300000,-1.2000000,55.0000000,190.0000000,0.0000000
58,2007-07-01 0:00:00,-1.1799999,-2.8000000,55.0000000,190.0000000,0.0000000
59,2008-07-01 0:00:00,-2.1800001,-4.6900001,55.0000000,190.0000000,0.0000000
60,2009-07-01 0:00:00,-1.1400000,-2.7200000,55.0000000,190.0000000,0.0000000
61,2010-07-01 0:00:00,-1.9100000,-4.1700001,55.0000000,190.0000000,0.0000000
62,2011-07-01 0:00:00,-0.9100000,-2.2900000,55.0000000,190.0000000,0.0000000
63,2012-07-01 0:00:00,-3.3000000,-6.8000002,55.0000000,190.0000000,0.0000000
64,2013-07-01 0:00:00,-1.4700000,-3.3399999,55.0000000,190.0000000,0.0000000
