OID_,time,oc_MaySST_Anom,oc_MaySST_SST
1,1948-07-01 0:00:00,-1.3900000,1.4690000
2,1949-07-01 0:00:00,-1.9000000,1.1000000
3,1950-07-01 0:00:00,-2.8599999,0.3970000
4,1951-07-01 0:00:00,-1.5599999,1.3440000
5,1952-07-01 0:00:00,-2.2800000,0.8220000
6,1953-07-01 0:00:00,0.5300000,2.8699999
7,1954-07-01 0:00:00,0.5500000,2.8829999
8,1955-07-01 0:00:00,0.0900000,2.5480001
9,1956-07-01 0:00:00,-0.2800000,2.2790000
10,1957-07-01 0:00:00,1.5400000,3.6059999
11,1958-07-01 0:00:00,1.5800000,3.6389999
12,1959-07-01 0:00:00,0.5600000,2.8929999
13,1960-07-01 0:00:00,1.0000000,3.2110000
14,1961-07-01 0:00:00,0.7800000,3.0500000
15,1962-07-01 0:00:00,0.6500000,2.9610000
16,1963-07-01 0:00:00,0.1300000,2.5760000
17,1964-07-01 0:00:00,0.5000000,2.8450000
18,1965-07-01 0:00:00,0.4800000,2.8369999
19,1966-07-01 0:00:00,0.3900000,2.7650001
20,1967-07-01 0:00:00,1.6400000,3.6770000
21,1968-07-01 0:00:00,0.7200000,3.0079999
22,1969-07-01 0:00:00,1.0000000,3.2119999
23,1970-07-01 0:00:00,0.6400000,2.9540000
24,1971-07-01 0:00:00,-1.3800000,1.4770000
25,1972-07-01 0:00:00,-0.8200000,1.8830000
26,1973-07-01 0:00:00,-0.4400000,2.1650000
27,1974-07-01 0:00:00,0.5900000,2.9140000
28,1975-07-01 0:00:00,-0.7500000,1.9370000
29,1976-07-01 0:00:00,-1.5900000,1.3200001
30,1977-07-01 0:00:00,0.7600000,3.0390000
31,1978-07-01 0:00:00,1.5400000,3.6050000
32,1979-07-01 0:00:00,1.6400000,3.6840000
33,1980-07-01 0:00:00,1.3099999,3.4430001
34,1981-07-01 0:00:00,2.1400001,4.0430002
35,1982-07-01 0:00:00,-1.0599999,1.7140000
36,1983-07-01 0:00:00,0.6000000,2.9250000
37,1984-07-01 0:00:00,-1.0599999,1.7100000
38,1985-07-01 0:00:00,-1.3500000,1.5000000
39,1986-07-01 0:00:00,-1.2600000,1.5670000
40,1987-07-01 0:00:00,0.4400000,2.8060000
41,1988-07-01 0:00:00,-0.3300000,2.2400000
42,1989-07-01 0:00:00,-0.1200000,2.3940001
43,1990-07-01 0:00:00,-0.3300000,2.2449999
44,1991-07-01 0:00:00,-0.5000000,2.1220000
45,1992-07-01 0:00:00,-0.8700000,1.8480000
46,1993-07-01 0:00:00,0.9400000,3.1680000
47,1994-07-01 0:00:00,-0.6900000,1.9770000
48,1995-07-01 0:00:00,-1.0800000,1.6930000
49,1996-07-01 0:00:00,0.4800000,2.8340001
50,1997-07-01 0:00:00,-0.7200000,1.9550000
51,1998-07-01 0:00:00,-0.7200000,1.9560000
52,1999-07-01 0:00:00,-1.7300000,1.2240000
53,2000-07-01 0:00:00,-0.5600000,2.0739999
54,2001-07-01 0:00:00,-0.0100000,2.4770000
55,2002-07-01 0:00:00,0.2700000,2.6810000
56,2003-07-01 0:00:00,1.4200000,3.5190001
57,2004-07-01 0:00:00,1.1000000,3.2860000
58,2005-07-01 0:00:00,0.8500000,3.1029999
59,2006-07-01 0:00:00,-1.6300000,1.2920001
60,2007-07-01 0:00:00,-1.7300000,1.2210000
61,2008-07-01 0:00:00,-2.5999999,0.5880000
62,2009-07-01 0:00:00,-1.6100000,1.3080000
63,2010-07-01 0:00:00,-2.4700000,0.6810000
64,2011-07-01 0:00:00,-1.6700000,1.2640001
65,2012-07-01 0:00:00,-3.4600000,-0.0430000
66,2013-07-01 0:00:00,-2.2100000,0.8710000
