Year,Value
1961,null
1962,null
1963,null
1964,null
1965,null
1966,null
1967,null
1968,null
1969,null
1970,null
1971,null
1972,null
1973,null
1974,null
1975,null
1976,null
1977,null
1978,null
1979,null
1980,null
1981,null
1982,9455.648539
1983,13545.00472
1984,11616.15505
1985,9892.110286
1986,12374.74017
1987,11399.18493
1988,17346.27087
1989,13880.14837
1990,17005.35062
1991,13053.32316
1992,13457.25221
1993,24456.52804
1994,15297.95872
1995,17449.21424
1996,8751.222577
1997,13951.11485
1998,7402.92226
1999,8453.932026
2000,11485.66393
2001,9624.415589
2002,11163.28307
2003,19661.05002
2004,11749.33185
2005,12321.43976
2006,7499.285479
2007,8930.31967
2008,7635.999581
2009,5937.820911
2010,10923.53059
2011,9374.858177
2012,11007.59188
2013,13917.03503
2014,15735.77023
2015,17440.0182
2016,11086.00817
2017,10465.58375
2018,10706.62992
2019,11137.43044
2020,null
2021,5998.119484
