agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,15565447,60,1155,1975,10,313700
USGS,15565447,60,1155,1975,11,168700
USGS,15565447,60,1155,1975,12,92840
USGS,15565447,60,1155,1976,1,67870
USGS,15565447,60,1155,1976,2,54760
USGS,15565447,60,1155,1976,3,45710
USGS,15565447,60,1155,1976,4,38430
USGS,15565447,60,1155,1976,5,285900
USGS,15565447,60,1155,1976,6,537600
USGS,15565447,60,1155,1976,7,408300
USGS,15565447,60,1155,1976,8,346100
USGS,15565447,60,1155,1976,9,252700
USGS,15565447,60,1155,1976,10,184500
USGS,15565447,60,1155,1976,11,92830
USGS,15565447,60,1155,1976,12,71290
USGS,15565447,60,1155,1977,1,60160
USGS,15565447,60,1155,1977,2,51960
USGS,15565447,60,1155,1977,3,48840
USGS,15565447,60,1155,1977,4,45270
USGS,15565447,60,1155,1977,5,190100
USGS,15565447,60,1155,1977,6,630900
USGS,15565447,60,1155,1977,7,472500
USGS,15565447,60,1155,1977,8,316600
USGS,15565447,60,1155,1977,9,276800
USGS,15565447,60,1155,1977,10,234700
USGS,15565447,60,1155,1977,11,136400
USGS,15565447,60,1155,1977,12,85350
USGS,15565447,60,1155,1978,1,61680
USGS,15565447,60,1155,1978,2,51660
USGS,15565447,60,1155,1978,3,47870
USGS,15565447,60,1155,1978,4,43750
USGS,15565447,60,1155,1978,5,148600
USGS,15565447,60,1155,1978,6,364400
USGS,15565447,60,1155,1978,7,425800
USGS,15565447,60,1155,1978,8,330000
USGS,15565447,60,1155,1978,9,283700
USGS,15565447,60,1155,1978,10,170600
USGS,15565447,60,1155,1978,11,98530
USGS,15565447,60,1155,1978,12,69350
USGS,15565447,60,1155,1979,1,60650
USGS,15565447,60,1155,1979,2,55890
USGS,15565447,60,1155,1979,3,50970
USGS,15565447,60,1155,1979,4,42170
USGS,15565447,60,1155,1979,5,365500
USGS,15565447,60,1155,1979,6,531200
USGS,15565447,60,1155,1979,7,468000
USGS,15565447,60,1155,1979,8,439300
USGS,15565447,60,1155,1979,9,325500
USGS,15565447,60,1155,1979,10,233200
USGS,15565447,60,1155,1979,11,122700
USGS,15565447,60,1155,1979,12,78550
USGS,15565447,60,1155,1980,1,67580
USGS,15565447,60,1155,1980,2,60860
USGS,15565447,60,1155,1980,3,56770
USGS,15565447,60,1155,1980,4,50970
USGS,15565447,60,1155,1980,5,357300
USGS,15565447,60,1155,1980,6,584400
USGS,15565447,60,1155,1980,7,457800
USGS,15565447,60,1155,1980,8,407000
USGS,15565447,60,1155,1980,9,359900
USGS,15565447,60,1155,1980,10,261800
USGS,15565447,60,1155,1980,11,141900
USGS,15565447,60,1155,1980,12,80970
USGS,15565447,60,1155,1981,1,64350
USGS,15565447,60,1155,1981,2,56250
USGS,15565447,60,1155,1981,3,47580
USGS,15565447,60,1155,1981,4,42000
USGS,15565447,60,1155,1981,5,327700
USGS,15565447,60,1155,1981,6,472900
USGS,15565447,60,1155,1981,7,389200
USGS,15565447,60,1155,1981,8,515800
USGS,15565447,60,1155,1981,9,340900
USGS,15565447,60,1155,1981,10,221600
USGS,15565447,60,1155,1981,11,122300
USGS,15565447,60,1155,1981,12,89030
USGS,15565447,60,1155,1982,1,72100
USGS,15565447,60,1155,1982,2,58930
USGS,15565447,60,1155,1982,3,47580
USGS,15565447,60,1155,1982,4,39000
USGS,15565447,60,1155,1982,5,204400
USGS,15565447,60,1155,1982,6,688900
USGS,15565447,60,1155,1982,7,529700
USGS,15565447,60,1155,1982,8,448600
USGS,15565447,60,1155,1982,9,358200
USGS,15565447,60,1155,1982,10,324600
USGS,15565447,60,1155,1982,11,149200
USGS,15565447,60,1155,1982,12,86290
USGS,15565447,60,1155,1983,1,62420
USGS,15565447,60,1155,1983,2,50680
USGS,15565447,60,1155,1983,3,47870
USGS,15565447,60,1155,1983,4,46600
USGS,15565447,60,1155,1983,5,214000
USGS,15565447,60,1155,1983,6,479700
USGS,15565447,60,1155,1983,7,393800
USGS,15565447,60,1155,1983,8,381300
USGS,15565447,60,1155,1983,9,379900
USGS,15565447,60,1155,1983,10,276700
USGS,15565447,60,1155,1983,11,154100
USGS,15565447,60,1155,1983,12,87420
USGS,15565447,60,1155,1984,1,56130
USGS,15565447,60,1155,1984,2,38380
USGS,15565447,60,1155,1984,3,35160
USGS,15565447,60,1155,1984,4,41870
