Year,Korea,Japan,M&I,WKam,EKam,WAK,SPen,Kod,CI,PWS,SEAK,NBC,SBC,WA,Total
1952,0.0,1.8,26.3,97.9,16.2,4.0,2.7,6.6,4.4,3.4,19.9,10.0,4.9,0.0,51.7
1953,0.0,2.0,44.4,208.6,26.6,0.3,6.0,7.3,1.3,3.2,11.5,3.7,16.4,5.3,54.6
1954,0.0,1.7,46.2,59.5,13.4,4.0,4.8,10.9,4.7,4.3,18.4,8.7,3.2,0.0,54.9
1955,0.0,4.2,78.6,117.3,28.5,0.3,5.6,13.4,2.7,4.3,19.1,3.8,12.9,3.8,65.6
1956,0.0,3.6,105.0,85.1,4.4,4.0,6.0,5.1,3.6,5.9,26.2,9.5,2.3,0.0,58.6
1957,0.0,2.4,68.7,168.9,78.8,0.3,2.7,6.7,0.8,1.5,14.8,5.0,8.4,3.0,42.9
1958,0.0,5.1,105.2,9.5,11.4,4.0,3.6,5.9,4.5,7.7,19.9,7.7,2.6,0.0,51.9
1959,0.0,2.1,69.6,35.3,93.3,0.3,2.6,3.3,0.4,4.3,16.5,5.4,4.4,2.4,39.4
1960,0.0,2.8,41.3,12.8,25.1,4.0,3.8,9.0,3.9,5.7,7.6,8.3,0.6,0.0,39.1
1961,0.0,1.7,36.8,26.8,61.1,0.3,4.2,5.8,0.9,8.6,15.9,10.6,8.3,1.2,55.5
1962,0.0,2.6,21.1,20.6,15.9,3.3,6.7,16.9,7.4,12.5,18.1,36.0,1.7,0.0,99.3
1963,0.0,3.0,43.9,36.9,59.3,0.3,6.6,7.6,0.6,9.2,30.3,12.4,6.2,7.8,80.8
1964,0.0,3.2,23.1,4.4,26.6,3.7,7.6,14.7,8.8,9.5,26.4,16.2,1.8,0.0,85.2
1965,0.0,2.5,82.8,14.4,47.8,0.1,5.6,4.5,0.4,5.3,17.7,8.6,14.2,1.1,57.5
1966,0.0,2.3,45.7,0.8,23.1,5.8,3.0,13.4,5.5,6.8,29.9,19.5,5.6,0.0,83.6
1967,0.0,4.7,86.0,15.0,45.6,0.3,1.2,0.6,1.0,5.0,6.2,3.3,5.1,1.0,23.6
1968,0.0,2.9,44.8,1.4,16.7,8.7,4.7,11.9,6.2,5.8,33.4,28.7,6.9,0.0,97.6
1969,0.0,3.9,112.7,11.0,38.9,0.6,6.8,14.3,0.6,6.0,11.3,3.8,10.5,0.4,53.8
1970,0.0,5.4,31.0,0.5,25.6,2.0,5.1,15.9,2.2,5.6,18.0,16.6,4.5,0.0,67.8
1971,0.0,7.7,97.8,11.8,30.7,0.1,3.6,5.5,1.1,10.5,18.8,5.3,8.8,1.1,54.7
1972,0.0,1.9,55.7,2.4,13.0,0.6,0.3,3.7,1.7,1.9,20.8,22.3,1.8,0.0,52.6
