OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN
1,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-01-16 12:00:00,39.661724921262426
2,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-01-16 12:00:00,42.328618668736063
3,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-01-16 12:00:00,39.596648808111716
4,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-01-16 12:00:00,27.471177518123124
5,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-01-16 12:00:00,76.116122854751339
6,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-01-16 12:00:00,28.193277358312759
7,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-01-16 12:00:00,66.233091125143872
8,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-01-16 12:00:00,43.668407284548067
9,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-02-15 0:00:00,25.942719277277547
10,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-02-15 0:00:00,37.765639699932336
11,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-02-15 0:00:00,40.549963089895961
12,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-02-15 0:00:00,28.068792347826363
13,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-02-15 0:00:00,49.531914372719058
14,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-02-15 0:00:00,34.229461110455127
15,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-02-15 0:00:00,71.881133359708400
16,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-02-15 0:00:00,32.437430045786961
17,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-03-16 12:00:00,3.234598888449056
18,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-03-16 12:00:00,11.340375492424629
19,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-03-16 12:00:00,11.497942191149995
20,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-03-16 12:00:00,4.603206651714006
21,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-03-16 12:00:00,17.862637233117702
22,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-03-16 12:00:00,12.365608899794820
23,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-03-16 12:00:00,15.731838047845265
24,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-03-16 12:00:00,3.244252930104027
25,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-04-16 0:00:00,12.718165980643057
26,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-04-16 0:00:00,22.253123413373352
27,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-04-16 0:00:00,27.888637753791194
28,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-04-16 0:00:00,10.916816238468199
29,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-04-16 0:00:00,18.431924981643416
30,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-04-16 0:00:00,13.259057587157333
31,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-04-16 0:00:00,12.283662580682060
32,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-04-16 0:00:00,13.765877335865238
33,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-05-16 12:00:00,20.364620646328369
34,Stewart,2,54143.000000000000000,54143.000000000000000,prcp,StdTime,1985-05-16 12:00:00,22.672755108721212
35,Pelly,3,52274.000000000000000,52274.000000000000000,prcp,StdTime,1985-05-16 12:00:00,20.419564032101132
36,White Donjek,4,35813.000000000000000,35813.000000000000000,prcp,StdTime,1985-05-16 12:00:00,16.749967068571085
37,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,prcp,StdTime,1985-05-16 12:00:00,20.873216443309111
38,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,prcp,StdTime,1985-05-16 12:00:00,28.899021011372117
39,Teslin,7,35505.000000000000000,35505.000000000000000,prcp,StdTime,1985-05-16 12:00:00,22.240616251767207
40,Carmacks,8,14510.000000000000000,14510.000000000000000,prcp,StdTime,1985-05-16 12:00:00,12.342161949218195
41,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,prcp,StdTime,1985-06-16 0:00:00,60.338619777445182
