OID_,OBJECTID_1,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN
1,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-01-01 0:00:00,1987-02-01 0:00:00,-0.716702297346775
2,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-02-01 0:00:00,1987-03-01 0:00:00,-0.985054972298119
3,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-03-01 0:00:00,1987-04-01 0:00:00,-0.937580621723707
4,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-04-01 0:00:00,1987-05-01 0:00:00,-0.749619547497866
5,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-05-01 0:00:00,1987-06-01 0:00:00,0.194402753407949
6,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-06-01 0:00:00,1987-07-01 0:00:00,2.887517444465470
7,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-07-01 0:00:00,1987-08-01 0:00:00,6.704299745352375
8,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-08-01 0:00:00,1987-09-01 0:00:00,9.270794558352321
9,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-09-01 0:00:00,1987-10-01 0:00:00,7.249786056470172
10,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-10-01 0:00:00,1987-11-01 0:00:00,3.977907225921531
11,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-11-01 0:00:00,1987-12-01 0:00:00,1.416734267218947
12,1,552.000000000000000,34.500000000000000,sst,StdTime,1987-12-01 0:00:00,1988-01-01 0:00:00,-0.404136268359477
13,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-01-01 0:00:00,1988-02-01 0:00:00,-0.552752441481141
14,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-02-01 0:00:00,1988-03-01 0:00:00,-0.763636914431750
15,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-03-01 0:00:00,1988-04-01 0:00:00,-0.996235952498323
16,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-04-01 0:00:00,1988-05-01 0:00:00,-0.558314598822609
17,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-05-01 0:00:00,1988-06-01 0:00:00,0.560336593469980
18,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-06-01 0:00:00,1988-07-01 0:00:00,3.537316947959470
19,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-07-01 0:00:00,1988-08-01 0:00:00,7.887633063654969
20,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-08-01 0:00:00,1988-09-01 0:00:00,9.609370962865112
21,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-09-01 0:00:00,1988-10-01 0:00:00,7.898648368707605
22,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-10-01 0:00:00,1988-11-01 0:00:00,4.628063827753073
23,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-11-01 0:00:00,1988-12-01 0:00:00,1.230161202308870
24,1,552.000000000000000,34.500000000000000,sst,StdTime,1988-12-01 0:00:00,1989-01-01 0:00:00,-0.791721579300297
