OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,MEAN
1,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,144.738146417098164
2,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,209.848027637901424
3,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,217.843173663272466
4,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,133.197189831791917
5,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,277.564583780466251
6,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,142.309294983938855
7,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,240.779680020592792
8,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,160.542412116000463
9,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1986-01-01 0:00:00,1987-01-01 0:00:00,122.930645882850172
10,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1986-01-01 0:00:00,1987-01-01 0:00:00,181.755972321124830
11,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1986-01-01 0:00:00,1987-01-01 0:00:00,188.938950903912399
12,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1986-01-01 0:00:00,1987-01-01 0:00:00,126.649466334173837
13,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1986-01-01 0:00:00,1987-01-01 0:00:00,321.425756031259425
14,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1986-01-01 0:00:00,1987-01-01 0:00:00,118.867883566157232
15,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1986-01-01 0:00:00,1987-01-01 0:00:00,258.075586015932117
16,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1986-01-01 0:00:00,1987-01-01 0:00:00,171.907965494862225
17,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1987-01-01 0:00:00,1988-01-01 0:00:00,102.879595093968845
18,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1987-01-01 0:00:00,1988-01-01 0:00:00,173.034861915983555
19,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1987-01-01 0:00:00,1988-01-01 0:00:00,131.004962294797053
20,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1987-01-01 0:00:00,1988-01-01 0:00:00,104.932442132807992
21,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1987-01-01 0:00:00,1988-01-01 0:00:00,235.963116229633101
22,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1987-01-01 0:00:00,1988-01-01 0:00:00,118.395486569436230
23,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1987-01-01 0:00:00,1988-01-01 0:00:00,244.571792137694700
24,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1987-01-01 0:00:00,1988-01-01 0:00:00,98.641321828462452
25,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1988-01-01 0:00:00,1989-01-01 0:00:00,139.381209831469249
26,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1988-01-01 0:00:00,1989-01-01 0:00:00,185.358676828037886
27,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1988-01-01 0:00:00,1989-01-01 0:00:00,166.546002807059637
28,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1988-01-01 0:00:00,1989-01-01 0:00:00,145.659001785285369
29,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1988-01-01 0:00:00,1989-01-01 0:00:00,252.573884336266673
30,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1988-01-01 0:00:00,1989-01-01 0:00:00,142.457563798784946
31,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1988-01-01 0:00:00,1989-01-01 0:00:00,253.510564140037729
32,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1988-01-01 0:00:00,1989-01-01 0:00:00,134.499524449480361
33,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1989-01-01 0:00:00,1990-01-01 0:00:00,113.629800807689449
34,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1989-01-01 0:00:00,1990-01-01 0:00:00,143.685772866028827
35,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1989-01-01 0:00:00,1990-01-01 0:00:00,148.242887108939840
36,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1989-01-01 0:00:00,1990-01-01 0:00:00,133.421536621503719
37,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1989-01-01 0:00:00,1990-01-01 0:00:00,344.510804369233767
38,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1989-01-01 0:00:00,1990-01-01 0:00:00,141.994795367781251
39,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1989-01-01 0:00:00,1990-01-01 0:00:00,259.448819031828236
40,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1989-01-01 0:00:00,1990-01-01 0:00:00,123.544036526091219
41,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1990-01-01 0:00:00,1991-01-01 0:00:00,151.988250648359781
42,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1990-01-01 0:00:00,1991-01-01 0:00:00,215.467343181385360
43,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1990-01-01 0:00:00,1991-01-01 0:00:00,211.645581157232471
44,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1990-01-01 0:00:00,1991-01-01 0:00:00,158.782488204738172
45,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1990-01-01 0:00:00,1991-01-01 0:00:00,440.975328456510965
46,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1990-01-01 0:00:00,1991-01-01 0:00:00,179.410387253463909
47,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1990-01-01 0:00:00,1991-01-01 0:00:00,315.756841899624646
48,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1990-01-01 0:00:00,1991-01-01 0:00:00,216.958652075170647
49,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1991-01-01 0:00:00,1992-01-01 0:00:00,178.958850391005711
50,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1991-01-01 0:00:00,1992-01-01 0:00:00,377.788859184239470
51,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1991-01-01 0:00:00,1992-01-01 0:00:00,361.891174039096882
52,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1991-01-01 0:00:00,1992-01-01 0:00:00,155.966278186682331
53,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1991-01-01 0:00:00,1992-01-01 0:00:00,468.167734971688333
54,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1991-01-01 0:00:00,1992-01-01 0:00:00,142.585775768650819
55,Teslin,7,35505.000000000000000,35505.000000000000000,swe,StdTime,1991-01-01 0:00:00,1992-01-01 0:00:00,370.380842470642506
56,Carmacks,8,14510.000000000000000,14510.000000000000000,swe,StdTime,1991-01-01 0:00:00,1992-01-01 0:00:00,291.263937956838390
57,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,swe,StdTime,1992-01-01 0:00:00,1993-01-01 0:00:00,149.132728556161823
58,Stewart,2,54143.000000000000000,54143.000000000000000,swe,StdTime,1992-01-01 0:00:00,1993-01-01 0:00:00,276.305528641766500
59,Pelly,3,52274.000000000000000,52274.000000000000000,swe,StdTime,1992-01-01 0:00:00,1993-01-01 0:00:00,192.248262253536382
60,White Donjek,4,35813.000000000000000,35813.000000000000000,swe,StdTime,1992-01-01 0:00:00,1993-01-01 0:00:00,125.796689724138375
61,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,swe,StdTime,1992-01-01 0:00:00,1993-01-01 0:00:00,348.396255817864471
62,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,swe,StdTime,1992-01-01 0:00:00,1993-01-01 0:00:00,182.729560204612795
