OID_,Site_1,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN,Population
1,CoalCr,1,1200.000000000000000,1200.000000000000000,swe,StdTime,1985-04-01 12:00:00,163.708566551208577,Lower Mainstem
2,SelwynR,2,1059.000000000000000,1059.000000000000000,swe,StdTime,1985-04-01 12:00:00,141.540953739731719,Middle Mainstem
3,KlottasinCr,3,2489.000000000000000,2489.000000000000000,swe,StdTime,1985-04-01 12:00:00,117.718232329181973,White Donjek
4,TatchunCr,4,1167.000000000000000,1167.000000000000000,swe,StdTime,1985-04-01 12:00:00,127.448877447368602,Middle Mainstem
5,TincupCr,5,530.000000000000000,530.000000000000000,swe,StdTime,1985-04-01 12:00:00,98.495981180442840,White Donjek
6,M’ClintockR,6,1694.000000000000000,1694.000000000000000,swe,StdTime,1985-04-01 12:00:00,133.436953908296573,Upper Lakes and Mainstem
7,NSwiftR,7,290.000000000000000,290.000000000000000,swe,StdTime,1985-04-01 12:00:00,170.286931110250435,Teslin
8,RedR,8,1046.000000000000000,1046.000000000000000,swe,StdTime,1985-04-01 12:00:00,278.196462729693110,Teslin
9,SidneyCr,9,842.000000000000000,842.000000000000000,swe,StdTime,1985-04-01 12:00:00,221.793515311850626,Teslin
10,SquangaCr,10,815.000000000000000,815.000000000000000,swe,StdTime,1985-04-01 12:00:00,149.893460129814031,Teslin
11,GladysR,11,2352.000000000000000,2352.000000000000000,swe,StdTime,1985-04-01 12:00:00,178.101266877180876,Teslin
12,KlinkitCr,12,716.000000000000000,716.000000000000000,swe,StdTime,1985-04-01 12:00:00,319.927834729242591,Teslin
13,McNaughtonCr,13,1044.000000000000000,1044.000000000000000,swe,StdTime,1985-04-01 12:00:00,371.820105424785709,Teslin
14,UTeslinR,14,2367.000000000000000,2367.000000000000000,swe,StdTime,1985-04-01 12:00:00,259.517536835374472,Teslin
15,Fifteen-MileR,15,1398.000000000000000,1398.000000000000000,swe,StdTime,1985-04-01 12:00:00,173.819306167580521,Lower Mainstem
16,BeaverR,16,5328.000000000000000,5328.000000000000000,swe,StdTime,1985-04-01 12:00:00,215.253644794315449,Stewart
17,ChandinduR,17,1803.000000000000000,1803.000000000000000,swe,StdTime,1985-04-01 12:00:00,174.761708450529056,Lower Mainstem
18,NKlondikeR,18,1233.000000000000000,1233.000000000000000,swe,StdTime,1985-04-01 12:00:00,185.547607551815787,Lower Mainstem
19,SMcQuestenR,19,1581.000000000000000,1581.000000000000000,swe,StdTime,1985-04-01 12:00:00,171.218893129564776,Stewart
20,UStewartR,20,15877.000000000000000,15877.000000000000000,swe,StdTime,1985-04-01 12:00:00,227.060783526545833,Stewart
21,RacklaR,21,1936.000000000000000,1936.000000000000000,swe,StdTime,1985-04-01 12:00:00,231.057716810999011,Stewart
22,NMcQuestenR,22,2183.000000000000000,2183.000000000000000,swe,StdTime,1985-04-01 12:00:00,188.977429870941023,Stewart
23,MayoR,23,2816.000000000000000,2816.000000000000000,swe,StdTime,1985-04-01 12:00:00,188.530326759273549,Stewart
24,PleasantCr,24,1726.000000000000000,1726.000000000000000,swe,StdTime,1985-04-01 12:00:00,161.355440376255331,Stewart
25,JanetCr,25,357.000000000000000,357.000000000000000,swe,StdTime,1985-04-01 12:00:00,168.994734008105297,Stewart
26,WatsonCr,26,144.000000000000000,144.000000000000000,swe,StdTime,1985-04-01 12:00:00,170.076527807447690,Stewart
27,McQuestenR,27,5095.000000000000000,5095.000000000000000,swe,StdTime,1985-04-01 12:00:00,179.917723167352108,Stewart
28,CrookedCr,28,1362.000000000000000,1362.000000000000000,swe,StdTime,1985-04-01 12:00:00,164.423752032712684,Stewart
29,EmeraldCr,29,753.000000000000000,753.000000000000000,swe,StdTime,1985-04-01 12:00:00,241.730093055512100,Stewart
30,BigKalzasR,30,1984.000000000000000,1984.000000000000000,swe,StdTime,1985-04-01 12:00:00,200.458855994286239,Pelly
31,MooseR,31,1144.000000000000000,1144.000000000000000,swe,StdTime,1985-04-01 12:00:00,166.434755251957768,Pelly
32,OllieCr,32,1324.000000000000000,1324.000000000000000,swe,StdTime,1985-04-01 12:00:00,260.873368024105844,Stewart
33,RossR,33,7506.000000000000000,7506.000000000000000,swe,StdTime,1985-04-01 12:00:00,229.729381905852449,Pelly
34,SMacmillanR,34,5756.000000000000000,5756.000000000000000,swe,StdTime,1985-04-01 12:00:00,212.221367208390035,Pelly
35,NMacmillanR,35,2988.000000000000000,2988.000000000000000,swe,StdTime,1985-04-01 12:00:00,216.485669219030854,Pelly
36,TayR,36,3885.000000000000000,3885.000000000000000,swe,StdTime,1985-04-01 12:00:00,157.252241889236927,Pelly
37,PrevostR,37,1311.000000000000000,1311.000000000000000,swe,StdTime,1985-04-01 12:00:00,266.278779461218505,Pelly
38,RiddellR,38,1531.000000000000000,1531.000000000000000,swe,StdTime,1985-04-01 12:00:00,194.538687114852706,Pelly
39,GlenlyonR,39,672.000000000000000,672.000000000000000,swe,StdTime,1985-04-01 12:00:00,148.017098199753661,Pelly
40,DruryCr,40,615.000000000000000,615.000000000000000,swe,StdTime,1985-04-01 12:00:00,146.027658651708578,Carmacks
41,BigCr,41,1901.000000000000000,1901.000000000000000,swe,StdTime,1985-04-01 12:00:00,127.378932124122372,Middle Mainstem
42,TummelR,42,752.000000000000000,752.000000000000000,swe,StdTime,1985-04-01 12:00:00,151.241489390109564,Pelly
43,UPellyR,43,11491.000000000000000,11491.000000000000000,swe,StdTime,1985-04-01 12:00:00,255.620859815540996,Pelly
44,WoodsideCr,44,1433.000000000000000,1433.000000000000000,swe,StdTime,1985-04-01 12:00:00,300.614661398419912,Pelly
45,WalshCr,45,560.000000000000000,560.000000000000000,swe,StdTime,1985-04-01 12:00:00,162.169535786764953,Carmacks
46,IncisedCr,46,1435.000000000000000,1435.000000000000000,swe,StdTime,1985-04-01 12:00:00,182.118982263226002,Middle Mainstem
47,KirklandCr,47,1247.000000000000000,1247.000000000000000,swe,StdTime,1985-04-01 12:00:00,179.398957510231611,Middle Mainstem
