OID_,Site_1,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,StdTime_Max,SUM,Population,OBJECTID,Id,gridcode,Site,OBJECTID_1,FID_Yukon_spawning_sites,Site_12,Latitude,Longitude,FID_YRC_CU,OBJECTID_12,WATERSHED_,SUB_SUB_DR,MAJOR_DRAI,MAJOR_DR_1,SUB_DRAINA,SUB_DRAI_1,SUB_SUB__1,SUB_SUB__2,GEOMETRY_A,GEOMETRY_L,Shape_Leng,Shape_Length,Shape_Area,Drainage_area,Mean_elev,Isolated,Sporadic,Extensive_disc,Continuous,Prod_level
1,CoalCr,1,1200.000000000000000,1200.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,226972.749809265078511,Lower Mainstem,1,5,3,CoalCr,98,3,CoalCr,64.478579999999994,-140.421050000000008,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,215957.776225798763335,1126591776.870468139648438,1126591776.870468139648438,1007.819046418940047,0.000000000000000,217538100.000000000000000,715527000.000000000000000,193551300.000000000000000,minor
2,SelwynR,2,1059.000000000000000,1059.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,165288.350006103224587,Middle Mainstem,2,122,38,SelwynR,67,38,SelwynR,62.803510000000003,-138.284619999999990,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,163841.384332697285572,1021976637.910903334617615,1021976637.910903334617615,1145.869016961439911,0.000000000000000,0.000000000000000,943431300.000000000000000,78557400.000000000000000,minor
3,KlottasinCr,3,2489.000000000000000,2489.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,316515.309707641717978,White Donjek,3,149,27,KlottasinCr,60,27,KlottasinCr,62.565379999999998,-139.510040000000004,3,8,44,09CA,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,White Donjek,Cours supérieur du Yukon,Donjek,Donjek,26540744634.900001525878906,940515.556288999971002,940515.556288999971002,291710.923419124213979,2397857006.050797939300537,2397857006.050797939300537,989.282439953404946,0.000000000000000,0.000000000000000,2275278300.000000000000000,122579100.000000000000000,minor
4,TatchunCr,4,1167.000000000000000,1167.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,150566.880119323643157,Middle Mainstem,4,150,39,TatchunCr,55,39,TatchunCr,62.285530000000001,-136.325240000000008,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402.329999923706055,457456.671924999973271,457456.671924999973271,198639.457508832856547,1136951494.748538017272949,1136951494.748538017272949,876.889676325487017,0.000000000000000,56700.000000000000000,1136883600.000000000000000,2700.000000000000000,major
5,TincupCr,5,530.000000000000000,530.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,54852.859985351555224,White Donjek,5,176,40,TincupCr,43,40,TincupCr,61.887680000000003,-139.545330000000007,3,8,44,09CA,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,White Donjek,Cours supérieur du Yukon,Donjek,Donjek,26540744634.900001525878906,940515.556288999971002,940515.556288999971002,183250.981390917761018,518003256.834722220897675,518003256.834722220897675,1146.810941729620026,0.000000000000000,0.000000000000000,395514000.000000000000000,122498100.000000000000000,minor
6,M’ClintockR,6,1694.000000000000000,1694.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,246700.320075988420285,Upper Lakes and Mainstem,6,235,79,M’ClintockR,12,79,M’ClintockR,60.558940000000000,-134.489360000000005,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916147.529999732971191,537860.234718000050634,537860.234718000050634,330218.953414032119326,1680005322.657214403152466,1680005322.657214403152466,1104.416963551489971,0.000000000000000,1218762900.000000000000000,377649000.000000000000000,83602800.000000000000000,minor
7,NSwiftR,7,290.000000000000000,290.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,53203.770042419389938,Teslin,7,238,85,NSwiftR,21,85,NSwiftR,60.810409999999997,-133.857319999999987,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,105722.772713580750860,285323169.668945968151093,285323169.668945968151093,1206.488111616190054,0.000000000000000,137702700.000000000000000,123937200.000000000000000,23643000.000000000000000,minor
8,RedR,8,1046.000000000000000,1046.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,297099.879669188987464,Teslin,8,250,86,RedR,16,86,RedR,60.735909999999997,-132.113570000000010,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,246931.893693022517255,1024226613.349197149276733,1024226613.349197149276733,1106.563140527570113,0.000000000000000,914058000.000000000000000,108170100.000000000000000,2011500.000000000000000,minor
9,SidneyCr,9,842.000000000000000,842.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,194843.300125122128520,Teslin,9,262,89,SidneyCr,18,89,SidneyCr,60.757120000000000,-132.942180000000008,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,181583.940720166807296,833525109.686518669128418,833525109.686518669128418,1223.059975929350003,98451000.000000000000000,423164700.000000000000000,220330800.000000000000000,91575000.000000000000000,minor
10,SquangaCr,10,815.000000000000000,815.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,124561.259895324590616,Teslin,10,264,92,SquangaCr,11,92,SquangaCr,60.541620000000002,-133.430340000000001,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,248331.146868453331990,809904994.474126100540161,809904994.474126100540161,1042.821349181499954,35739000.000000000000000,698270400.000000000000000,69386400.000000000000000,6526800.000000000000000,minor
11,GladysR,11,2352.000000000000000,2352.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,423360.179779053316452,Teslin,11,283,70,GladysR,6,70,GladysR,59.797829999999998,-132.283140000000003,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,434572.385599164874293,2356477333.347676277160645,2356477333.347676277160645,1186.992667141460061,35712000.000000000000000,1617666300.000000000000000,406200600.000000000000000,296881200.000000000000000,minor
12,KlinkitCr,12,716.000000000000000,716.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,240369.359863281250000,Teslin,12,284,75,KlinkitCr,1,75,KlinkitCr,59.428310000000003,-131.358519999999999,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,181949.634061990538612,725191663.361323356628418,725191663.361323356628418,1339.605436994650063,0.000000000000000,391843800.000000000000000,241029000.000000000000000,92274300.000000000000000,minor
13,McNaughtonCr,13,1044.000000000000000,1044.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,413160.590560912794899,Teslin,13,288,80,McNaughtonCr,7,80,McNaughtonCr,59.929920000000003,-131.258180000000010,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,264774.998391650791746,1039750131.759751439094543,1039750131.759751439094543,1367.292438064340104,0.000000000000000,480031200.000000000000000,371037600.000000000000000,188711100.000000000000000,minor
14,UTeslinR,14,2367.000000000000000,2367.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,624406.280105593032204,Teslin,14,292,96,UTeslinR,2,96,UTeslinR,59.484940000000002,-132.099880000000013,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294702.900001525878906,939903.446093000005931,939903.446093000005931,334393.239699084893800,2395786832.900381088256836,2395786832.900381088256836,1096.922194838010000,796954500.000000000000000,1076032800.000000000000000,421063200.000000000000000,101682000.000000000000000,minor
15,Fifteen-MileR,15,1398.000000000000000,1398.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,278748.560195922444109,Lower Mainstem,15,1,6,Fifteen-MileR,97,6,Fifteen-MileR,64.283709999999999,-139.814420000000013,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,249367.928714449080871,1307276209.022452354431152,1307276209.022452354431152,1079.486340652809986,0.000000000000000,143511300.000000000000000,878468400.000000000000000,285300000.000000000000000,minor
16,BeaverR,16,5328.000000000000000,5328.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,1284171.590286254184321,Stewart,16,4,1,BeaverR,92,1,BeaverR,63.958750000000002,-133.893689999999992,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,577270.796424818807282,5003479037.061246871948242,5003479037.061249732971191,1178.413723961700043,0.000000000000000,237833100.000000000000000,3916927800.000000000000000,848777400.000000000000000,minor
17,ChandinduR,17,1803.000000000000000,1803.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,359385.569747925270349,Lower Mainstem,17,6,2,ChandinduR,96,2,ChandinduR,64.252660000000006,-139.715579999999989,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,301800.385013708670158,1689781766.633125782012939,1689781766.633125782012939,1065.260426060490090,99900.000000000000000,107922600.000000000000000,1204753500.000000000000000,377018100.000000000000000,minor
18,NKlondikeR,18,1233.000000000000000,1233.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,264712.350204467831645,Lower Mainstem,18,7,12,NKlondikeR,93,12,NKlondikeR,63.962629999999997,-138.688389999999998,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367.099998474121094,962165.123398000025190,962165.123398000025190,246846.608186280413065,1148196721.447108983993530,1148196721.447108983993530,1198.720116450859905,0.000000000000000,20351700.000000000000000,769858200.000000000000000,357978600.000000000000000,minor
19,SMcQuestenR,19,1581.000000000000000,1581.000000000000000,swe,StdTime,1985-01-01 12:00:00,1986-01-01 0:00:00,297606.680061340099201,Stewart,19,8,17,SMcQuestenR,90,17,SMcQuestenR,63.844389999999997,-136.302150000000012,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803994.700000762939453,824898.485918999998830,824898.485918999998830,286451.300721434934530,1487899781.103955507278442,1487899781.103955507278442,944.740575590377944,0.000000000000000,214119900.000000000000000,1227845700.000000000000000,45918900.000000000000000,minor
