OID_,VALUE,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN
1,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-01-01 12:00:00,-35.789433885128105
2,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-01-01 12:00:00,-32.119343776494290
3,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-01-01 12:00:00,-36.680801938085636
4,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-01-01 12:00:00,-31.036586434626880
5,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-01-01 12:00:00,-37.311017614729323
6,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-01-01 12:00:00,-26.054038169018739
7,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-01-01 12:00:00,-42.594743556355915
8,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-01-01 12:00:00,-38.980851143298949
9,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-01-02 12:00:00,-33.193856924759451
10,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-01-02 12:00:00,-31.401069950696986
11,Pelly,3,52273.000000000000000,52273.000000000000000,tmin,StdTime,2005-01-02 12:00:00,-32.304981157837375
12,White Donjek,4,35813.000000000000000,35813.000000000000000,tmin,StdTime,2005-01-02 12:00:00,-28.579566633937986
13,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,tmin,StdTime,2005-01-02 12:00:00,-30.115448064452146
14,Lower Mainstem,6,65074.000000000000000,65074.000000000000000,tmin,StdTime,2005-01-02 12:00:00,-28.673592374493140
15,Teslin,7,35505.000000000000000,35505.000000000000000,tmin,StdTime,2005-01-02 12:00:00,-35.217196731019577
16,Carmacks,8,14510.000000000000000,14510.000000000000000,tmin,StdTime,2005-01-02 12:00:00,-34.733489315103952
17,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,tmin,StdTime,2005-01-03 12:00:00,-27.725245339322822
18,Stewart,2,54143.000000000000000,54143.000000000000000,tmin,StdTime,2005-01-03 12:00:00,-25.207101932726758
