OID_,SUB_DRAINA,ZONE_CODE,COUNT,AREA,Variable,Dimensions,StdTime,MEAN
0,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,*,StdTime,1985-01-16 0:00:00,-10.259764649399999
1,Stewart,2,54143.000000000000000,54143.000000000000000,*,StdTime,1985-01-16 0:00:00,-11.657452956800000
2,Pelly,3,52274.000000000000000,52274.000000000000000,*,StdTime,1985-01-16 0:00:00,-10.884150791700000
3,White Donjek,4,35813.000000000000000,35813.000000000000000,*,StdTime,1985-01-16 0:00:00,-12.479167135200001
4,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,*,StdTime,1985-01-16 0:00:00,-8.402450664850001
5,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,*,StdTime,1985-01-16 0:00:00,-14.358689704300000
6,Teslin,7,35505.000000000000000,35505.000000000000000,*,StdTime,1985-01-16 0:00:00,-8.344583243960001
7,Carmacks,8,14510.000000000000000,14510.000000000000000,*,StdTime,1985-01-16 0:00:00,-9.560645274110000
8,Middle Mainstem,1,18424.000000000000000,18424.000000000000000,*,StdTime,1985-02-15 0:00:00,-23.638347386700001
9,Stewart,2,54143.000000000000000,54143.000000000000000,*,StdTime,1985-02-15 0:00:00,-25.092084185200001
10,Pelly,3,52274.000000000000000,52274.000000000000000,*,StdTime,1985-02-15 0:00:00,-23.649397730000000
11,White Donjek,4,35813.000000000000000,35813.000000000000000,*,StdTime,1985-02-15 0:00:00,-25.478830382700000
12,Upper Lakes and Mainstem,5,32026.000000000000000,32026.000000000000000,*,StdTime,1985-02-15 0:00:00,-19.903290009100001
13,Lower Mainstem,6,65077.000000000000000,65077.000000000000000,*,StdTime,1985-02-15 0:00:00,-26.848524910700000
14,Teslin,7,35505.000000000000000,35505.000000000000000,*,StdTime,1985-02-15 0:00:00,-18.720608706899998
15,Carmacks,8,14510.000000000000000,14510.000000000000000,*,StdTime,1985-02-15 0:00:00,-22.398267085699999
