OID_,Site,Distance,FID_Yukon_spawning_sites,Site_1,Latitude,Longitude,FID_YRC_CU,OBJECTID_1,WATERSHED_,SUB_SUB_DR,MAJOR_DRAI,MAJOR_DR_1,SUB_DRAINA,SUB_DRAI_1,SUB_SUB__1,SUB_SUB__2,GEOMETRY_A,GEOMETRY_L,Shape_Leng
0,AnvilCr,2713,42,AnvilCr,62.44431,-134.12903,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,BearfeedCr,2654,21,BearfeedCr,62.16793,-135.07765,7,0,0, , , ,Carmacks, , , ,0,0,0
0,BeaverR,2715,1,BeaverR,63.95875,-133.89369,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,BigCampbellCr,2963,43,BigCampbellCr,61.77272,-131.12878,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,BigCr,2450,22,BigCr,62.61606,-136.99351,0,1,38,09CD,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Middle Mainstem,Cours supérieur du Yukon,Upper Yukon - White,Cours supérieur du Yukon - White,5273477402,457456.6719,457456.6719
0,BigKalzasR,2580,44,BigKalzasR,62.89228,-135.485,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,BigSalmonR,2652,23,BigSalmonR,61.88011,-134.92084,7,0,0, , , ,Carmacks, , , ,0,0,0
0,BlindCr,2792,45,BlindCr,62.17998,-133.22044,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,BoswellR,2802,68,BoswellR,61.05201,-134.21503,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
0,ChandinduR,2129,2,ChandinduR,64.25266,-139.71558,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367,962165.1234,962165.1234
0,CoalCr,2070,3,CoalCr,64.47858,-140.42105,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367,962165.1234,962165.1234
0,CrookedCr,2443,4,CrookedCr,63.38027,-136.6895,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,DruryCr,2692,24,DruryCr,62.19613,-134.38761,7,0,0, , , ,Carmacks, , , ,0,0,0
0,EarnR,2648,46,EarnR,62.73648,-134.69729,2,4,50,09BC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Pelly,Pelly,Lower Pelly,Cours inférieur de la Pelly,18019744231,1069626.276,1069626.276
0,EmeraldCr,2776,5,EmeraldCr,63.38032,-131.80274,1,2,41,09DB,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Stewart,Stewart,Beaver (Y.T.),Beaver (Yn),14017803995,824898.4859,824898.4859
0,Fifteen-MileR,2123,6,Fifteen-MileR,64.28371,-139.81442,5,44,18,09ED,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Lower Mainstem,Cours moyen du Yukon,Central Yukon - Tatonduk,Cours moyen du Yukon - Tatonduk,23044564367,962165.1234,962165.1234
0,FlatCr,2850,69,FlatCr,60.85838,-135.51759,4,25,69,09AC,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Upper Lakes and Mainstem,Eaux d'amont du Yukon,Takhini,Takhini,8298916148,537860.2347,537860.2347
0,GladysR,3000,70,GladysR,59.79783,-132.28314,6,77,88,09AE,Yukon River Drainage Area,Aire de drainage du fleuve Yukon,Teslin,Eaux d'amont du Yukon,Upper Teslin,Cours supérieur de la Teslin,18192294703,939903.4461,939903.4461
