"","subbasin","year","winter_length"
"1","Carmacks",1984,138.444444444444
"2","Carmacks",1985,230.333333333333
"3","Carmacks",1986,219.222222222222
"4","Carmacks",1987,214.777777777778
"5","Carmacks",1988,212.333333333333
"6","Carmacks",1989,218.111111111111
"7","Carmacks",1990,224
"8","Carmacks",1991,226.222222222222
"9","Carmacks",1992,220.888888888889
"10","Carmacks",1993,218
"11","Carmacks",1994,210.444444444444
"12","Carmacks",1995,226.111111111111
"13","Carmacks",1996,224.222222222222
"14","Carmacks",1997,217.555555555556
"15","Carmacks",1998,228.666666666667
"16","Carmacks",1999,225.777777777778
"17","Carmacks",2000,225.777777777778
"18","Carmacks",2001,223.111111111111
"19","Carmacks",2002,226
"20","Carmacks",2003,213.222222222222
"21","Carmacks",2004,215
"22","Carmacks",2005,220.333333333333
"23","Carmacks",2006,224.222222222222
"24","Carmacks",2007,220.555555555556
"25","Carmacks",2008,223.222222222222
"26","Carmacks",2009,218.444444444444
"27","Carmacks",2010,221.777777777778
"28","Carmacks",2011,225.333333333333
"29","Carmacks",2012,220
"30","Carmacks",2013,215.222222222222
"31","Carmacks",2014,215.333333333333
"32","Carmacks",2015,84.5555555555556
"33","Lower Mainstem",1984,142
"34","Lower Mainstem",1985,232.166666666667
"35","Lower Mainstem",1986,226.666666666667
"36","Lower Mainstem",1987,216.666666666667
"37","Lower Mainstem",1988,212.5
"38","Lower Mainstem",1989,219.666666666667
"39","Lower Mainstem",1990,218.333333333333
"40","Lower Mainstem",1991,231.666666666667
"41","Lower Mainstem",1992,222.166666666667
"42","Lower Mainstem",1993,219.833333333333
"43","Lower Mainstem",1994,214.333333333333
"44","Lower Mainstem",1995,230.333333333333
"45","Lower Mainstem",1996,225.166666666667
"46","Lower Mainstem",1997,219.5
"47","Lower Mainstem",1998,234.5
"48","Lower Mainstem",1999,230
"49","Lower Mainstem",2000,232.666666666667
"50","Lower Mainstem",2001,221.333333333333
"51","Lower Mainstem",2002,228.333333333333
"52","Lower Mainstem",2003,220.833333333333
"53","Lower Mainstem",2004,217.5
"54","Lower Mainstem",2005,225.666666666667
"55","Lower Mainstem",2006,226
"56","Lower Mainstem",2007,222.5
"57","Lower Mainstem",2008,228.5
"58","Lower Mainstem",2009,220.666666666667
"59","Lower Mainstem",2010,225.666666666667
"60","Lower Mainstem",2011,228.666666666667
"61","Lower Mainstem",2012,227.5
"62","Lower Mainstem",2013,219.5
"63","Lower Mainstem",2014,220.166666666667
"64","Lower Mainstem",2015,90.8333333333333
"65","Middle Mainstem",1984,138.75
"66","Middle Mainstem",1985,230
"67","Middle Mainstem",1986,222.125
"68","Middle Mainstem",1987,213
"69","Middle Mainstem",1988,212.875
"70","Middle Mainstem",1989,217
"71","Middle Mainstem",1990,222.75
"72","Middle Mainstem",1991,228.5
"73","Middle Mainstem",1992,221.25
"74","Middle Mainstem",1993,217.875
"75","Middle Mainstem",1994,213.25
"76","Middle Mainstem",1995,228.25
"77","Middle Mainstem",1996,226.5
"78","Middle Mainstem",1997,219.125
"79","Middle Mainstem",1998,229.625
"80","Middle Mainstem",1999,227.625
"81","Middle Mainstem",2000,233.375
"82","Middle Mainstem",2001,224.5
"83","Middle Mainstem",2002,228
"84","Middle Mainstem",2003,215.5
"85","Middle Mainstem",2004,216.375
"86","Middle Mainstem",2005,224.125
"87","Middle Mainstem",2006,223.625
"88","Middle Mainstem",2007,220.375
"89","Middle Mainstem",2008,224.25
"90","Middle Mainstem",2009,221.875
"91","Middle Mainstem",2010,226.75
"92","Middle Mainstem",2011,225.125
"93","Middle Mainstem",2012,222.25
"94","Middle Mainstem",2013,220.5
"95","Middle Mainstem",2014,217.875
"96","Middle Mainstem",2015,89.125
"97","Pelly",1984,138.615384615385
"98","Pelly",1985,228
"99","Pelly",1986,220.269230769231
"100","Pelly",1987,211.5
"101","Pelly",1988,212.807692307692
"102","Pelly",1989,221.115384615385
"103","Pelly",1990,222.576923076923
"104","Pelly",1991,228.807692307692
"105","Pelly",1992,220.5
"106","Pelly",1993,220.884615384615
"107","Pelly",1994,213.076923076923
"108","Pelly",1995,227.653846153846
"109","Pelly",1996,223.576923076923
"110","Pelly",1997,218.923076923077
"111","Pelly",1998,228.115384615385
"112","Pelly",1999,228.730769230769
"113","Pelly",2000,226.307692307692
"114","Pelly",2001,223.115384615385
"115","Pelly",2002,228.692307692308
"116","Pelly",2003,218.307692307692
"117","Pelly",2004,215.961538461538
"118","Pelly",2005,219.961538461538
"119","Pelly",2006,224.346153846154
"120","Pelly",2007,221.653846153846
"121","Pelly",2008,223.807692307692
"122","Pelly",2009,220.423076923077
"123","Pelly",2010,224.461538461538
"124","Pelly",2011,225.884615384615
"125","Pelly",2012,223.115384615385
"126","Pelly",2013,217.307692307692
"127","Pelly",2014,219.269230769231
"128","Pelly",2015,88.5
"129","Stewart",1984,137.571428571429
"130","Stewart",1985,225.785714285714
"131","Stewart",1986,222.357142857143
"132","Stewart",1987,205.5
"133","Stewart",1988,213.071428571429
"134","Stewart",1989,222.714285714286
"135","Stewart",1990,222.071428571429
"136","Stewart",1991,232.571428571429
"137","Stewart",1992,219.357142857143
"138","Stewart",1993,222.071428571429
"139","Stewart",1994,214.785714285714
"140","Stewart",1995,231.285714285714
"141","Stewart",1996,225.142857142857
"142","Stewart",1997,219.071428571429
"143","Stewart",1998,227.642857142857
"144","Stewart",1999,230.928571428571
"145","Stewart",2000,230.571428571429
"146","Stewart",2001,222.285714285714
"147","Stewart",2002,228.142857142857
"148","Stewart",2003,217.714285714286
"149","Stewart",2004,214.571428571429
"150","Stewart",2005,219.714285714286
"151","Stewart",2006,224.071428571429
"152","Stewart",2007,222
"153","Stewart",2008,225.214285714286
"154","Stewart",2009,219
"155","Stewart",2010,225.071428571429
"156","Stewart",2011,226.071428571429
