"year","population","yday"
"1985","LowerMainstem",174
"1985","LowerMainstem",175
"1985","LowerMainstem",176
"1985","LowerMainstem",177
"1985","LowerMainstem",178
"1985","LowerMainstem",179
"1985","LowerMainstem",180
"1985","LowerMainstem",181
"1985","LowerMainstem",182
"1985","LowerMainstem",183
"1985","LowerMainstem",184
"1985","LowerMainstem",185
"1985","LowerMainstem",186
"1985","LowerMainstem",187
"1985","LowerMainstem",188
"1985","LowerMainstem",189
"1985","LowerMainstem",190
"1985","LowerMainstem",191
"1985","LowerMainstem",192
"1985","LowerMainstem",193
"1985","LowerMainstem",194
"1985","LowerMainstem",195
"1985","LowerMainstem",196
"1985","LowerMainstem",197
"1985","LowerMainstem",198
"1985","LowerMainstem",199
"1985","LowerMainstem",200
"1985","LowerMainstem",201
"1985","LowerMainstem",202
"1985","LowerMainstem",203
"1985","LowerMainstem",204
"1985","LowerMainstem",205
"1985","LowerMainstem",206
"1985","LowerMainstem",207
"1985","White-Donjek",178
"1985","White-Donjek",179
"1985","White-Donjek",180
"1985","White-Donjek",181
"1985","White-Donjek",182
"1985","White-Donjek",183
"1985","White-Donjek",184
"1985","White-Donjek",185
"1985","White-Donjek",186
"1985","White-Donjek",187
"1985","White-Donjek",188
"1985","White-Donjek",189
"1985","White-Donjek",190
"1985","White-Donjek",191
"1985","White-Donjek",192
"1985","White-Donjek",193
"1985","White-Donjek",194
"1985","White-Donjek",195
"1985","White-Donjek",196
"1985","White-Donjek",197
"1985","White-Donjek",198
"1985","White-Donjek",199
"1985","White-Donjek",200
"1985","White-Donjek",201
"1985","White-Donjek",202
"1985","White-Donjek",203
"1985","White-Donjek",204
"1985","White-Donjek",205
"1985","White-Donjek",206
"1985","White-Donjek",207
"1985","White-Donjek",208
"1985","White-Donjek",209
"1985","White-Donjek",210
"1985","White-Donjek",211
"1985","Pelly",181
"1985","Pelly",182
"1985","Pelly",183
"1985","Pelly",184
"1985","Pelly",185
"1985","Pelly",186
"1985","Pelly",187
"1985","Pelly",188
"1985","Pelly",189
"1985","Pelly",190
"1985","Pelly",191
"1985","Pelly",192
"1985","Pelly",193
"1985","Pelly",194
"1985","Pelly",195
"1985","Pelly",196
"1985","Pelly",197
"1985","Pelly",198
"1985","Pelly",199
"1985","Pelly",200
"1985","Pelly",201
"1985","Pelly",202
"1985","Pelly",203
"1985","Pelly",204
"1985","Pelly",205
"1985","Pelly",206
"1985","Pelly",207
"1985","Pelly",208
"1985","Pelly",209
"1985","Pelly",210
"1985","Pelly",211
"1985","Pelly",212
"1985","Pelly",213
"1985","Pelly",214
"1985","Stewart",183
"1985","Stewart",184
"1985","Stewart",185
"1985","Stewart",186
"1985","Stewart",187
"1985","Stewart",188
"1985","Stewart",189
"1985","Stewart",190
"1985","Stewart",191
"1985","Stewart",192
"1985","Stewart",193
"1985","Stewart",194
"1985","Stewart",195
"1985","Stewart",196
"1985","Stewart",197
"1985","Stewart",198
"1985","Stewart",199
"1985","Stewart",200
"1985","Stewart",201
"1985","Stewart",202
"1985","Stewart",203
"1985","Stewart",204
"1985","Stewart",205
"1985","Stewart",206
"1985","Stewart",207
"1985","Stewart",208
"1985","Stewart",209
"1985","Stewart",210
"1985","Stewart",211
"1985","Stewart",212
"1985","Stewart",213
"1985","Stewart",214
"1985","Stewart",215
"1985","Stewart",216
"1985","Carmacks",182
"1985","Carmacks",183
"1985","Carmacks",184
"1985","Carmacks",185
"1985","Carmacks",186
"1985","Carmacks",187
"1985","Carmacks",188
"1985","Carmacks",189
"1985","Carmacks",190
"1985","Carmacks",191
"1985","Carmacks",192
"1985","Carmacks",193
"1985","Carmacks",194
"1985","Carmacks",195
"1985","Carmacks",196
"1985","Carmacks",197
"1985","Carmacks",198
"1985","Carmacks",199
"1985","Carmacks",200
"1985","Carmacks",201
"1985","Carmacks",202
"1985","Carmacks",203
"1985","Carmacks",204
"1985","Carmacks",205
"1985","Carmacks",206
"1985","Carmacks",207
"1985","Carmacks",208
"1985","Carmacks",209
"1985","Carmacks",210
"1985","Carmacks",211
"1985","Carmacks",212
"1985","Carmacks",213
"1985","Carmacks",214
"1985","Carmacks",215
"1985","Teslin",180
"1985","Teslin",181
"1985","Teslin",182
"1985","Teslin",183
"1985","Teslin",184
"1985","Teslin",185
"1985","Teslin",186
"1985","Teslin",187
"1985","Teslin",188
"1985","Teslin",189
"1985","Teslin",190
"1985","Teslin",191
"1985","Teslin",192
"1985","Teslin",193
"1985","Teslin",194
"1985","Teslin",195
"1985","Teslin",196
"1985","Teslin",197
"1985","Teslin",198
"1985","Teslin",199
"1985","Teslin",200
"1985","Teslin",201
"1985","Teslin",202
"1985","Teslin",203
"1985","Teslin",204
"1985","Teslin",205
"1985","Teslin",206
"1985","Teslin",207
"1985","Teslin",208
"1985","Teslin",209
"1985","Teslin",210
"1985","Teslin",211
"1985","Teslin",212
"1985","Teslin",213
"1985","MiddleMainstem",187
"1985","MiddleMainstem",188
"1985","MiddleMainstem",189
"1985","MiddleMainstem",190
"1985","MiddleMainstem",191
"1985","MiddleMainstem",192
"1985","MiddleMainstem",193
"1985","MiddleMainstem",194
"1985","MiddleMainstem",195
"1985","MiddleMainstem",196
"1985","MiddleMainstem",197
"1985","MiddleMainstem",198
"1985","MiddleMainstem",199
"1985","MiddleMainstem",200
"1985","MiddleMainstem",201
"1985","MiddleMainstem",202
"1985","MiddleMainstem",203
"1985","MiddleMainstem",204
"1985","MiddleMainstem",205
"1985","MiddleMainstem",206
"1985","MiddleMainstem",207
"1985","MiddleMainstem",208
"1985","MiddleMainstem",209
"1985","MiddleMainstem",210
"1985","MiddleMainstem",211
"1985","MiddleMainstem",212
"1985","MiddleMainstem",213
"1985","MiddleMainstem",214
"1985","MiddleMainstem",215
"1985","MiddleMainstem",216
"1985","MiddleMainstem",217
"1985","MiddleMainstem",218
"1985","MiddleMainstem",219
"1985","MiddleMainstem",220
"1985","UpperMainstem",198
"1985","UpperMainstem",199
"1985","UpperMainstem",200
"1985","UpperMainstem",201
"1985","UpperMainstem",202
"1985","UpperMainstem",203
"1985","UpperMainstem",204
"1985","UpperMainstem",205
"1985","UpperMainstem",206
"1985","UpperMainstem",207
"1985","UpperMainstem",208
"1985","UpperMainstem",209
"1985","UpperMainstem",210
"1985","UpperMainstem",211
"1985","UpperMainstem",212
"1985","UpperMainstem",213
"1985","UpperMainstem",214
"1985","UpperMainstem",215
"1985","UpperMainstem",216
"1985","UpperMainstem",217
"1985","UpperMainstem",218
"1985","UpperMainstem",219
"1985","UpperMainstem",220
"1985","UpperMainstem",221
"1985","UpperMainstem",222
"1985","UpperMainstem",223
"1985","UpperMainstem",224
"1985","UpperMainstem",225
"1985","UpperMainstem",226
"1985","UpperMainstem",227
"1985","UpperMainstem",228
"1985","UpperMainstem",229
"1985","UpperMainstem",230
"1985","UpperMainstem",231
"1986","LowerMainstem",165
"1986","LowerMainstem",166
"1986","LowerMainstem",167
"1986","LowerMainstem",168
"1986","LowerMainstem",169
"1986","LowerMainstem",170
"1986","LowerMainstem",171
"1986","LowerMainstem",172
"1986","LowerMainstem",173
"1986","LowerMainstem",174
"1986","LowerMainstem",175
"1986","LowerMainstem",176
"1986","LowerMainstem",177
"1986","LowerMainstem",178
"1986","LowerMainstem",179
"1986","LowerMainstem",180
"1986","LowerMainstem",181
"1986","LowerMainstem",182
"1986","LowerMainstem",183
"1986","LowerMainstem",184
"1986","LowerMainstem",185
"1986","LowerMainstem",186
"1986","LowerMainstem",187
"1986","LowerMainstem",188
"1986","LowerMainstem",189
"1986","LowerMainstem",190
"1986","LowerMainstem",191
"1986","LowerMainstem",192
"1986","LowerMainstem",193
"1986","LowerMainstem",194
"1986","LowerMainstem",195
"1986","LowerMainstem",196
"1986","LowerMainstem",197
"1986","LowerMainstem",198
"1986","White-Donjek",170
"1986","White-Donjek",171
"1986","White-Donjek",172
"1986","White-Donjek",173
"1986","White-Donjek",174
"1986","White-Donjek",175
"1986","White-Donjek",176
"1986","White-Donjek",177
"1986","White-Donjek",178
"1986","White-Donjek",179
"1986","White-Donjek",180
"1986","White-Donjek",181
"1986","White-Donjek",182
"1986","White-Donjek",183
"1986","White-Donjek",184
"1986","White-Donjek",185
"1986","White-Donjek",186
"1986","White-Donjek",187
"1986","White-Donjek",188
"1986","White-Donjek",189
"1986","White-Donjek",190
"1986","White-Donjek",191
"1986","White-Donjek",192
"1986","White-Donjek",193
"1986","White-Donjek",194
"1986","White-Donjek",195
"1986","White-Donjek",196
"1986","White-Donjek",197
"1986","White-Donjek",198
"1986","White-Donjek",199
"1986","White-Donjek",200
"1986","White-Donjek",201
"1986","White-Donjek",202
"1986","White-Donjek",203
"1986","Pelly",171
"1986","Pelly",172
"1986","Pelly",173
"1986","Pelly",174
"1986","Pelly",175
"1986","Pelly",176
"1986","Pelly",177
"1986","Pelly",178
"1986","Pelly",179
"1986","Pelly",180
"1986","Pelly",181
"1986","Pelly",182
"1986","Pelly",183
"1986","Pelly",184
"1986","Pelly",185
"1986","Pelly",186
"1986","Pelly",187
"1986","Pelly",188
"1986","Pelly",189
"1986","Pelly",190
"1986","Pelly",191
"1986","Pelly",192
"1986","Pelly",193
"1986","Pelly",194
"1986","Pelly",195
"1986","Pelly",196
"1986","Pelly",197
"1986","Pelly",198
"1986","Pelly",199
"1986","Pelly",200
"1986","Pelly",201
"1986","Pelly",202
"1986","Pelly",203
"1986","Pelly",204
"1986","Stewart",173
"1986","Stewart",174
"1986","Stewart",175
"1986","Stewart",176
"1986","Stewart",177
"1986","Stewart",178
"1986","Stewart",179
"1986","Stewart",180
"1986","Stewart",181
"1986","Stewart",182
"1986","Stewart",183
"1986","Stewart",184
"1986","Stewart",185
"1986","Stewart",186
"1986","Stewart",187
"1986","Stewart",188
"1986","Stewart",189
"1986","Stewart",190
"1986","Stewart",191
"1986","Stewart",192
"1986","Stewart",193
"1986","Stewart",194
"1986","Stewart",195
"1986","Stewart",196
"1986","Stewart",197
"1986","Stewart",198
"1986","Stewart",199
"1986","Stewart",200
"1986","Stewart",201
"1986","Stewart",202
"1986","Stewart",203
"1986","Stewart",204
"1986","Stewart",205
"1986","Carmacks",172
"1986","Carmacks",173
"1986","Carmacks",174
"1986","Carmacks",175
"1986","Carmacks",176
"1986","Carmacks",177
"1986","Carmacks",178
"1986","Carmacks",179
"1986","Carmacks",180
"1986","Carmacks",181
"1986","Carmacks",182
"1986","Carmacks",183
"1986","Carmacks",184
"1986","Carmacks",185
"1986","Carmacks",186
"1986","Carmacks",187
"1986","Carmacks",188
"1986","Carmacks",189
"1986","Carmacks",190
"1986","Carmacks",191
"1986","Carmacks",192
"1986","Carmacks",193
"1986","Carmacks",194
"1986","Carmacks",195
"1986","Carmacks",196
"1986","Carmacks",197
"1986","Carmacks",198
"1986","Carmacks",199
"1986","Carmacks",200
"1986","Carmacks",201
"1986","Carmacks",202
"1986","Carmacks",203
"1986","Carmacks",204
"1986","Carmacks",205
"1986","Teslin",172
"1986","Teslin",173
"1986","Teslin",174
"1986","Teslin",175
"1986","Teslin",176
"1986","Teslin",177
"1986","Teslin",178
"1986","Teslin",179
"1986","Teslin",180
"1986","Teslin",181
"1986","Teslin",182
"1986","Teslin",183
"1986","Teslin",184
"1986","Teslin",185
"1986","Teslin",186
"1986","Teslin",187
"1986","Teslin",188
"1986","Teslin",189
"1986","Teslin",190
"1986","Teslin",191
"1986","Teslin",192
"1986","Teslin",193
"1986","Teslin",194
"1986","Teslin",195
"1986","Teslin",196
"1986","Teslin",197
"1986","Teslin",198
"1986","Teslin",199
"1986","Teslin",200
"1986","Teslin",201
"1986","Teslin",202
"1986","Teslin",203
"1986","Teslin",204
"1986","MiddleMainstem",178
"1986","MiddleMainstem",179
"1986","MiddleMainstem",180
"1986","MiddleMainstem",181
"1986","MiddleMainstem",182
"1986","MiddleMainstem",183
"1986","MiddleMainstem",184
"1986","MiddleMainstem",185
"1986","MiddleMainstem",186
"1986","MiddleMainstem",187
"1986","MiddleMainstem",188
"1986","MiddleMainstem",189
"1986","MiddleMainstem",190
"1986","MiddleMainstem",191
"1986","MiddleMainstem",192
"1986","MiddleMainstem",193
"1986","MiddleMainstem",194
"1986","MiddleMainstem",195
"1986","MiddleMainstem",196
"1986","MiddleMainstem",197
"1986","MiddleMainstem",198
"1986","MiddleMainstem",199
"1986","MiddleMainstem",200
"1986","MiddleMainstem",201
"1986","MiddleMainstem",202
"1986","MiddleMainstem",203
"1986","MiddleMainstem",204
"1986","MiddleMainstem",205
"1986","MiddleMainstem",206
"1986","MiddleMainstem",207
"1986","MiddleMainstem",208
"1986","MiddleMainstem",209
"1986","MiddleMainstem",210
"1986","MiddleMainstem",211
"1986","UpperMainstem",188
"1986","UpperMainstem",189
"1986","UpperMainstem",190
"1986","UpperMainstem",191
"1986","UpperMainstem",192
"1986","UpperMainstem",193
"1986","UpperMainstem",194
"1986","UpperMainstem",195
"1986","UpperMainstem",196
"1986","UpperMainstem",197
"1986","UpperMainstem",198
"1986","UpperMainstem",199
"1986","UpperMainstem",200
"1986","UpperMainstem",201
"1986","UpperMainstem",202
"1986","UpperMainstem",203
"1986","UpperMainstem",204
"1986","UpperMainstem",205
"1986","UpperMainstem",206
"1986","UpperMainstem",207
"1986","UpperMainstem",208
"1986","UpperMainstem",209
"1986","UpperMainstem",210
"1986","UpperMainstem",211
"1986","UpperMainstem",212
"1986","UpperMainstem",213
"1986","UpperMainstem",214
"1986","UpperMainstem",215
"1986","UpperMainstem",216
"1986","UpperMainstem",217
"1986","UpperMainstem",218
"1986","UpperMainstem",219
"1986","UpperMainstem",220
"1986","UpperMainstem",221
"1987","LowerMainstem",163
"1987","LowerMainstem",164
"1987","LowerMainstem",165
"1987","LowerMainstem",166
"1987","LowerMainstem",167
"1987","LowerMainstem",168
"1987","LowerMainstem",169
"1987","LowerMainstem",170
"1987","LowerMainstem",171
"1987","LowerMainstem",172
"1987","LowerMainstem",173
"1987","LowerMainstem",174
"1987","LowerMainstem",175
"1987","LowerMainstem",176
"1987","LowerMainstem",177
"1987","LowerMainstem",178
"1987","LowerMainstem",179
"1987","LowerMainstem",180
"1987","LowerMainstem",181
"1987","LowerMainstem",182
"1987","LowerMainstem",183
"1987","LowerMainstem",184
"1987","LowerMainstem",185
"1987","LowerMainstem",186
"1987","LowerMainstem",187
"1987","LowerMainstem",188
"1987","LowerMainstem",189
"1987","LowerMainstem",190
"1987","LowerMainstem",191
"1987","LowerMainstem",192
"1987","LowerMainstem",193
"1987","LowerMainstem",194
"1987","LowerMainstem",195
"1987","LowerMainstem",196
"1987","White-Donjek",167
"1987","White-Donjek",168
"1987","White-Donjek",169
"1987","White-Donjek",170
"1987","White-Donjek",171
"1987","White-Donjek",172
"1987","White-Donjek",173
"1987","White-Donjek",174
"1987","White-Donjek",175
"1987","White-Donjek",176
"1987","White-Donjek",177
"1987","White-Donjek",178
"1987","White-Donjek",179
"1987","White-Donjek",180
"1987","White-Donjek",181
"1987","White-Donjek",182
"1987","White-Donjek",183
"1987","White-Donjek",184
"1987","White-Donjek",185
"1987","White-Donjek",186
"1987","White-Donjek",187
"1987","White-Donjek",188
"1987","White-Donjek",189
"1987","White-Donjek",190
"1987","White-Donjek",191
"1987","White-Donjek",192
"1987","White-Donjek",193
"1987","White-Donjek",194
"1987","White-Donjek",195
"1987","White-Donjek",196
"1987","White-Donjek",197
"1987","White-Donjek",198
"1987","White-Donjek",199
"1987","White-Donjek",200
"1987","Pelly",171
"1987","Pelly",172
"1987","Pelly",173
"1987","Pelly",174
"1987","Pelly",175
"1987","Pelly",176
"1987","Pelly",177
"1987","Pelly",178
"1987","Pelly",179
"1987","Pelly",180
"1987","Pelly",181
"1987","Pelly",182
"1987","Pelly",183
"1987","Pelly",184
"1987","Pelly",185
"1987","Pelly",186
"1987","Pelly",187
"1987","Pelly",188
"1987","Pelly",189
"1987","Pelly",190
"1987","Pelly",191
"1987","Pelly",192
"1987","Pelly",193
"1987","Pelly",194
"1987","Pelly",195
"1987","Pelly",196
"1987","Pelly",197
"1987","Pelly",198
"1987","Pelly",199
"1987","Pelly",200
"1987","Pelly",201
"1987","Pelly",202
"1987","Pelly",203
"1987","Pelly",204
"1987","Stewart",170
"1987","Stewart",171
"1987","Stewart",172
"1987","Stewart",173
"1987","Stewart",174
"1987","Stewart",175
"1987","Stewart",176
"1987","Stewart",177
"1987","Stewart",178
"1987","Stewart",179
"1987","Stewart",180
"1987","Stewart",181
"1987","Stewart",182
"1987","Stewart",183
"1987","Stewart",184
"1987","Stewart",185
"1987","Stewart",186
"1987","Stewart",187
"1987","Stewart",188
"1987","Stewart",189
"1987","Stewart",190
"1987","Stewart",191
"1987","Stewart",192
"1987","Stewart",193
"1987","Stewart",194
"1987","Stewart",195
"1987","Stewart",196
"1987","Stewart",197
"1987","Stewart",198
"1987","Stewart",199
"1987","Stewart",200
"1987","Stewart",201
"1987","Stewart",202
"1987","Stewart",203
"1987","Carmacks",174
"1987","Carmacks",175
"1987","Carmacks",176
"1987","Carmacks",177
"1987","Carmacks",178
"1987","Carmacks",179
"1987","Carmacks",180
"1987","Carmacks",181
"1987","Carmacks",182
"1987","Carmacks",183
"1987","Carmacks",184
"1987","Carmacks",185
"1987","Carmacks",186
"1987","Carmacks",187
"1987","Carmacks",188
"1987","Carmacks",189
"1987","Carmacks",190
"1987","Carmacks",191
"1987","Carmacks",192
"1987","Carmacks",193
"1987","Carmacks",194
"1987","Carmacks",195
"1987","Carmacks",196
"1987","Carmacks",197
"1987","Carmacks",198
"1987","Carmacks",199
"1987","Carmacks",200
"1987","Carmacks",201
"1987","Carmacks",202
"1987","Carmacks",203
"1987","Carmacks",204
"1987","Carmacks",205
"1987","Carmacks",206
"1987","Carmacks",207
"1987","Teslin",173
"1987","Teslin",174
"1987","Teslin",175
"1987","Teslin",176
"1987","Teslin",177
"1987","Teslin",178
"1987","Teslin",179
"1987","Teslin",180
"1987","Teslin",181
"1987","Teslin",182
"1987","Teslin",183
"1987","Teslin",184
