quantity,pop,year,median,sd
logR,Carmacks,1985,9.062744797,0.362340899
logR,Carmacks,1986,10.01280866,0.279004725
logR,Carmacks,1987,9.434905922,0.368862503
logR,Carmacks,1988,9.84552683,0.310446041
logR,Carmacks,1989,9.87731176,0.328467309
logR,Carmacks,1990,8.817518596,0.516904733
logR,Carmacks,1991,10.84485744,0.145347447
logR,Carmacks,1992,8.894566116,0.455268574
logR,Carmacks,1993,9.878883437,0.261662774
logR,Carmacks,1994,9.441677559,0.210670254
logR,Carmacks,1995,8.566340453,0.389943213
logR,Carmacks,1996,8.990346111,0.330470619
logR,Carmacks,1997,9.687449806,0.212305263
logR,Carmacks,1998,9.472940266,0.247880071
logR,Carmacks,1999,9.068028253,0.318592747
logR,Carmacks,2000,10.59580378,0.095667085
logR,Carmacks,2001,9.695012641,0.142624235
logR,Carmacks,2002,8.942108712,0.369968917
logR,Carmacks,2003,10.01896033,0.064116093
logR,Carmacks,2004,9.234496646,0.118905097
logR,Carmacks,2005,9.722786818,0.097431044
logR,Carmacks,2006,9.072159856,0.119026964
logR,Carmacks,2007,9.219694667,0.065154281
logR,Carmacks,2008,8.958353007,0.145247939
logR,Carmacks,2009,9.764832419,0.071965608
logR,Carmacks,2010,9.512260722,0.080513123
logR,Carmacks,2011,9.980382559,0.074725068
logR,Carmacks,2012,9.739710818,0.079662266
logR,Carmacks,2013,9.65116721,0.139411478
logR,Carmacks,2014,10.03941462,0.271659385
logR,Carmacks,2015,9.378716648,0.694390668
S,Carmacks,1985,4007.382475,766.2833182
S,Carmacks,1986,6293.730703,1155.57457
S,Carmacks,1987,4810.062656,850.1850746
S,Carmacks,1988,4940.749364,729.8492954
S,Carmacks,1989,4161.23589,807.0157855
S,Carmacks,1990,2585.316194,1007.364458
S,Carmacks,1991,5671.035549,981.447844
S,Carmacks,1992,7068.877349,1462.32975
S,Carmacks,1993,5197.479828,835.99956
S,Carmacks,1994,5585.193999,810.1967692
S,Carmacks,1995,7896.327009,1442.45049
S,Carmacks,1996,9548.933807,1039.788167
S,Carmacks,1997,15218.44546,1981.663633
S,Carmacks,1998,4735.305239,929.8747497
S,Carmacks,1999,5504.910306,1003.756544
S,Carmacks,2000,5604.625922,734.1295516
S,Carmacks,2001,6733.355096,1380.793568
S,Carmacks,2002,5244.210943,900.4775829
S,Carmacks,2003,8235.333026,1163.284859
S,Carmacks,2004,6315.674238,888.7124333
S,Carmacks,2005,11694.03218,1097.795997
S,Carmacks,2006,17177.10007,1087.921301
S,Carmacks,2007,5325.92188,185.7752473
S,Carmacks,2008,8163.232395,1266.478401
S,Carmacks,2009,13009.58145,271.8822845
S,Carmacks,2010,6420.78995,363.0221221
S,Carmacks,2011,9033.567089,608.2762796
S,Carmacks,2012,6138.319229,359.3833632
S,Carmacks,2013,6392.456352,221.2975487
S,Carmacks,2014,14810.25556,1002.830245
S,Carmacks,2015,19037.87091,286.2621493
logR,LwrMain,1985,10.44560806,0.145559604
logR,LwrMain,1986,9.362328883,0.445820153
logR,LwrMain,1987,9.826736042,0.579774944
logR,LwrMain,1988,11.06615021,0.179338839
logR,LwrMain,1989,9.438359426,0.575117254
logR,LwrMain,1990,9.770907671,0.415421933
logR,LwrMain,1991,10.56270331,0.133884383
logR,LwrMain,1992,7.157247116,0.654166248
logR,LwrMain,1993,9.779570688,0.227516103
logR,LwrMain,1994,9.67548845,0.192799932
logR,LwrMain,1995,8.59457921,0.53835563
logR,LwrMain,1996,9.205642972,0.378024637
logR,LwrMain,1997,10.2901042,0.172629356
logR,LwrMain,1998,10.27550998,0.170528584
logR,LwrMain,1999,9.242024166,0.37256266
logR,LwrMain,2000,10.38485249,0.108154879
logR,LwrMain,2001,9.595546751,0.257082977
logR,LwrMain,2002,8.417306287,0.248063662
logR,LwrMain,2003,9.446280136,0.119137869
logR,LwrMain,2004,8.594279077,0.203670091
logR,LwrMain,2005,8.982878423,0.177166934
logR,LwrMain,2006,9.056557015,0.347866384
logR,LwrMain,2007,9.541742526,0.396988312
logR,LwrMain,2008,7.513705687,0.396723666
logR,LwrMain,2009,9.462384257,0.1170585
logR,LwrMain,2010,8.644645698,0.209237548
logR,LwrMain,2011,9.91257387,0.08832076
logR,LwrMain,2012,9.476221303,0.122819538
logR,LwrMain,2013,9.498112965,0.148738588
logR,LwrMain,2014,9.351925357,0.414371511
logR,LwrMain,2015,9.204859734,0.871157886
S,LwrMain,1985,4178.672301,742.0562575
S,LwrMain,1986,7497.639157,1019.891354
S,LwrMain,1987,4278.528739,621.753397
S,LwrMain,1988,2761.066732,497.7883959
S,LwrMain,1989,1645.49394,475.908382
S,LwrMain,1990,2466.271657,550.7384456
S,LwrMain,1991,11733.6698,1280.439521
S,LwrMain,1992,6638.317829,1079.964649
S,LwrMain,1993,10413.121,1150.626939
S,LwrMain,1994,13476.08812,1425.836286
