"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha[1]",1.72389427470232,0.19418439169665,1.33756601875088,1.59579357266712,1.72456537122528,1.85279460215615,2.10736506942945,1.00094653524573,15000
"alpha[2]",2.2911389924538,0.309831516233692,1.67436998643635,2.08523559177584,2.2957346526934,2.49956544783256,2.8967321005542,1.00113445479236,8500
"alpha[3]",2.0324751429491,0.254352928275564,1.53841193611103,1.86077291956806,2.03194890861762,2.20002896308289,2.5427836681637,1.00092730782023,15000
"alpha[4]",1.40070677563227,0.25780777339931,0.890197549569332,1.22830775124634,1.40172766750476,1.56970938999845,1.90864357484651,1.00096562226352,15000
"alpha[5]",0.960349822768492,0.169494076697172,0.63871716041239,0.844807979626766,0.957568848508248,1.07396040359252,1.30121310313712,1.00123209701295,6000
"alpha[6]",1.27635890499862,0.217327526768657,0.848129698002309,1.1326318144896,1.27680823095919,1.4189606441121,1.71039731077041,1.00115571009744,7800
"alpha[7]",1.32341565966127,0.3026776315952,0.727706038227704,1.12055697710261,1.32272395764989,1.52370406447603,1.91703355153949,1.00096722000285,15000
"alpha[8]",1.66221298726351,0.282763833522037,1.10247533485504,1.47372966992589,1.66035141450406,1.85314901955847,2.22113545808121,1.00113099859916,8600
"beta[1]",0.124050380970416,0.0235953605938555,0.077010275977072,0.108506172426878,0.124238619545768,0.139628808128011,0.170592006912882,1.00096764138728,15000
"beta[2]",0.168414580538959,0.0335983537636735,0.101857482286112,0.146296592550093,0.169056568683139,0.191028667613768,0.233184804038435,1.00101063821499,15000
"beta[3]",0.101468370772522,0.0166813258416507,0.0687617519240102,0.0904093090284229,0.101595069532572,0.112645370767018,0.134155190502197,1.00095018508133,15000
"beta[4]",0.0922573197063211,0.0310170251801667,0.0309134210681575,0.0715582274590882,0.0923213620399208,0.112693975510362,0.153505931644104,1.00091944908365,15000
"beta[5]",0.0806362602577441,0.0334427716870602,0.0179538914179768,0.0574518727698293,0.0797076377781576,0.102804719344133,0.148689089015499,1.00095303885027,15000
"beta[6]",0.120236202812964,0.0293571738269366,0.0629736615938394,0.100522304679003,0.119862461663051,0.139764672942942,0.178754947802725,1.00138561499094,4100
"beta[7]",0.225997975162124,0.0458640834126368,0.133505046743293,0.196275354979043,0.226876415871155,0.256861522707736,0.31372493328992,1.000916136451,15000
"beta[8]",0.14605973292318,0.0516672767707454,0.0439474466694728,0.111280635174689,0.146413090199918,0.181008370216953,0.246695063148371,1.00096507678461,15000
"coef[1,1]",-0.0726299177991177,0.0546778541232926,-0.178259709223065,-0.107026665440663,-0.0743108176275008,-0.0393854820120743,0.0413943872633233,1.00098689481565,15000
"coef[2,1]",-0.0720128899570291,0.0629235774896639,-0.19043987372345,-0.110277924023135,-0.0750064545926326,-0.0369152882247309,0.0645483789213258,1.00092968215922,15000
"coef[3,1]",-0.0960814290273778,0.0624356498432641,-0.234269952958493,-0.130287240044081,-0.0924364518376312,-0.057708923833634,0.017478171035791,1.00115752035526,7700
"coef[4,1]",-0.0685304332237795,0.0540268430080354,-0.169554587876889,-0.103551154351105,-0.071278889145789,-0.0361977688330675,0.0473185581021136,1.00098111318712,15000
"coef[5,1]",-0.0836099952594304,0.054158833715533,-0.193998468069432,-0.116669781860807,-0.0830909515668395,-0.0492118365077114,0.0214771874920022,1.00102667104446,15000
"coef[6,1]",-0.0880062371309885,0.0529543278614563,-0.197158772690643,-0.120571339119331,-0.0869166169360991,-0.0539977073946806,0.0130013032200221,1.00099663474256,15000
"coef[7,1]",-0.105692533911236,0.0678947941697071,-0.265930972514829,-0.139982100315783,-0.0988373282053839,-0.062367221911162,0.00917616879690462,1.0011719801599,7300
"coef[8,1]",-0.0775769853808163,0.0583402118291609,-0.193705896068204,-0.112808182229025,-0.0785980679540129,-0.0433392708514141,0.04250740777922,1.00102799616566,15000
"coef[1,2]",-0.110084230630691,0.0719627657593558,-0.2322615276907,-0.159675751952985,-0.117431567857113,-0.0687693844639474,0.0514845024623476,1.00097525897069,15000
"coef[2,2]",-0.195049104333269,0.0889094226518563,-0.412987172150528,-0.239544951994434,-0.18177597186535,-0.136803467781462,-0.0533792864865696,1.00101369187732,15000
"coef[3,2]",-0.177763019945617,0.0736328268828562,-0.340716862215721,-0.21927057939692,-0.1715678543482,-0.13046744171003,-0.0476669016561279,1.00109824273787,10000
"coef[4,2]",-0.168473872923273,0.0677591864777962,-0.316101134381949,-0.208031427647969,-0.165360449533265,-0.125066374230722,-0.04215481397002,1.00124419060054,5800
"coef[5,2]",-0.147817777324248,0.0676294950884795,-0.283263676770791,-0.18999810712994,-0.148432056637411,-0.10739606842113,-0.00823548859916603,1.00159346742982,2900
"coef[6,2]",-0.152797067450008,0.0652595941736293,-0.286221251385573,-0.192765528382846,-0.15223672251545,-0.112304139895255,-0.0218760178290432,1.00108657482763,11000
"coef[7,2]",-0.156342991064981,0.0718400938648771,-0.307900670329169,-0.198174299135097,-0.155012759771756,-0.112787923937039,-0.0134300321622201,1.00104276993265,14000
"coef[8,2]",-0.132067001527735,0.0719258054382482,-0.264942216616518,-0.177958433881005,-0.136421092768922,-0.0909173434158024,0.0272563200433116,1.00090449185363,15000
"coef[1,3]",0.156242435259202,0.0626488515293858,0.020197313630199,0.119968832287419,0.15879231049973,0.196309491606305,0.273621193911526,1.00164681745732,2700
"coef[2,3]",0.129167093409198,0.0867236896839539,-0.088753475485616,0.0900237086694456,0.143501768971859,0.18507933197544,0.260988597242418,1.0019137139346,2000
"coef[3,3]",0.148933061831319,0.0749213735123859,-0.0243100290623956,0.110411647365007,0.15547149244865,0.195952569232078,0.282067941670482,1.00105059596439,13000
"coef[4,3]",0.169591345883908,0.0622966160846576,0.0455298545999091,0.131614155820143,0.168763237350667,0.206964548536637,0.295972646977523,1.0012487881964,5700
"coef[5,3]",0.186620897971792,0.0579580925183234,0.0792256939777722,0.147553889349477,0.183920892830576,0.221906777858804,0.309519671387242,1.00176553688856,2300
"coef[6,3]",0.172369573042727,0.0620477384137677,0.0491265771211777,0.134527633278098,0.171013524301197,0.209906861211187,0.299393695374274,1.00142762630851,3800
"coef[7,3]",0.175496843793007,0.0703534930900309,0.0401353709770916,0.133173317765642,0.172850048592788,0.214730171743247,0.326064209332402,1.00147381749753,3500
"coef[8,3]",0.166371682186748,0.0604966967440209,0.0432455243629545,0.128597567736676,0.166364305761699,0.204296248534514,0.287256370596296,1.00125819635722,5600
"coef[1,4]",-0.0541534431041445,0.0760288141303638,-0.205178902774219,-0.103398693297577,-0.0546189852499663,-0.00562564958734016,0.0995212289633851,1.00103616630447,15000
"coef[2,4]",-0.107486457129982,0.116123365479493,-0.369511569741019,-0.170522051409056,-0.0976505043054018,-0.0349132903447003,0.104085054104398,1.00121323676745,6400
"coef[3,4]",-0.178724698691625,0.133423195582581,-0.480783056060547,-0.26041598451291,-0.157407357249556,-0.0819833388536424,0.0334948713424283,1.00091956042172,15000
"coef[4,4]",-0.0698295128084642,0.0865449729790757,-0.24402196460514,-0.124646294650724,-0.0699966463489803,-0.0153936047987768,0.103845580216927,1.00093544681543,15000
"coef[5,4]",0.0312787625977146,0.107462439547583,-0.152141127636547,-0.0470861823012216,0.023133262553456,0.102224232837462,0.256550353125055,1.00124486451932,5800
"coef[6,4]",-0.0756319224523175,0.0760824451655799,-0.231311102910722,-0.123815814596205,-0.0746836695794255,-0.0270715896548119,0.0725025486043745,1.00097631637524,15000
"coef[7,4]",-0.163028049378066,0.116462856544944,-0.418015951561893,-0.235953757912954,-0.149480600727882,-0.0787697423617512,0.0341205357811212,1.00106701411481,12000
"coef[8,4]",-0.0222921319112795,0.109958127453099,-0.223644596738725,-0.093566495880782,-0.0317653689141624,0.0418625781909389,0.223009980519335,1.00102990498546,15000
"coef[1,5]",-0.192699538747002,0.0620983394471958,-0.311722646788977,-0.23237550042942,-0.194338322542101,-0.154990998977906,-0.0633239708135735,1.00090328425245,15000
"coef[2,5]",-0.199372168705123,0.0636783000666538,-0.323466661831743,-0.239429268572186,-0.199970813487861,-0.16096922173983,-0.0673891173079398,1.00096991364698,15000
"coef[3,5]",-0.208243397530351,0.0729287533607894,-0.362267633821042,-0.248930448061745,-0.206324448329528,-0.164593991753307,-0.0625195502099602,1.0009087387656,15000
"coef[4,5]",-0.224714798967107,0.0646987194971245,-0.366579195901716,-0.262801236814091,-0.22028004746996,-0.182197463132254,-0.110109537369646,1.00101252116188,15000
"coef[5,5]",-0.211908837469833,0.0636242963504103,-0.345664706700423,-0.25027321397887,-0.209404519148195,-0.171132115126539,-0.0915370954431623,1.00098759774007,15000
"coef[6,5]",-0.199191016574953,0.0645128222761291,-0.326564785072385,-0.239341079182682,-0.200145677528574,-0.160034283045385,-0.0654202588806346,1.00113607943349,8400
"coef[7,5]",-0.212941511459249,0.076536445049702,-0.376895245991709,-0.254524672166304,-0.209716574757573,-0.167681957351923,-0.0666390899369448,1.00097492365648,15000
"coef[8,5]",-0.183676689487929,0.0656906060202109,-0.304905126662536,-0.226876263181611,-0.187418811522804,-0.145292615163475,-0.0398800555006998,1.00104687272077,13000
"coef[1,6]",0.227676474000237,0.101507010458152,0.0442299782751337,0.162466686785447,0.22041427291625,0.284055940988245,0.450508474570903,1.00092458887077,15000
"coef[2,6]",0.178835235287433,0.135751166920388,-0.132856446352233,0.112389823909872,0.186480607933341,0.252469294513332,0.445660363013401,1.00089947597912,15000
"coef[3,6]",0.224629820747777,0.14677782101877,-0.0361625120650185,0.143404060828303,0.210449586495416,0.286545392112036,0.579705558645039,1.00090906840704,15000
"coef[4,6]",0.173107401998033,0.0884101979826498,-0.0102789788160469,0.119072052033027,0.176651486608163,0.229686802787668,0.341039835653386,1.00097239144303,15000
"coef[5,6]",0.234728328059623,0.0907395183245685,0.0685158676697386,0.17522765404524,0.228766833736467,0.289299875600977,0.432362951188666,1.00137362061817,4200
"coef[6,6]",0.181081116606211,0.0924949398693267,-0.0109993936957824,0.125541560137778,0.183141600871909,0.238789261425904,0.363811173905898,1.00098259484485,15000
"coef[7,6]",0.13880202749794,0.101883723981195,-0.0884779035955213,0.0788022578367217,0.149159778249001,0.207779638670932,0.314319843186963,1.00102260142541,15000
"coef[8,6]",0.265897074653374,0.161934749000106,0.023658561423993,0.16766995797337,0.235578618189412,0.327682437317286,0.686226561918623,1.00103260745419,15000
"coef[1,7]",0.0489817368716912,0.0589482366259413,-0.0589821705162077,0.0100070434470744,0.045720104942601,0.0843721365932045,0.175162494879699,1.00106521143894,12000
"coef[2,7]",0.0409520535077818,0.0647888958420399,-0.0820618895528914,-9.05559828615586e-06,0.0393010132612967,0.078757805522949,0.178745298811662,1.00130996380597,4900
"coef[3,7]",0.0547877372718876,0.0668744248044789,-0.0630061266423045,0.0106854907264566,0.0493785065826258,0.0923276157682209,0.206672202607315,1.00114689516842,8100
"coef[4,7]",0.0310462873864901,0.0596628323471852,-0.0888709136389761,-0.00584605379431172,0.0312031191319161,0.0683081695022574,0.148654102298103,1.00120358725349,6600
"coef[5,7]",0.0240128499172772,0.0595578546378366,-0.101727004798786,-0.0115834503232663,0.0255652957981863,0.0622911266685617,0.137474685401093,1.00180662989813,2200
"coef[6,7]",0.00575866100349421,0.0631712554599469,-0.135695021758643,-0.0311084117214664,0.0105540284814113,0.047479904440158,0.117796503588696,1.00137153320688,4200
"coef[7,7]",0.0354030917242575,0.0680465953425239,-0.0990401804366146,-0.00474412193178203,0.034482790998398,0.0744540463535817,0.177297057317147,1.00127981697382,5300
"coef[8,7]",0.0254668904398173,0.0595767512206944,-0.0993629186111644,-0.0102484436994533,0.0263408117651925,0.0631997710996522,0.141317569239457,1.00140054049338,4000
"coef[1,8]",-0.0468940583602267,0.0604375248952352,-0.159498009684693,-0.0867708625006458,-0.0497251698104064,-0.0104407207675805,0.0832508844931887,1.00131627420013,4800
"coef[2,8]",-0.0942462775235518,0.0801662633838406,-0.279133903566635,-0.135380980605712,-0.0859464901201838,-0.0435896382146839,0.0468929047776762,1.00131856632342,4800
"coef[3,8]",-0.1065305919314,0.0852582265466225,-0.30923238427492,-0.14839328991678,-0.0945427402344566,-0.0517793138138829,0.0354199350670715,1.0010405684509,14000
"coef[4,8]",-0.0692635277206655,0.0548739910255523,-0.178400535809854,-0.104428174093688,-0.0690258235182946,-0.0337508435796221,0.0399560348573562,1.00129405860236,5100
"coef[5,8]",-0.0792319981482363,0.061454656086416,-0.208271677252059,-0.116681252430518,-0.0773976448534577,-0.0391294095499002,0.037858728866806,1.00210324889301,1700
"coef[6,8]",-0.0333536395408585,0.0713048818987512,-0.155037519065982,-0.0808704948696992,-0.0407131080764291,0.00535195424460599,0.129574069023525,1.00120461190454,6500
"coef[7,8]",-0.110838545963101,0.0850945897911096,-0.319274694611791,-0.153787550030214,-0.0975978695413969,-0.0546787843272383,0.0233685624886096,1.0013462534538,4500
"coef[8,8]",-0.0694717620067818,0.0692991154162328,-0.210172887154393,-0.110001723362093,-0.0697980852346053,-0.0289301633596022,0.0729021048397207,1.00161227496477,2800
"cov.eff[1,1,1]",-0.0736509318672268,0.0554465023603497,-0.180765641714923,-0.108531220786298,-0.0753554613846398,-0.0399391537279753,0.0419762996902863,1.00098689481565,15000
"cov.eff[2,1,1]",-0.0730252299948448,0.063808142139873,-0.193117032063879,-0.111828184786762,-0.0760608774483747,-0.0374342345453091,0.0654557846426786,1.00092968215922,15000
"cov.eff[3,1,1]",-0.0974321188490612,0.0633133553229511,-0.237563264102909,-0.132118787001741,-0.0937359014390109,-0.0585201821260162,0.0177238749970941,1.00115752035526,7700
"cov.eff[4,1,1]",-0.0694938177151211,0.0547863394860473,-0.171938145848323,-0.105006851790469,-0.0722809107751997,-0.0367066284371076,0.0479837511102967,1.00098111318712,15000
"cov.eff[5,1,1]",-0.0847853646386237,0.0549201856874419,-0.196725652280742,-0.11830989783798,-0.0842590243535519,-0.049903644772328,0.0217791086732074,1.00102667104446,15000
