"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"1","Carmacks",1982,7.85957529480263,10.4674769575704,14.193525068416,2.64071473460028,3.88158435303606,5.76720180748769
"2","Lower Mainstem",1982,12.2114723949072,15.9323228543401,21.3615799954489,3.33736533010459,4.43772543381721,6.12919417256579
"3","Middle Mainstem",1982,11.1440169982513,15.322201010197,21.2247432560088,3.77286709447823,4.90291341500395,6.32919926061554
"4","Pelly",1982,16.9290615832416,22.0973683480567,28.9820784181026,4.73700305170479,6.44964740045974,8.8355720554596
"5","Stewart",1982,10.1702516118494,13.5117764569149,17.5711771027914,2.7222500959203,3.96655509379432,5.69350939928618
"6","Teslin",1982,14.2550086744955,18.4791167368055,24.5261596410421,8.68181549711376,10.6855469577113,13.2653034041047
"7","Upper Lakes and Mainstem",1982,2.52489749903121,3.67365931123814,5.44981071565273,2.7018139085103,3.65014728475324,4.77863965476992
"8","White-Donjek",1982,8.79792617986994,11.9682279652711,15.7902481364973,2.08340371247109,3.24571018725255,5.10856931719835
"9","Carmacks",1983,26.8344638035264,35.563963934852,46.0563577876398,4.51651238396938,6.31554724989427,8.73598995072008
"10","Lower Mainstem",1983,24.4150640591807,30.9184755522731,39.9501869592791,6.15808301124474,7.58643460237419,9.4369064865195
"11","Middle Mainstem",1983,26.6452149928218,34.5641222658426,44.9618130105116,7.66442117304606,9.43451653640733,11.3824825726378
"12","Pelly",1983,26.2603503311369,33.8361535094718,43.2498507807829,7.25237784148173,9.60571741813489,12.747958462049
"13","Stewart",1983,14.7702224945628,19.024456572209,25.1811741923208,3.36777716694939,4.92454639097496,7.32734167586776
"14","Teslin",1983,25.7148385486558,32.7028054921183,41.8738635053384,10.3862166255534,13.0883013059388,16.4145125101876
"15","Upper Lakes and Mainstem",1983,11.9098522431394,16.6654253901011,23.0611319327596,2.00054046813448,2.65678095431174,3.5243708584907
"16","White-Donjek",1983,13.1677737441171,17.0934141829932,21.9067518606546,2.92922549021429,4.35043328420282,6.61716580724117
"17","Carmacks",1984,15.1646598038995,19.5763279326633,25.0971417888364,2.79571574579829,4.02373600523749,5.65988480586019
"18","Lower Mainstem",1984,24.0386334935834,30.6827725822442,40.486440563019,3.4759958287706,4.63218526004955,6.15781982800715
"19","Middle Mainstem",1984,15.2971794767231,19.7492529752087,26.0563083377149,4.48132058297499,5.66558678483271,7.13199629113616
"20","Pelly",1984,15.3467262514318,19.6285482836407,25.1175977057984,6.02295201808273,7.59911696863242,10.0185643461798
"21","Stewart",1984,8.34446734239225,10.6626898832832,13.7746001809026,2.22886015698237,3.28521048479523,4.76479802199501
"22","Teslin",1984,16.9030125306909,21.7375562873938,28.2097843466834,4.59266761110791,5.94419407607103,7.82768936720438
"23","Upper Lakes and Mainstem",1984,8.92701146844957,11.3560644240067,14.7220509451585,1.12230891241622,1.61816460903738,2.37353719861696
"24","White-Donjek",1984,12.6602016768313,16.3491141981055,21.1772190229908,2.33176111084325,3.43073380142177,5.1243288766166
