"","population","BroodYear","R_lwr","R_med","R_upr","S_lwr","S_med","S_upr"
"1","Carmacks",1985,7.14764697811022,9.2509296208881,12.4846057428618,2.90808489270969,4.1882914352422,6.08295638047465
"2","Lower Mainstem",1985,12.071813965871,15.8707859888246,21.5380263408408,3.11082060589563,4.25936129917144,5.77708922228233
"3","Middle Mainstem",1985,11.7301691962463,15.4651165555789,20.1100136478862,6.58277723009379,8.25541260642031,10.2869966935055
"4","Pelly",1985,14.8546570597848,19.323889096827,26.2237788082367,4.68526941558628,6.35804746385315,8.61261541752341
"5","Stewart",1985,9.82594146753929,13.4759965546783,18.7226770128167,2.8977815300825,4.1732791338442,6.07492120932438
"6","Teslin",1985,9.97820784866225,13.250250565584,18.0265540782849,5.24313629220497,6.95196506169952,9.33605194163435
"7","Upper Lakes and Mainstem",1985,8.27175714742209,11.1812691611783,15.247736751632,3.28674138100329,4.21371928611814,5.44377487128581
"8","White-Donjek",1985,8.71738271643825,11.5338789177747,15.2887522934735,1.82500564888508,2.93574975288065,4.74732851512947
"9","Carmacks",1986,20.9670272387337,26.7552043639719,35.2988744561115,4.38842421647758,6.20674660529784,8.83305293975695
"10","Lower Mainstem",1986,24.1245653232924,30.9390011175543,40.4197741866961,5.96728588700451,7.42589461508403,9.31014721883517
"11","Middle Mainstem",1986,30.9853600144747,39.1683428717194,50.4491583614542,10.7622358912662,12.7971634837286,15.1772766667402
"12","Pelly",1986,26.0529496229675,33.5106784520504,42.8041661273578,7.54227210769297,9.85720813384899,12.8974273416187
"13","Stewart",1986,15.1915702594706,19.6866503953953,25.4173681709232,3.46415508788264,5.1212982421644,7.54709101567461
"14","Teslin",1986,20.8765453929208,26.4815418736944,34.5898849157588,6.4759424224403,8.70347084683044,11.5180231458518
"15","Upper Lakes and Mainstem",1986,22.5527652678929,29.3131959400985,38.0925288123582,2.12739081979541,2.83547862482554,3.80702060393367
"16","White-Donjek",1986,12.972406990653,16.9818228488516,21.968359175584,2.83830352602019,4.24238591387705,6.488242511106
"17","Carmacks",1987,12.573511413677,16.3371644202702,21.1340176790899,2.95321431077069,4.09434281144214,5.75490859845419
"18","Lower Mainstem",1987,23.9941652366255,30.5365075347783,39.6191580299921,3.5011188640564,4.68404283122359,6.22207576407393
"19","Middle Mainstem",1987,20.3340951542664,26.3860095414149,33.6341937548173,5.89817588257883,7.56229359268218,9.71186533938419
"20","Pelly",1987,15.738322088549,20.1290362236241,25.3411278853053,5.75990732925937,7.43072267981502,9.48542521214478
"21","Stewart",1987,8.11359773220054,10.6170414933603,13.7805302414211,2.34683514898885,3.43573274213201,4.94844124158395
"22","Teslin",1987,13.1386237622244,16.5591296839524,21.146064547971,2.39019999977718,3.48787864648759,5.13240206267732
"23","Upper Lakes and Mainstem",1987,10.9351228483959,14.1551430425256,18.3500453374149,1.33620665730145,2.29130174918247,3.94337078604481
"24","White-Donjek",1987,12.6669397793272,16.0464221573785,20.9511161792636,2.23279748690938,3.34436259371714,5.09462374913761
"25","Carmacks",1988,14.7321328822182,18.9226457622587,23.8788727321824,4.5001240137978,6.0512982189008,8.0207037115191
"26","Lower Mainstem",1988,29.5467297354859,36.8166829950611,47.0859316828822,1.35749209270371,2.01106895096894,2.95683144877796
"27","Middle Mainstem",1988,24.450278229664,30.8438459596942,39.1654728318563,3.82002773841907,4.96875275814423,6.47440452709726
"28","Pelly",1988,17.2869662680673,21.4859383300107,27.0384853889703,4.48756019154309,8.28435808530517,16.1922327148302
"29","Stewart",1988,10.0985650661446,12.8186029380043,15.8161542431757,4.0692875047474,8.13711226377941,15.6186072158084
"30","Teslin",1988,13.2270734347861,16.6346000733633,20.767090475076,4.80106377032027,6.48772271060848,8.67463130114599
"31","Upper Lakes and Mainstem",1988,12.348714034682,15.6127672172128,19.8048830367425,0.539202907169279,0.910789638690022,1.55623126212928
"32","White-Donjek",1988,13.6845598018519,17.3846543025101,22.0074891526899,2.50793683147746,3.70791390886858,5.56631544315905
"33","Carmacks",1989,21.3590192943991,26.3226019928187,32.9008846390755,2.96023281657495,4.15652958489771,5.74218211781835
"34","Lower Mainstem",1989,30.4133669681065,37.2735083055245,45.8961647532391,1.0353447667857,1.93410120933381,3.45064355526579
"35","Middle Mainstem",1989,45.4446840806635,57.2755914399002,73.1364979473758,1.44221287995746,2.79871263257197,5.20553389935716
"36","Pelly",1989,22.5507161957827,28.2777802459364,36.5731640660364,6.05757318159415,10.8775743046991,19.6429428276168
"37","Stewart",1989,14.1212489249045,18.1661808502568,23.4621769382018,5.44622648970681,9.52952852322755,16.3700541342286
"38","Teslin",1989,19.4989077784348,24.2645264649395,30.9096192052433,6.30734814625459,10.0888671409245,15.7279574132006
"39","Upper Lakes and Mainstem",1989,17.8666245554629,22.4164755626369,28.8252605180004,0.393773611501049,0.706469008305959,1.25244040292612
"40","White-Donjek",1989,15.2285414428087,19.6927557986996,25.5545195819651,4.76222791670581,7.79368353149132,12.5152796297431
"41","Carmacks",1990,9.29805910307217,12.2500282532749,15.7570239544761,1.24654647817045,4.07586599940647,13.0458243112682
"42","Lower Mainstem",1990,10.8741505822791,14.2816713045374,18.6330134040806,1.00474557374397,1.71105432939805,2.88002370463628
"43","Middle Mainstem",1990,17.3417628565521,22.6300788205322,29.5460312843124,1.31876917509912,2.74699124419631,6.01918082882351
"44","Pelly",1990,7.97478538833902,10.4439945294549,13.6995738610679,2.35321464968511,4.59955053874164,10.7637110700055
"45","Stewart",1990,4.49547911330448,6.03479429881627,8.20158433398022,3.81734871845245,10.5018019929723,25.3876603825582
"46","Teslin",1990,8.12223108115491,10.803980909676,14.4256483805104,3.27983444957053,7.43477656811762,19.1388319747798
"47","Upper Lakes and Mainstem",1990,6.04173026059806,8.0318220533467,10.7244558965178,0.24735825967504,0.485952248048879,0.959227902030481
"48","White-Donjek",1990,7.75733098773958,10.0904271364291,13.1887622609712,2.96719669528187,5.63788773402056,12.1320024313974
"49","Carmacks",1991,36.1558637391787,44.7493767221042,56.7209932414177,3.26308639196259,4.65676149482613,6.63380067834449
"50","Lower Mainstem",1991,31.4923727608269,38.2237594314043,48.1982301115579,9.9437854410762,11.9628459299116,14.3702041945981
"51","Middle Mainstem",1991,56.9658037322887,69.7941247590453,85.6701270028477,7.94906228485388,9.97665196721834,12.6798711943429
"52","Pelly",1991,24.371676598882,29.8682031787591,37.876553989278,6.72913368870778,10.1323562678603,15.2827644899094
"53","Stewart",1991,15.1930786201287,19.2494121810998,24.1756092409403,2.7723962262415,4.18165098223085,6.2040323485577
"54","Teslin",1991,19.2284987871507,24.0721818420909,29.9676962620702,3.30360323453717,4.71354571490285,6.75297564959066
"55","Upper Lakes and Mainstem",1991,17.6828710966577,21.8759963234636,28.0511383922925,6.58587625879508,8.23988031013072,10.2704109698846
"56","White-Donjek",1991,17.0330026697504,21.1563176978501,26.1797054814352,3.38930333466056,5.72660814774874,9.58536654376418
"57","Carmacks",1992,9.81631882116566,12.990998909931,17.2938204469145,5.61170729467205,8.57321267034217,13.1181182913998
"58","Lower Mainstem",1992,4.81386775082354,6.78265953471848,9.42689463084441,4.22649320212766,5.65657676382728,7.56819357098151
"59","Middle Mainstem",1992,7.90632550212015,10.9354366774936,15.3074170421434,8.13157222011343,10.6688029367771,14.2347568801081
"60","Pelly",1992,9.49184797634812,12.3494182298745,15.5056107305658,5.89976714399781,7.92511230076731,10.7113958657918
"61","Stewart",1992,7.63622818963704,9.90844087905448,13.2948760581355,3.11133437981051,4.95068931945234,7.92165735689601
"62","Teslin",1992,7.92653932559681,10.2375352029555,13.0318310836659,5.39170665342438,7.35688473422784,10.0464859886098
"63","Upper Lakes and Mainstem",1992,2.77612426024361,3.87989040042811,5.30875572696208,7.16984690401753,9.01572754624112,11.2328136913058
"64","White-Donjek",1992,6.46876117172072,8.41045972599362,10.9831624341168,1.90081250196129,2.92542175372706,4.49549149413761
"65","Carmacks",1993,17.6203017261185,21.6501863232715,27.3219737992264,3.31352286953455,4.62267603369275,6.41755369975872
"66","Lower Mainstem",1993,13.672151574344,17.378239288545,22.2163618042443,9.06422496112878,10.915129713996,13.1424430919276
"67","Middle Mainstem",1993,15.5311720808407,19.6421279053812,25.1160345892843,6.20653219047942,7.80916388347329,9.74550515513674
"68","Pelly",1993,17.4813857257897,21.579754162995,26.6752107963313,4.71506223772099,6.52038011936285,9.02760695332946
